,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/15,/intelcpu/0/load/16,/intelcpu/0/load/17,/intelcpu/0/load/18,/intelcpu/0/load/19,/intelcpu/0/load/20,/intelcpu/0/load/21,/intelcpu/0/load/0,/intelcpu/0/load/1,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/temperature/9,/intelcpu/0/temperature/10,/intelcpu/0/temperature/11,/intelcpu/0/temperature/12,/intelcpu/0/temperature/13,/intelcpu/0/temperature/14,/intelcpu/0/temperature/15,/intelcpu/0/temperature/16,/intelcpu/0/temperature/17,/intelcpu/0/temperature/18,/intelcpu/0/temperature/19,/intelcpu/0/temperature/20,/intelcpu/0/temperature/21,/intelcpu/0/temperature/22,/intelcpu/0/temperature/23,/intelcpu/0/temperature/24,/intelcpu/0/temperature/25,/intelcpu/0/temperature/26,/intelcpu/0/temperature/27,/intelcpu/0/temperature/28,/intelcpu/0/temperature/29,/intelcpu/0/temperature/30,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/clock/9,/intelcpu/0/clock/10,/intelcpu/0/clock/11,/intelcpu/0/clock/12,/intelcpu/0/clock/13,/intelcpu/0/clock/14,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/3,/intelcpu/0/voltage/0,/intelcpu/0/voltage/1,/intelcpu/0/voltage/2,/intelcpu/0/voltage/3,/intelcpu/0/voltage/4,/intelcpu/0/voltage/5,/intelcpu/0/voltage/6,/intelcpu/0/voltage/7,/intelcpu/0/voltage/8,/intelcpu/0/voltage/9,/intelcpu/0/voltage/10,/intelcpu/0/voltage/11,/intelcpu/0/voltage/12,/intelcpu/0/voltage/13,/intelcpu/0/voltage/14,/intelcpu/0/clock/0,/ram/data/0,/ram/data/1,/ram/load/0,/ram/data/2,/ram/data/3,/ram/load/1,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/smalldata/5,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/power/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/smalldata/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/10,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/12,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/11,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/3,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/4,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/5,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/6,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/9,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/2,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/7,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/8,/hdd/1/load/0,/hdd/1/load/31,/hdd/1/load/32,/hdd/1/load/33,/hdd/1/throughput/34,/hdd/1/throughput/35,/hdd/0/load/0,/hdd/0/load/31,/hdd/0/load/32,/hdd/0/load/33,/hdd/0/throughput/34,/hdd/0/throughput/35,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/2,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/3,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/7,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/8,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/load/1,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/2,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/3,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/7,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/8,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/load/1,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/2,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/3,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/7,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/8,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/load/1,/battery/level/0,/battery/voltage/1,/battery/current/2,/battery/energy/3,/battery/energy/4,/battery/energy/5,/battery/power/0,/battery/level/0,/battery/timespan/0
Time,"CPU Core #1 Thread #1","CPU Core #1 Thread #2","CPU Core #2 Thread #1","CPU Core #2 Thread #2","CPU Core #3 Thread #1","CPU Core #3 Thread #2","CPU Core #4 Thread #1","CPU Core #4 Thread #2","CPU Core #5 Thread #1","CPU Core #5 Thread #2","CPU Core #6 Thread #1","CPU Core #6 Thread #2","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","CPU Core Max","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Core #1 Distance to TjMax","CPU Core #2 Distance to TjMax","CPU Core #3 Distance to TjMax","CPU Core #4 Distance to TjMax","CPU Core #5 Distance to TjMax","CPU Core #6 Distance to TjMax","CPU Core #7 Distance to TjMax","CPU Core #8 Distance to TjMax","CPU Core #9 Distance to TjMax","CPU Core #10 Distance to TjMax","CPU Core #11 Distance to TjMax","CPU Core #12 Distance to TjMax","CPU Core #13 Distance to TjMax","CPU Core #14 Distance to TjMax","Core Max","Core Average","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Cores","CPU Memory","CPU Core","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","Bus Speed","Memory Used","Memory Available","Memory","Virtual Memory Used","Virtual Memory Available","Virtual Memory","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Processing","D3D VR","GPU Hot Spot","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","GPU Power","D3D Shared Memory Used","D3D 3D","D3D Video Decode","D3D Copy","D3D Video Processing","D3D Video Decode","D3D Other","D3D Other","D3D Other","D3D Other","D3D Overlay","D3D GDI Render","D3D Other","D3D Other","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Charge Level","Voltage","Discharge Current","Designed Capacity","Full Charged Capacity","Remaining Capacity","Discharge Rate","Degradation Level","Remaining Time (Estimated)"
07/10/2024 13:17:08,56.66151,55.4893951,55.725563,49.8487,81.9495,53.8260345,73.39413,56.7234154,50.4097939,50.60364,43.9835129,53.81329,63.3509636,68.29827,58.2388954,53.4249077,64.74728,66.08896,71.29612,70.2552948,59.90646,81.9495,30,29,42,30,27,31,32,32,32,32,27,31,30,31,42,70,71,58,70,73,69,68,68,68,68,73,69,70,69,42,31.1428566,3783.111,3683.55542,3783.111,3783.111,3783.111,3783.111,3086.22217,3086.22217,3086.22217,3086.22217,3086.22217,3086.22217,3086.22217,3086.22217,0.487475663,1.08781767,0,1.10900879,1.11914063,1.119873,1.10705566,1.10205078,1.10717773,1.11413574,1.10913086,1.1072998,1.09936523,1.10083008,1.14196777,1.138916,1.15600586,1.15551758,99.55555,8.687717,22.9793663,27.43454,9.078655,29.8384285,23.3282013,34,2355,7000.978,0,0,0,0,0,3.1328125,0,0,0,0,0,0,0,0,0,40,6141,5921,220,3.58247828,19,0,0,1.46768129,196.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,64.918,0.005090686,0.00115852873,100,122.028236,7.508006,62.4167862,0,0,99.99961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.001213,15.891,1.4361589,90005,82503,82504,22.822,8.335091,13014
07/10/2024 13:17:12,45.3191147,27.4916534,32.2339935,33.7322159,37.7192841,74.6457062,60.70435,44.6529579,34.6700134,30.0808849,32.43956,29.9238682,40.367157,50.72919,48.3874855,39.00564,49.16806,46.60122,48.02086,50.19672,42.8045044,74.6457062,51,48,52,40,48,46,39,40,40,37,38,39,38,38,50,49,52,48,60,52,54,61,60,60,63,62,61,62,62,52,42.42857,3584,3484.44434,3584,3683.55542,3683.55542,3584,2986.6665,2986.6665,2986.6665,3086.22217,3185.77759,3285.33325,3285.33325,3285.33325,44.6347656,36.83136,0,1.24316406,1.23388672,1.23388672,1.23388672,1.26147461,1.26147461,1.26147461,1.24145508,1.24511719,1.24511719,1.24865723,1.23364258,1.23364258,1.22851563,1.24707031,99.55555,8.593887,23.0731964,27.138237,8.984261,29.9328232,23.0856476,31,2355,7000.978,1,0,0,0,16.09375,3.1484375,0,0,0,0.183229908,0,0,0,0,0,36.03125,6141,5909,231,3.76809049,17.535,0,0,0.443065226,179.136719,0.165388137,0,0,0,0,0,0,0,0,0,0,0,0,64.918,100,45.0394936,100,116147792,13813038,62.4167862,2.844566,33.99966,29.23825,37361.8047,28570.791,0.005377643,0.235380381,3105517.5,135929040,100,,,,,,0.005680998,0.106411844,3280762.75,61452588,100,100.001213,15.891,1.4361589,90005,82503,82504,22.822,8.335091,13014
07/10/2024 13:17:14,14.07696,31.1230774,26.1233559,14.8690586,45.62078,27.5229816,67.60076,44.8514748,21.8076534,13.7898149,22.5212631,9.686792,39.527565,48.22216,48.8080521,37.23832,43.284153,37.95627,39.8239555,39.8468475,33.71507,67.60076,34,46,47,58,38,38,40,40,40,40,38,38,38,38,58,66,54,53,42,62,62,60,60,60,60,62,62,62,62,58,40.92857,4380.443,4081.77612,4380.443,4380.443,4380.443,4081.77612,3285.332,3484.443,3285.332,3285.332,3484.443,3484.443,3484.443,3484.443,43.60005,36.325,0,1.37182617,1.27185059,1.28686523,1.33190918,1.32873535,1.24377441,1.31384277,1.32873535,1.22631836,1.23632813,1.26135254,1.26135254,1.2713623,1.33630371,1.33630371,99.55552,8.446411,23.2206726,26.6725235,8.771427,30.1456566,22.5387573,33,2355,7000.978,0,0,0,3.58247828,4.58203125,0.25,0,0,0,0,0,0,0,0,0,38.53125,6141,5921,220,3.58247828,17.491,0,0,223231.875,251.261719,0.172850311,0,0,0,0,0,0,0,0,0,0,0,0,62.8815651,8.295135E-06,2.38334451E-06,99.9994049,,,62.41679,1.46046544E-08,2.67378E-07,99.9994049,,,0.005377643,0.235380381,0,0,0,0,0,0,0,0,9.443611E-07,5.7742E-08,885.5015,0,0.001771003,8.229546,15.149,5.682751,90005,82598,77643,86.088,8.229546,
07/10/2024 13:17:15,30.04145,49.3049927,25.4956188,34.0323753,36.63046,30.4874115,41.408,29.2378063,29.6887341,21.7296124,32.4950142,21.70487,1.67200565,1.65481567,1.65894628,1.65017843,1.6741097,1.64667368,1.64592266,1.76193714,19.7810478,49.3049927,46,53,51,47,35,48,33,33,33,33,33,33,33,33,53,54,47,49,53,65,52,67,67,67,67,67,67,67,67,53,38.8571434,4081.77832,4579.556,4380.445,4380.445,4081.77832,4081.77832,3484.44482,3484.44482,3484.44482,3484.44482,3484.44482,3484.44482,3484.44482,3484.44482,39.7984352,32.88019,0,1.22546387,1.220459,1.342041,1.342041,1.342041,1.14709473,1.33203125,1.25390625,1.19885254,1.20385742,1.17382813,1.23388672,1.23388672,1.2088623,1.27893066,99.5555649,8.492622,23.1744614,26.8184586,8.831032,30.0860519,22.6919174,34,2355,7000.978,0,0,0,3.58247828,4.58203125,0.25,0,0,0,0,0,0,0,0,0,39.0625,6141,5921,220,3.58247828,17.615,1024,0,0.00377544248,250.640625,0.184781343,0,0,0,0,0,0,0,0,0,0,0,0,62.8815651,67.989,0.302554637,45.1178856,6.323043E+07,2053694.88,62.41679,0,0.170842215,0.171588764,0,8736.814,0.005377643,0.235380381,0,0,0,0,0,0,0,0,4.07267362E-06,1.469627E-06,3490.71436,1390.73987,0.009762908,8.229546,15.188,5.808072,90005,82598,77643,88.213,8.229546,
07/10/2024 13:17:16,19.3499336,18.464941,22.3204021,18.6356316,25.40611,19.83633,24.4597855,21.98589,16.2191563,15.8891973,14.0501919,17.14875,0,0,0,0,0,0,0,0,10.8604908,25.40611,52,37,43,46,37,45,33,33,33,33,33,33,33,33,49,48,63,57,54,63,55,67,67,67,67,67,67,67,67,52,37.42857,4081.776,4380.44238,4081.776,4081.776,4081.776,4081.776,3484.44287,3484.44287,3484.44287,3484.44287,3484.44287,3484.44287,3484.44287,3484.44287,36.28226,29.7544537,0,1.28369141,1.30871582,1.23364258,1.20874023,1.20874023,1.23364258,1.34619141,1.23120117,1.21118164,1.236206,1.30126953,1.30126953,1.27124023,1.21118164,1.29626465,99.55551,8.521675,23.1454086,26.910202,8.850704,30.06638,22.7424622,34,2355,7000.978,0,0,0,3.58247828,4.58203125,0.25,0,0,0,0,0,0,0,0,0,39.46875,6141,5921,220,3.58247828,17.744,0,0,0.0019514173,250.640625,0,0,0,0,0,0,0,0,0,0,0,0,0,62.8815651,53.0637245,26.7438755,49.33268,32449308,3569439,62.41679,0,0,0.009451729,0,0,0.005377643,0.235380381,0,0,0,0,0,0,0,0,1.36885792E-05,1.19628385E-05,10316.4268,11257.6445,0.0431481451,8.229546,15.231,5.845841,90005,82598,77643,89.038,8.229546,
07/10/2024 13:17:17,7.76101971,15.9577188,11.1104908,10.1307812,20.174963,12.1533985,32.223217,12.3811779,8.071047,9.492618,12.79698,12.58471,2.65111327,2.63733268,2.638936,2.64231563,2.65635848,2.63508558,2.64885426,2.7585268,9.305334,32.223217,38,44,35,48,33,36,33,33,33,33,31,31,31,31,48,62,56,65,52,67,64,67,67,67,67,69,69,69,69,48,35,4081.77539,4380.442,4081.77539,4081.77539,4081.77539,4081.77539,3484.44238,3484.44238,3484.44238,3484.44238,3484.44238,3484.44238,3484.44238,3484.44238,29.4773655,22.7189045,0,1.30773926,1.29772949,1.39770508,1.23278809,1.237793,1.36779785,1.33276367,1.29675293,1.29675293,1.29675293,1.29675293,1.29675293,1.29675293,1.29675293,1.29675293,99.5555,8.508404,23.15868,26.8682938,8.848057,30.0690269,22.7356644,34,2355,7000.978,0,0,0,3.58247828,4.58203125,0.25,0,0,0,0,0,0,0,0,0,39.6875,6141,5921,220,3.58247828,17.71,1024,0,0.009501522,251.1836,0.409819,0,0,0,0,0,0,0,0,0,0,0,0,62.8815651,56.9073639,0.07674876,38.4426575,26279542,703213.563,62.41679,0,0.172617346,0.1979641,0,14820.6309,0.005377643,0.235380381,0,0,0,0,0,0,0,0,2.92481855E-05,5.654618E-05,16676.1953,47782.7344,0.128917858,8.229546,15.315,5.81377745,90005,82598,76817,89.038,8.229546,
07/10/2024 13:17:18,24.69576,31.5324955,53.1344757,25.5161514,29.30867,32.9092445,33.75903,33.5786819,24.7706718,29.0136986,27.369339,32.8856125,0,0,0,0,0,0,0,0,18.5201759,53.1344757,52,54,52,58,47,58,35,35,35,35,33,33,33,33,58,48,46,48,42,53,42,65,65,65,65,67,67,67,67,58,42.3571434,4081.77612,4380.44238,4081.77612,4380.44238,4081.77612,4081.77612,3484.443,3484.443,3484.443,3484.443,3484.443,3484.443,3484.443,3484.443,33.420536,26.761591,0,1.2635498,1.24853516,1.131958,1.12695313,1.15686035,1.16186523,1.19189453,1.2019043,1.17687988,1.20690918,1.17687988,1.2019043,1.17687988,1.17687988,1.20690918,99.55551,8.590157,23.0769272,27.1264572,8.901791,30.0152931,22.8737335,35,2355,7000.978,0,0,0,3.58247828,4.58203125,0.25,0,0,0,0,0,0,0,0,0,40.3125,6141,5921,220,3.58247828,17.558,4096,0,0.0126857776,251.175781,0.5676455,0,0,0,0,0,0,0,0,0,0,0,0,62.8815651,18.14659,0.437235624,10.6841269,4.030504E+07,2395662.5,62.41679,0,0.165946335,0.168624133,0,11384.3408,0.005377643,0.235380381,0,0,0,0,0,0,0,0,5.51342964E-07,0,572.3253,0,0.00114465063,8.229546,15.345,5.75275326,90005,82598,76817,88.276,8.229546,
07/10/2024 13:17:19,7.058197,13.7507553,7.552391,18.6232033,9.495932,13.5021267,9.51665,15.93861,7.586777,12.965023,15.6627,6.39691925,1.25365257,1.2245357,1.21814609,1.22636557,1.25516057,1.54654384,1.23201013,1.34681463,7.417619,18.6232033,33,34,33,35,33,33,32,32,32,32,31,31,31,31,36,67,66,67,65,67,67,68,68,68,68,69,69,69,69,35,32.3571434,4081.77539,4081.77539,4380.442,4679.1084,4579.55273,4081.77539,3484.44238,3484.44238,3484.44238,3484.44238,3484.44238,3484.44238,3484.44238,3484.44238,22.50999,16.4207363,0,1.298706,1.29370117,1.28869629,1.284668,1.31469727,1.31469727,1.31469727,1.25964355,1.28967285,1.27966309,1.28967285,1.24462891,1.24951172,1.24951172,1.29455566,99.5555,8.534946,23.1321373,26.95211,8.89662552,30.0204582,22.8604584,35,2355,7000.978,0,0,0,3.58247828,4.58203125,0.25,0,0,0,0,0,0,0,0,0,40.40625,6141,5921,220,3.58247828,17.678,0,0,0.001315051,251.175781,0,0,0,0,0,0,0,0,0,0,0,0,0,62.8815651,5.55732775,2.66701055,7.63529634,5322170,16010096,62.41679,0,0.1621988,0.154760376,0,12603.082,0.005377643,0.235380381,0,0,0,0,0,0,0,0,5.96325845E-06,4.04492021E-05,5959.973,44545.44,0.101010829,8.229546,15.446,5.495404,90005,82598,76817,84.882,8.229546,
07/10/2024 13:17:20,7.22271824,5.442458,8.856029,4.181772,7.90935135,7.61458874,8.174091,9.048432,3.46137881,7.015276,7.02573061,4.36908,0,0,0,0,0,0,0,0,3.110063,9.048432,33,33,31,33,30,36,31,31,31,31,31,31,31,31,37,67,67,69,67,70,64,69,69,69,69,69,69,69,69,36,31.7142849,4081.77637,4380.443,4081.77637,4081.77637,4380.443,4579.554,3484.44336,3484.44336,3484.44336,3484.44336,3484.44336,3484.44336,3484.44336,3484.44336,16.4383354,10.390851,0,1.30322266,1.26318359,1.35827637,1.33825684,1.30322266,1.30322266,1.30322266,1.166626,1.29663086,1.29663086,1.29663086,1.166626,1.29663086,1.166626,1.30664063,99.55553,8.531754,23.13533,26.9420242,8.891872,30.0252113,22.8482437,35,2355,7000.978,0,0,0,3.58247828,4.58203125,0.25,0,0,0,0,0,0,0,0,0,40.53125,6141,5921,220,3.58247828,17.644,1024,0,0,251.175781,0,0,0,0,0,0,0,0,0,0,0,0,0,62.8815651,0.0600814968,0.1635502,0.1760335,77637.21,2888921.5,62.41679,0,0.181412,0.154739037,0,9704.649,0.005377643,0.235380381,0,0,0,0,0,0,0,0,1.82371587E-05,6.843824E-05,13147.7568,29981.7539,0.08625902,8.229546,15.713,5.402024,90005,82598,76817,84.882,8.229546,
