,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/15,/intelcpu/0/load/16,/intelcpu/0/load/17,/intelcpu/0/load/18,/intelcpu/0/load/19,/intelcpu/0/load/20,/intelcpu/0/load/21,/intelcpu/0/load/0,/intelcpu/0/load/1,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/temperature/9,/intelcpu/0/temperature/10,/intelcpu/0/temperature/11,/intelcpu/0/temperature/12,/intelcpu/0/temperature/13,/intelcpu/0/temperature/14,/intelcpu/0/temperature/15,/intelcpu/0/temperature/16,/intelcpu/0/temperature/17,/intelcpu/0/temperature/18,/intelcpu/0/temperature/19,/intelcpu/0/temperature/20,/intelcpu/0/temperature/21,/intelcpu/0/temperature/22,/intelcpu/0/temperature/23,/intelcpu/0/temperature/24,/intelcpu/0/temperature/25,/intelcpu/0/temperature/26,/intelcpu/0/temperature/27,/intelcpu/0/temperature/28,/intelcpu/0/temperature/29,/intelcpu/0/temperature/30,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/clock/9,/intelcpu/0/clock/10,/intelcpu/0/clock/11,/intelcpu/0/clock/12,/intelcpu/0/clock/13,/intelcpu/0/clock/14,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/3,/intelcpu/0/voltage/0,/intelcpu/0/voltage/1,/intelcpu/0/voltage/2,/intelcpu/0/voltage/3,/intelcpu/0/voltage/4,/intelcpu/0/voltage/5,/intelcpu/0/voltage/6,/intelcpu/0/voltage/7,/intelcpu/0/voltage/8,/intelcpu/0/voltage/9,/intelcpu/0/voltage/10,/intelcpu/0/voltage/11,/intelcpu/0/voltage/12,/intelcpu/0/voltage/13,/intelcpu/0/voltage/14,/intelcpu/0/clock/0,/ram/data/0,/ram/data/1,/ram/load/0,/ram/data/2,/ram/data/3,/ram/load/1,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/smalldata/5,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/power/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/smalldata/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/10,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/12,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/11,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/3,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/4,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/5,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/6,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/9,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/2,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/7,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/8,/hdd/1/load/0,/hdd/1/load/31,/hdd/1/load/32,/hdd/1/load/33,/hdd/1/throughput/34,/hdd/1/throughput/35,/hdd/0/load/0,/hdd/0/load/31,/hdd/0/load/32,/hdd/0/load/33,/hdd/0/throughput/34,/hdd/0/throughput/35,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/2,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/3,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/7,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/8,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/load/1,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/2,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/3,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/7,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/8,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/load/1,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/2,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/3,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/7,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/8,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/load/1,/battery/level/0,/battery/voltage/1,/battery/current/2,/battery/energy/3,/battery/energy/4,/battery/energy/5,/battery/power/0,/battery/level/0
Time,"CPU Core #1 Thread #1","CPU Core #1 Thread #2","CPU Core #2 Thread #1","CPU Core #2 Thread #2","CPU Core #3 Thread #1","CPU Core #3 Thread #2","CPU Core #4 Thread #1","CPU Core #4 Thread #2","CPU Core #5 Thread #1","CPU Core #5 Thread #2","CPU Core #6 Thread #1","CPU Core #6 Thread #2","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","CPU Core Max","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Core #1 Distance to TjMax","CPU Core #2 Distance to TjMax","CPU Core #3 Distance to TjMax","CPU Core #4 Distance to TjMax","CPU Core #5 Distance to TjMax","CPU Core #6 Distance to TjMax","CPU Core #7 Distance to TjMax","CPU Core #8 Distance to TjMax","CPU Core #9 Distance to TjMax","CPU Core #10 Distance to TjMax","CPU Core #11 Distance to TjMax","CPU Core #12 Distance to TjMax","CPU Core #13 Distance to TjMax","CPU Core #14 Distance to TjMax","Core Max","Core Average","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Cores","CPU Memory","CPU Core","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","Bus Speed","Memory Used","Memory Available","Memory","Virtual Memory Used","Virtual Memory Available","Virtual Memory","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Processing","D3D VR","GPU Hot Spot","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","GPU Power","D3D Shared Memory Used","D3D 3D","D3D Video Decode","D3D Copy","D3D Video Processing","D3D Video Decode","D3D Other","D3D Other","D3D Other","D3D Other","D3D Overlay","D3D GDI Render","D3D Other","D3D Other","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Charge Level","Voltage","Charge/Discharge Current","Designed Capacity","Full Charged Capacity","Remaining Capacity","Charge/Discharge Rate","Degradation Level"
07/08/2024 00:57:59,6.061572,0.884211063,4.88662148,0.7661581,43.3625221,0.790542364,37.61125,0.796830654,2.27668285,0.762409,3.066951,0.7498205,3.55035663,2.58222222,0.993001461,0.84400177,3.06397676,3.01685929,2.13391781,3.79933715,6.09995747,43.3625221,56,57,57,59,57,55,55,55,55,55,55,55,55,55,66,44,43,43,41,43,45,45,45,45,45,45,45,45,45,59,55.7857132,4380.442,4081.77539,4679.1084,4081.77539,4081.77539,4081.77539,1692.44348,3285.3313,3285.3313,3285.3313,3285.3313,3285.3313,3285.3313,3285.3313,1.42709017,0.5234577,0,1.17114258,1.1895752,1.14282227,1.17211914,1.17895508,1.18896484,1.18896484,1.17431641,1.17431641,1.170166,1.18725586,1.18725586,1.17822266,1.17822266,1.17822266,99.5555,8.418442,23.248642,26.584198,8.525238,30.3918457,21.9061584,57,2355,8000.982,0,0,0,0,0,0.25,0,0,0,0.0007092464,0,0,0,0,0,48.0625,6141,5921,220,3.58247828,18.792,14336,2048,0.00278016529,174.722656,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87278,0.0134673957,0.523900151,1.14265049,5295.585,41439.46,62.4167671,0,0.002318329,0.6514232,0,13.723774,0.005377643,0.235380381,0,0,0,0,0,0,0,0,0.004105663,0.102981552,9.637663,24.6418076,0.000114264905,100.001213,17.154,0,90005,82503,82504,0,8.335091
07/08/2024 00:58:00,0.252562761,0.125718117,0.2570212,0.06736517,1.58361793,0.7876694,1.54026747,0.6407976,0.192219019,0.08525252,0.21944046,0.0778198242,0.210100412,0.166326761,0.112062693,0.09658337,0.1766324,0.159996748,0.138551,0.147217512,0.35187006,1.58361793,54,60,56,62,53,54,44,44,44,44,44,44,44,44,62,46,40,44,38,47,46,56,56,56,56,56,56,56,56,62,49.3571434,4081.77539,4081.77539,4081.77539,4081.77539,2190.221,4081.77539,3086.22046,1692.44348,1692.44348,3285.3313,3285.3313,3484.44238,3185.776,3185.776,42.73321,35.9239349,0,1.29919434,1.23425293,1.20922852,1.229248,1.23425293,1.3092041,1.29919434,1.3392334,1.31921387,1.29919434,1.25415039,1.2442627,1.2442627,1.2442627,1.2442627,99.5555,8.557899,23.1091843,27.02459,8.671822,30.2452621,22.282814,43,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0.00244273315,0,0,0,0,0,49.375,6141,5921,220,3.58247828,18.183,3072,0,0.179165661,174.722656,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87278,0.6073997,2.09204817,3.01771617,663455.1,6911696.5,62.4167671,0,0,0,0,0,0.005377643,0.235380381,0,0,0,0,0,0,0,0,0.004138127,0.103090487,30348.8184,101838.055,0.4406229,100.001213,17.154,0,90005,82503,82504,0,8.335091
07/08/2024 00:58:01,9.94836,28.4890175,38.1376038,0.2938211,42.6326523,0.777488947,34.6535759,12.8571091,17.4488964,15.2939911,12.5837688,25.6066685,32.7003822,6.155986,1.35163069,0.263208151,7.3777914,1.17214918,5.959672,25.7113934,15.9707546,42.6326523,42,46,43,52,41,42,41,41,41,41,41,41,41,41,52,58,54,57,48,59,58,59,59,59,59,59,59,59,59,52,42.42857,4380.44238,4579.553,3484.44263,4380.44238,2389.332,2190.22119,1692.4436,1692.4436,1692.4436,1692.4436,1692.4436,1692.4436,1692.4436,1692.4436,26.20411,19.28938,0,0.7677002,0.8477783,0.8477783,0.842773438,0.8424072,0.8424072,0.8474121,0.767334,0.8474121,0.8474121,0.8474121,0.7623291,0.8474121,0.8496094,0.8496094,99.5555038,8.584053,23.08303,27.1071854,8.7015,30.2155838,22.3590775,43,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,49.6875,6141,5921,220,3.58247828,18.271,17408,0,0.117660373,174.722656,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87278,0.8187177,2.31143928,2.7582128,929922.7,8573102,62.4167671,0,3.273465,3.32010055,0,53339.5352,0.005377643,0.235380381,0,0,0,0,0,0,0,0,0.00424499158,0.10310486,112767.953,15171.0215,0.426463246,100.001213,17.154,0,90005,82503,82504,0,8.335091
07/08/2024 00:58:02,16.302002,0,4.879361,0,25.77076,0,0.326931477,34.7668571,2.08696127,0.151240826,3.85941863,17.0258884,9.087526,8.219767,1.92302465,1.7683506,2.054304,1.99189782,1.83132291,13.3707819,7.03196526,34.7668571,44,53,46,61,42,64,42,42,42,42,45,45,45,47,58,56,47,54,39,58,36,58,58,58,58,55,55,55,53,64,47.1428566,3783.105,2588.44019,3583.99414,4380.437,2190.21851,3683.54956,1692.44165,1692.44165,1692.44165,1692.44165,1692.44165,1692.44165,3384.8833,3484.43872,20.76236,14.1188192,0,1.19775391,1.21264648,1.21264648,1.17492676,1.1628418,0.845459,0.845459,1.30896,1.22888184,1.25390625,1.25390625,1.25390625,1.32897949,1.31896973,1.31896973,99.55539,8.58403,23.0830536,27.1071014,8.684776,30.2323074,22.3161011,43,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,49.90625,6141,5921,220,3.58247828,18.05,0,0,0.148240924,174.722656,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87278,2.21817875,2.39717054,4.928137,1716366.25,2350955.75,62.4167671,0,0.165617973,0.154868588,0,7932.39355,0.005377643,0.235380381,0,0,0,0,0,0,0,0,0.004273738,0.103178255,29889.24,76312.17,0.3540047,100.001213,17.154,0,90005,82503,82504,0,8.335091
07/08/2024 00:58:03,18.24506,3.14483047,10.9975224,2.40383148,31.24795,2.40880251,1.00132227,34.86502,9.301871,0.876617432,4.035473,31.32589,22.2084522,16.1610012,1.14563107,0,8.248878,0,0,15.9781876,10.5913458,34.86502,43,50,63,58,47,46,41,41,41,41,43,43,43,43,61,57,50,37,42,53,54,59,59,59,59,57,57,57,57,63,45.92857,4380.44727,2190.22363,4380.44727,2190.22363,2190.22363,3783.11353,3484.44653,3484.44653,3484.44653,3185.77979,1692.44556,1692.44556,1692.44556,3086.224,19.107645,12.6466122,0,1.11328125,1.07336426,0.8383789,0.8383789,1.15332031,0.8383789,0.8383789,1.12634277,1.09643555,1.08642578,0.8664551,1.31140137,1.30639648,1.29992676,1.30493164,99.55562,8.563347,23.1037369,27.0417862,8.660404,30.25668,22.253479,44,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,50.0625,6141,5921,220,3.58247828,18.071,0,7168,0.123813212,174.722656,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87278,1.310285,0.210511282,1.3139236,601887.4,1124097.25,62.4167671,0,0.5291176,0.392713219,0,74831.7344,0.005377643,0.235380381,0,0,0,0,0,0,0,0,0.004285519,0.103430413,13300.4326,284673.4,0.993246138,100.001213,17.154,0,90005,82503,82504,0,8.335091
07/08/2024 00:58:04,18.90279,0.193947554,5.38169146,0,42.73426,0,0,34.1176376,0.996261835,0,4.06351662,25.3152618,26.5174389,19.1799526,0,0,0,2.76370049,0,15.5154819,9.247744,42.73426,54,48,51,45,47,44,45,45,45,45,45,45,44,44,49,46,52,49,55,53,56,55,55,55,55,55,55,56,56,54,46.2142868,2190.2207,2190.2207,2986.66455,2190.2207,2190.2207,2190.2207,1692.44336,1692.44336,1692.44336,1692.44336,3484.44214,3285.331,3484.44214,1791.99878,19.9292641,13.4188137,0,1.248291,1.13830566,1.25012207,1.18518066,1.170166,1.170166,1.170166,1.23669434,1.23168945,1.23168945,1.23669434,1.23669434,1.23168945,1.23669434,1.206665,99.55549,8.569618,23.0974655,27.0615921,8.662312,30.2547722,22.2583771,44,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,50.40625,6141,5921,220,3.58247828,19.033,3072,0,0.145114735,174.722656,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87278,1.08856571,0.499425471,1.62142956,864485.8,2957897.5,62.4167671,0,0,0.0260189269,0,0,0.005377643,0.235380381,0,0,0,0,0,0,0,0,0.004318976,0.103521354,33035.2422,89796.75,0.409439981,100.001213,17.154,0,90005,82503,82504,0,8.335091
07/08/2024 00:58:05,33.5998421,0.5718291,22.0362015,0.154542923,33.2904053,1.72660351,0.679087639,45.2026367,10.89698,1.69508457,3.10311913,41.2259,34.6234665,15.3290987,1.89676285,0.242400169,2.49733925,0.318902731,1.456058,26.9733067,13.8759794,45.2026367,49,68,55,49,47,59,45,44,44,44,43,43,43,43,54,51,32,45,51,53,41,55,56,56,56,57,57,57,57,68,48.2857132,3783.10913,4081.77563,4081.77563,2190.221,2190.221,2190.221,2090.66553,3086.22046,1692.44348,3484.44263,1692.44348,1692.44348,1692.44348,3086.22046,22.1268272,15.9790478,0,1.2578125,1.27124023,1.13122559,1.37121582,1.1262207,1.2512207,1.1262207,1.12121582,1.12121582,1.12121582,1.12121582,1.12121582,1.12121582,1.11218262,1.1171875,99.5555038,8.583195,23.083889,27.10447,8.671261,30.2458229,22.2813721,44,2355,7000.978,0,0,0,0,0,0.25,0,0,0,0.007098637,0,0,0,0,0,50.65625,6141,5921,220,3.58247828,18.111,0,0,0.127087235,174.722656,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87278,0.5676897,0.254638076,0.8447556,1767372.75,1071352.5,62.4167671,0,0.169712,0.198045835,0,12695.1094,0.005377643,0.235380381,0,0,0,0,0,0,0,0,0.004319026,0.103521466,58.2192345,122.907272,0.000603755,100.001213,17.154,0,90005,82503,82504,0,8.335091
07/08/2024 00:58:06,7.394391,3.7979126,4.46865,0.00169873238,37.5677643,0.03362894,0.130587816,47.57345,3.50015759,1.535517,5.158913,28.0577183,17.1641521,6.98096752,0.07631779,0.07677078,1.71052217,0.3519416,0,21.6961384,9.306824,47.57345,42,52,43,60,42,48,42,42,42,42,41,41,41,41,58,58,48,57,40,58,52,58,58,58,58,59,59,59,59,60,44.2142868,2190.221,2190.221,3783.10913,3783.10913,2190.221,2190.221,1692.4436,1791.999,2787.5542,3484.44263,3484.44263,3185.77612,3185.77612,1692.4436,18.1600285,12.0706625,0,1.12731934,1.14855957,1.12854,0.8536377,1.1986084,1.1986084,1.31860352,0.80859375,1.20861816,1.18359375,1.18859863,0.8436279,0.8436279,0.8436279,0.838623047,99.5555038,8.580086,23.086998,27.09465,8.670704,30.24638,22.2799454,44,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0.005873526,0,0,0,0,0,51,6141,5921,220,3.58247828,18.135,0,1024,0.192357346,174.722656,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87278,0.5429704,0.107815243,0.6245632,1725932.88,406691.1,62.4167671,0,0.182989433,0.160035029,0,8514.457,0.005377643,0.235380381,0,0,0,0,0,0,0,0,0.00442886725,0.103526339,115370.773,5125.807,0.401655257,100.001213,17.154,0,90005,82503,82504,0,8.335091
07/08/2024 00:58:07,1.61547065,1.55563951,1.51385665,0,15.17911,0,0,27.66223,0,0,1.59697533,18.0014019,25.44657,27.0432167,4.52461243,0,9.180099,0,0.8740902,9.317732,6.7653,27.66223,40,45,41,46,43,49,42,42,42,42,43,43,43,42,48,60,55,59,54,57,51,58,58,58,58,57,57,57,58,49,43.07143,2190.22144,2190.22144,4380.443,4380.443,2190.22144,3384.88745,3484.443,3086.221,2090.66577,1692.44373,1692.44373,1692.44373,1692.44373,2090.66577,13.9626055,8.211408,0,1.19714355,1.26708984,0.852172852,1.31713867,1.32214355,0.852172852,1.19909668,1.107666,1.11767578,1.11767578,1.11767578,1.1027832,1.1027832,1.1027832,1.1105957,99.55552,8.584698,23.082386,27.1092148,8.671371,30.2457123,22.2816544,44,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,51.09375,6141,5921,220,3.58247828,18.057,0,0,0.123323716,174.722656,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87278,0.0292039476,0.115468077,0.2444133,8498.835,310207.469,62.4167671,0,0.194682628,0.266971976,0,10092.332,0.005377643,0.235380381,0,0,0,0,0,0,0,0,0.0045020245,0.103533246,81488.08,7690.07959,0.297260523,100.001213,17.154,0,90005,82503,82504,0,8.335091
