,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/0,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/lpc/nct6791d/fan/4,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","Fan #4","Fan #5","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total LBA Written","Used Space","Temperature","Used Space"
06/02/2019 21:56:57,60,29.8039227,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.264,3.456,3.37600017,1.016,0.824000061,0.136,0.008,0.0720000044,24,31,32,53,35,90,1031,2360,514,288,1097,3.16220522,3.14980149,2.38095522,3.96825075,3.16530466,34,32,31,32,34,3699.997,3799.997,3699.997,3699.997,19.07066,4.869441,0,4.57191133,99.9999161,19.8601379,3.16550827,12.7734985,30.0000019,1273,0,300,150,0.900000036,0,28,-76.79753,83.73525,24,35.5109177
06/02/2019 21:56:58,60,25.4901962,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.456,3.37600017,1.016,0.824000061,0.136,0.272,0.064,25,31,32,53,35,90,1018,2351,513,285,1100,3.125,3.90625,3.125,3.125,3.3203125,33,33,31,32,33,3699.99658,3699.99658,3699.99658,3699.99658,19.1062336,5.27569246,0,4.583416,99.99991,19.8454361,3.163166,12.7758408,31.0000019,1273,0,300,150,0.900000036,14,28,-76.79753,83.73525,24,35.5109177
06/02/2019 21:56:59,60,25.4901962,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.456,3.37600017,1.016,0.824000061,0.128,0.272,0.064,25.5,31,32,53,36,90,1024,2360,512,286,1084,3.125,3.90625,3.90625,5.46875,4.1015625,33,31,31,31,33,3699.95923,3699.95923,3699.95923,3699.95923,18.5689545,3.909733,0,4.54365969,99.9989,19.8416824,3.16256714,12.77644,31.0000019,1273,0,300.509979,1500,1.087,0,28,-76.79753,83.73525,24,35.5109177
06/02/2019 21:57:00,60,27.8431377,60,60,60,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.456,3.37600017,1.016,0.824000061,0.064,0.136,0.064,26,31,32,83,35,90,1030,2356,514,286,1100,6.25,6.25,7.03125,3.90625,5.859375,34,30,32,29,34,3700.0332,3700.0332,3900.035,3900.035,21.57301,8.777613,0,4.70085955,100.0009,19.6938782,3.13900757,12.7999992,31.0000019,1273,0,300.55,1500,1.087,0,28,-76.79753,83.73525,24,35.5109177
06/02/2019 21:57:01,60,28.2352943,60,60,60,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.456,3.37600017,1.016,0.824000061,0.064,0.136,0.0720000044,27,31,32,118,35,90,1026,2351,515,287,1115,5.46875,1.5625,5.46875,2.34375,3.7109375,37,32,34,31,37,3699.99756,3699.99756,3899.99731,3799.99756,19.5312252,5.76609039,0,4.57074356,99.99993,19.6788177,3.13660812,12.8023987,30.0000019,1273,0,300,150,0.900000036,0,28,-76.79753,83.73525,24,35.5109177
06/02/2019 21:57:02,60,27.4509811,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.456,3.37600017,1.016,0.824000061,0.064,0.136,0.0720000044,28.5,31,32,118,35,90,1036,2356,512,287,1099,2.34375,13.28125,5.49355125,3.125,6.06088638,33,33,30,31,34,3699.997,3799.997,3699.997,3699.997,19.7969761,7.173816,0,4.60807037,99.99992,19.7253876,3.14403152,12.7949753,30.0000019,1273,0,300,150,0.900000036,0,28,-76.79753,83.73525,24,35.5109177
06/02/2019 21:57:03,60,29.8039227,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.456,3.37600017,1.016,0.824000061,0.064,0.024,0.0720000044,28,31,32,118,35,90,1023,2356,511,288,1102,0.78125,0,0.7692337,0.78125,0.5829334,33,31,30,31,33,3699.99683,3699.99683,3699.99683,3699.99683,17.3085,2.35658336,0,4.53331947,99.9999161,19.69722,3.13954163,12.7994652,30.0000019,1273,0,300,150,0.900000036,0,28,-76.79753,83.73525,24,35.5109177
06/02/2019 21:57:04,60,29.8039227,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.456,3.37600017,1.016,0.824000061,0.064,0.024,0.0400000028,29.5,31,32,118,35,96,1040,2356,511,289,1101,0.78125,0,0.78125,1.5625,0.78125,35,30,31,30,35,3699.997,3899.99683,3699.997,3699.997,18.5104065,3.69310641,0,4.54563332,99.9999161,19.68811,3.13808823,12.8009186,31.0000019,1273,0,312.96,1500,1.087,0,28,-76.79753,83.73525,24,35.5109177
06/02/2019 21:57:05,63.52941,31.37255,63.92157,63.92157,63.92157,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.552000046,3.456,3.37600017,1.016,0.832,0.272,0.528,0.208,35,30.5,32,108,35,85,1049,2356,513,289,1107,29.2307682,29.9999962,27.6923065,38.4615364,31.3461475,37,42,41,42,42,3699.99536,3699.99536,3699.99536,3699.99536,40.57654,29.8790531,0,5.089761,99.99987,20.1377335,3.209755,12.7292519,30.0000019,1273,0,300,150,0.900000036,0,28,-76.79753,83.73525,24,35.5109177
