,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
01/24/2020 10:46:44,28.367794,25,24.5614052,24.5614052,25.6226482,62.257946,4.91061,2.97691345,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:49,70.46205,82.67327,68.543045,75.3841248,74.265625,70.3267059,5.547035,2.34048843,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:50,100,100,98.4375,100,99.609375,69.51714,5.483181,2.40434265,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:51,100,100,100,100,100,69.5421,5.48514938,2.40237427,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:52,100,100,100,100,100,70.33178,5.54743576,2.340088,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:53,100,100,100,100,100,70.66573,5.57377625,2.31374741,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:54,100,99.21875,100,100,99.80469,71.76315,5.66033554,2.227188,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:55,100,100,99.21875,100,99.80469,73.10196,5.765934,2.12158966,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:56,97.65625,98.4375,96.875,97.65625,97.65625,71.80953,5.663994,2.22352982,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:57,82.8125,95.3125,85.9375,85.15625,87.30469,68.8038254,5.426918,2.46060562,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:58,48.4375,72.65625,59.375,55.46875,58.984375,68.6801147,5.41716,2.47036362,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:46:59,43.75,75,64.84375,52.34375,58.984375,68.46277,5.400017,2.48750687,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:47:00,44.53125,74.21875,64.84375,60.9375,61.1328125,68.0141449,5.36463165,2.522892,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:47:01,44.53125,77.34375,60.15625,50,58.0078125,66.7446442,5.26449966,2.623024,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:47:02,43.75,74.21875,60.9375,62.5,60.3515625,66.5344543,5.247921,2.63960266,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:47:03,37.5,71.875,57.03125,55.46875,55.46875,66.50544,5.245632,2.64189148,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:47:04,44.53125,70.3125,62.5,53.125,57.6171875,66.52609,5.247261,2.6402626,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,61881,11235,80.73819,33,46.5512466
01/24/2020 10:47:05,29.6875,48.4375,48.4375,41.40625,41.9921875,66.469986,5.242836,2.64468765,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,21,61881,11236,80.74058,18,46.5512466
01/24/2020 10:47:06,16.40625,50,39.84375,28.90625,33.7890625,66.461235,5.24214554,2.645378,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,21,61881,11236,80.74058,18,46.5512466
01/24/2020 10:47:07,35.15625,62.5,49.51637,47.65625,48.70722,66.83252,5.271431,2.61609268,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,21,61881,11236,80.74058,18,46.5512466
01/24/2020 10:47:08,14.0873013,48.4375,35.9375,22.7306538,30.2982388,66.73956,5.264099,2.62342453,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,21,61881,11236,80.74058,18,46.5512466
01/24/2020 10:47:09,18.7019234,48.4375,43.6177864,27.2475967,34.5012,66.66972,5.2585907,2.628933,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,21,61881,11236,80.74058,18,46.5512466
01/24/2020 10:47:10,92.1875,95.3125,87.5,92.96875,91.99219,68.48221,5.40155029,2.48597336,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,21,61881,11236,80.74058,18,46.5512466
01/24/2020 10:47:11,97.65625,98.4375,99.21875,98.4375,98.4375,68.74545,5.42231369,2.46521,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,21,61881,11236,80.74058,18,46.5512466
01/24/2020 10:47:12,28.125,38.28125,39.0625,39.84375,36.328125,68.67615,5.416847,2.47067642,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,21,61881,11236,80.74058,18,46.5512466
