,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
01/21/2020 20:20:39,10.9375,3.125,9.375,16.40625,9.9609375,82.0179443,6.469185,1.41833878,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:40,5.46875,2.34375,12.5,8.59375,7.2265625,82.01727,6.46913147,1.41839218,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:41,11.71875,10.15625,11.71875,21.875,13.8671875,82.01471,6.46892929,1.41859436,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:42,8.59375,4.6875,6.25,14.84375,8.59375,82.0152359,6.46897125,1.4185524,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:43,9.375,8.59375,7.03125,7.8125,8.203125,82.0163956,6.469063,1.41846085,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:44,10.9375,7.03125,8.59375,19.53125,11.5234375,82.01703,6.4691124,1.41841125,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:45,11.71875,17.1875,3.125,8.59375,10.15625,82.01263,6.46876526,1.41875839,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:46,13.28125,6.25,9.375,10.15625,9.765625,82.00469,6.46813965,1.419384,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:47,9.375,7.03125,12.5,10.15625,9.765625,81.9395,6.46299744,1.42452621,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:48,21.09375,16.40625,12.5,21.875,17.96875,81.941,6.46311569,1.424408,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:49,12.5,5.46875,8.59375,17.96875,11.1328125,81.93829,6.462902,1.42462158,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:50,9.375,5.46875,6.25,14.84375,8.984375,81.9363556,6.46274948,1.42477417,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:51,10.9375,5.46875,5.46875,14.84375,9.1796875,81.935,6.46264267,1.424881,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:52,9.375,4.6875,6.25,14.84375,8.7890625,81.93486,6.462631,1.42489243,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:53,5.46875,5.46875,4.6875,5.46875,5.2734375,81.93413,6.462574,1.42494965,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:54,9.437,7.03125,7.03125,12.5,8.999872,81.93486,6.462631,1.42489243,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:55,7.7524066,2.34375,6.25,14.0625,7.602167,81.9302139,6.462265,1.42525864,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:56,7.8125,5.46875,10.15625,18.75,10.546875,81.94835,6.46369553,1.42382813,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:57,10.15625,6.25,5.46875,11.71875,8.3984375,81.94913,6.46375656,1.42376709,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:58,28.90625,10.15625,10.9375,14.84375,16.2109375,81.95222,6.4640007,1.423523,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:20:59,23.4375,14.84375,10.9375,17.1875,16.6015625,82.0096741,6.46853256,1.41899109,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16181,27,46.5373077
01/21/2020 20:21:00,17.1875,9.375,4.6875,10.9375,10.546875,82.10834,6.47631454,1.41120911,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:01,18.75,12.5,22.65625,23.4375,19.3359375,82.09871,6.47555542,1.41196823,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:02,4.6875,14.0625,15.625,16.40625,12.6953125,82.1105652,6.47649,1.41103363,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:03,10.9375,14.0625,15.625,20.3125,15.234375,82.73368,6.52563858,1.36188507,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:04,52.34375,39.84375,41.40625,48.4375,45.5078125,84.33287,6.65177536,1.23574829,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:05,26.6989117,18.75,19.53125,19.53125,21.1278553,84.49929,6.66490173,1.22262192,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:06,20.20433,7.8125,7.03125,18.75,13.44952,84.60956,6.67359924,1.21392441,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:07,5.481148,9.375,7.14285374,20.3125,10.5778751,84.58896,6.671974,1.21554947,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:08,13.9543295,13.28125,14.6153812,27.34375,17.2986813,84.53518,6.66773224,1.21979141,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:09,11.71875,18.0059547,10.15625,23.4375,15.8296108,85.22896,6.722454,1.16506958,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:10,27.34375,38.0649033,32.03125,36.71875,33.5396652,85.62433,6.753639,1.13388443,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:11,25,33.59375,29.6875,38.28125,31.640625,86.17142,6.796791,1.09073257,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:12,9.375,5.46875,8.59375,7.8125,7.8125,86.16813,6.79653168,1.090992,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:13,11.71875,13.28125,14.0625,17.1875,14.0625,85.17227,6.71798325,1.16954041,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:14,14.84375,10.15625,11.71875,17.1875,13.4765625,85.1049957,6.712677,1.17484665,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:15,18.75,2.34375,14.84375,17.1875,13.28125,84.66329,6.67783737,1.20968628,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:16,30.46875,54.6875,38.28125,28.125,37.890625,85.10887,6.712982,1.17454147,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:17,10.9375,10.9375,23.01587,11.8427572,14.1834078,85.11951,6.71382141,1.17370224,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:18,32.03125,39.84375,32.30769,27.1875019,32.84255,85.12802,6.714493,1.17303085,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:19,8.59375,14.84375,8.680558,23.4375,13.8888893,84.68428,6.679493,1.2080307,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:20,20.3125,19.53125,31.0336533,34.375,26.3131027,84.5514755,6.669018,1.21850586,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:21,14.0625,17.96875,12.5,30.46875,18.75,83.60664,6.594494,1.29302979,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:22,14.0625,3.125,2.34375,10.9375,7.6171875,83.60931,6.59470367,1.29282,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:23,7.03125,0.78125,3.90625,2.34375,3.515625,83.61617,6.59524536,1.29227829,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:24,10.9375,3.125,5.46875,5.46875,6.25,83.6222153,6.595722,1.29180145,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:25,32.8125,45.3125,36.71875,38.28125,38.28125,84.10199,6.633564,1.25395966,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:26,7.03125,4.6875,4.6875,10.15625,6.640625,84.0860748,6.632309,1.25521469,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:27,7.03125,4.71230125,7.8125,8.59375,7.037449,84.070694,6.631096,1.25642776,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:28,10.15625,7.7524066,8.59375,19.53125,11.5084171,84.06968,6.631016,1.25650787,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:29,18.75,22.65625,7.8125,35.15625,21.09375,84.05004,6.629467,1.25805664,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.1619949,27,46.5373077
01/21/2020 20:21:30,10.9375,22.65625,23.4375,20.3125,19.3359375,84.2196045,6.64284134,1.24468231,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16642,28,46.5373077
01/21/2020 20:21:31,26.5625,8.59375,30.8903751,12.5372047,19.6459541,84.40701,6.65762329,1.22990036,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16642,28,46.5373077
01/21/2020 20:21:32,50,3.90625,2.34375,6.25,15.625,84.4021759,6.657242,1.23028183,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,30,61724,11205,81.16642,28,46.5373077
