,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Used Space","Temperature","Used Space"
09/06/2022 13:15:27,80.43628,89.21325,83.78968,84.54054,84.4949341,74,75,74,70,76,3409.71387,3409.71387,3409.71387,3409.71387,40.48883,30.49831,0.09647893,2.49466944,100.285706,11.746521,3.74890518,28.1661072,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,17.578125,0,30.3082123,35,59.0283661
09/06/2022 13:15:27,100,100,100,100,100,76,77,76,70,77,3409.71338,3409.71338,3409.71338,3409.71338,40.1151924,32.1912766,0.109817244,2.790134,100.28569,11.9819107,3.824028,28.0909843,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,139.648438,3.90625,30.3082123,35,59.0283661
09/06/2022 13:15:28,100,100,100,100,100,74,75,72,69,75,3409.71216,3409.71216,3409.71216,3409.71216,40.180027,31.3835144,0.168922484,2.702509,100.285652,12.2564774,3.91165543,28.0033569,48,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,54.6875,5.859375,30.3082123,35,59.0283661
09/06/2022 13:15:29,99.21875,100,100,100,99.80469,74,73,73,70,75,3409.58032,3409.58032,3409.58032,3409.58032,40.6024666,31.5512028,0.2624245,2.69465613,100.281776,12.74736,4.068321,27.8466911,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,153.320313,6.8359375,30.3082123,35,59.0283661
09/06/2022 13:15:30,91.40625,95.3125,92.1875,93.75,93.16406,76,75,70,66,77,3409.8457,3409.8457,3409.8457,3409.8457,40.4395752,30.9163647,0.412520766,2.77508,100.289581,12.9758606,4.141247,27.7737656,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,79.10156,1.953125,30.3082123,35,59.0283661
09/06/2022 13:15:31,60.9375,64.0625,65.625,64.84375,63.8671875,75,71,69,68,70,3409.71338,3409.71338,3409.71338,3409.71338,33.7408829,25.5536842,0.238831475,2.064407,100.28569,13.0950165,4.17927551,27.7357368,48,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,13.671875,0,30.3082123,35,59.0283661
09/06/2022 13:15:32,45.3125,59.375,54.6875,50,52.34375,67,69,70,68,70,3409.71313,3409.71313,3409.71313,3409.71313,30.647068,23.43599,0.257432252,2.1388104,100.285675,13.1745911,4.204674,27.7103386,0,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,89.84375,3.90625,30.3082123,35,59.0283661
09/06/2022 13:15:33,28.90625,47.65625,39.0625,42.96875,39.6484375,60,67,60,58,67,3509.99878,3509.99878,3509.99878,3509.99878,27.8475418,18.7360268,0.102005869,1.63419843,100.285683,13.2135239,4.217098,27.6979141,0,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,95.703125,4.8828125,30.3082123,35,59.0283661
09/06/2022 13:15:34,25.78125,40.625,28.125,32.8125,31.8359375,62,71,71,61,71,3409.7124,3409.7124,3610.28369,3409.7124,27.3989658,18.1315231,0.25937,1.71279991,100.28566,13.0551682,4.16655731,27.748455,0,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,83.00781,3.90625,30.3082123,35,59.0283661
09/06/2022 13:15:35,17.2991028,19.53125,29.89831,31.25,24.4946651,60,63,61,66,66,3409.71265,3509.99829,3409.71265,3409.71265,24.712286,15.8414783,0.07657428,1.42870378,100.285667,12.9986649,4.148525,27.7664871,0,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,113.28125,3.90625,30.3082123,35,59.0283661
09/06/2022 13:15:36,55.8774,59.80903,55.8293266,66.40625,59.4805,63,62,71,58,70,3409.71143,3409.71143,3409.71143,3409.71143,30.0425987,20.6808414,0.220085189,2.01605082,100.285637,12.6226425,4.02851868,27.8864937,0,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,140.625,3.90625,30.3082123,35,59.0283661
