,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Temperature","Used Space"
05/02/2020 23:31:21,25,17.96875,9.375,38.04563,22.59735,84,65,63,58,84,3409.71948,3510.00537,3409.71948,3510.00537,28.1248169,15.9397211,0.0550235845,0.532506049,100.285873,46.5924644,3.67499161,4.212532,46,139,405.000031,278,0,0,0,0,4096,77.94922,4018.05078,1.9030571,38,77488,13071,37,18.2516556
05/02/2020 23:31:22,49.21875,29.6875,21.875,27.8846149,32.16647,81,75,67,62,80,3409.71948,3409.71948,3409.71948,3409.71948,30.9266644,18.592907,0.133301675,0.6533443,100.285866,46.49985,3.66768646,4.219837,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,38,77488,13071,37,18.2516556
05/02/2020 23:31:23,63.7276764,64.84375,62.5,61.71875,63.19754,71,70,66,62,71,3409.719,3409.719,3409.719,3409.719,36.84957,24.4982529,0.0916149542,0.9261461,100.285858,46.32274,3.653717,4.23380661,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,38,77488,13071,37,18.2516556
05/02/2020 23:31:24,31.8750019,39.0625,28.125,19.53125,29.6484356,72,67,72,62,72,3409.71777,3409.71777,3409.71777,3409.71777,28.8770981,16.6235943,0.0602767,0.7519893,100.28582,46.4031219,3.660057,4.22746658,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,38,77488,13071,37,18.2516556
05/02/2020 23:31:25,7.03125,23.4375,14.0625,9.375,13.4765625,59,68,57,56,68,3510.00537,3510.00537,3610.29126,3610.29126,19.51104,7.377163,0.0240476578,0.4339142,100.285866,46.3606071,3.656704,4.2308197,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,38,77488,13071,37,18.2516556
05/02/2020 23:31:26,10.9375,21.875,12.5,15.625,15.234375,60,60,57,58,60,3510.00659,3409.7207,3510.00659,3610.29248,20.61361,8.46904,0.05914839,0.45294413,100.285904,46.3106956,3.65276718,4.23475647,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,38,77488,13071,37,18.2516556
05/02/2020 23:31:27,8.59375,22.65625,12.5,7.8125,12.890625,58,59,63,56,63,3409.71924,3510.00513,3610.291,3610.291,18.0977764,6.004837,0.0114952466,0.429277539,100.285858,46.3342,3.65462112,4.23290253,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,38,77488,13071,37,18.2516556
05/02/2020 23:31:28,29.0674572,25.78125,21.2053528,31.25,26.8260174,63,63,69,59,69,3510.005,3510.005,3510.005,3510.005,16.44949,13.6279869,0.0392513275,0.626429141,100.285851,46.9982338,3.706997,4.18052673,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,38,77488,13071,37,18.2516556
05/02/2020 23:31:29,27.2716351,16.40625,18.7019234,21.875,21.0636978,57,68,56,56,68,3510.00317,3510.00317,3610.289,3610.289,12.1163473,10.2462826,0.01597178,0.561446667,100.285805,47.1637878,3.72005463,4.167469,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,38,77488,13071,37,18.2516556
