,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
01/25/2020 00:00:00,17.96875,21.09375,17.96875,25,20.5078125,67.08841,5.29161453,2.595909,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61935,11249,83.01929,32,46.5521278
01/25/2020 00:00:01,45.21277,46.80851,45.21277,42.0212746,44.81383,68.022316,5.36527634,2.52224731,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61935,11249,83.01929,32,46.5521278
01/25/2020 00:00:02,66.17647,67.64706,61.7647057,75,67.64706,68.95288,5.438675,2.44884872,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61935,11249,83.01929,32,46.5521278
01/25/2020 00:00:03,36.71875,42.96875,38.28125,42.1875,40.0390625,69.21395,5.45926666,2.428257,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61935,11249,83.01929,32,46.5521278
01/25/2020 00:00:04,16.40625,22.65625,16.40625,14.0625,17.3828125,69.2342148,5.460865,2.42665863,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61935,11249,83.01929,32,46.5521278
01/25/2020 00:00:05,20.4241028,19.53125,16.40625,21.9866028,19.5870514,69.2700043,5.463688,2.42383575,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61935,11249,83.01926,32,46.55213
01/25/2020 00:00:06,8.59375,7.03125,7.8125,9.375,8.203125,69.267395,5.463482,2.42404175,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61935,11249,83.01926,32,46.55213
01/25/2020 00:00:07,14.7956734,14.0625,9.375,10.8413458,12.2686329,69.25627,5.46260452,2.42491913,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61935,11249,83.01926,32,46.55213
01/25/2020 00:00:08,13.3308525,16.40625,13.28125,14.0625,14.27021,69.25501,5.46250534,2.42501831,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61935,11249,83.01926,32,46.55213
