,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
01/26/2020 18:10:22,28.5714264,23.2142868,24.5689621,26.2931042,25.6619453,69.26647,5.46340942,2.42411423,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61943,11249,83.02334,32,46.5522346
01/26/2020 18:10:24,100,100,100,100,100,72.09183,5.68626,2.20126343,20,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61943,11249,83.02334,32,46.5522346
01/26/2020 18:10:24,100,100,100,100,100,73.84468,5.8245163,2.06300735,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61943,11249,83.02334,32,46.5522346
01/26/2020 18:10:25,100,100,100,100,100,74.06313,5.84174728,2.04577637,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61943,11249,83.02334,32,46.5522346
01/26/2020 18:10:26,100,100,100,100,100,74.07068,5.84234238,2.04518127,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61943,11249,83.02334,32,46.5522346
01/26/2020 18:10:27,96.09375,97.65625,96.875,100,97.65625,74.93344,5.91039276,1.97713089,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61943,11249,83.02334,32,46.5522346
01/26/2020 18:10:28,100,99.21875,98.4375,99.21875,99.21875,76.98101,6.0718956,1.815628,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,61943,11249,83.02334,32,46.5522346
01/26/2020 18:10:29,92.96875,98.4375,94.53125,96.09375,95.50781,76.75806,6.05431,1.83321381,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,22,61944,11249,83.02788,19,46.5522346
01/26/2020 18:10:30,96.875,100,99.21875,96.875,98.24219,76.11864,6.00387573,1.88364792,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,22,61944,11249,83.02788,19,46.5522346
