,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/temperature/1,/atigpu/0/temperature/2,/atigpu/0/temperature/3,/atigpu/0/temperature/7,/atigpu/0/temperature/8,/atigpu/0/temperature/9,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #2","Fan #3","Fan #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Memory","GPU VRM Core","GPU VRM Memory","GPU Liquid","GPU PLX","GPU Hot Spot","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total Bytes Written","Used Space","Temperature","Used Space"
04/02/2020 22:58:13,86.27451,63.92157,89.8039246,89.8039246,86.27451,100,0.856000066,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.56,3.456,3.37600017,1.016,0.816000044,0.56,0.552000046,0.568,59.5,46,34,53,36,53,2343,692,901,57.8125,89.84375,67.96875,90.625,76.5625,67,70,69,64,70,3700.00146,3700.00146,3700.00146,3700.00146,73.9454651,66.3429947,0,4.69850826,100.000038,26.4105759,4.20958328,11.7294235,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,642,0,300,150,0.900000036,29,30,4862.143,47.6881332,28,41.2484055
04/02/2020 22:58:14,85.4902,62.7451,88.62745,88.62745,85.4902,100,0.864,1.024,3.36000013,3.36000013,1.04000008,1.97600007,0.56,3.456,3.37600017,1.016,0.816000044,0.56,0.56,0.480000019,59.5,46,34,52,36,53,2339,689,901,44.53125,86.71875,75,97.65625,75.97656,61,69,68,64,69,3700.0022,3700.0022,3700.0022,3700.0022,71.8775558,64.06098,0,4.67284155,100.000061,26.4121017,4.20982742,11.7291794,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,642,0,307.16,150,0.900000036,0,30,4862.143,47.6881332,28,41.2484055
04/02/2020 22:58:15,85.4902,63.92157,88.62745,88.62745,85.4902,100,0.864,1.03200006,3.36000013,3.344,1.04000008,1.968,0.552000046,3.456,3.37600017,1.016,0.816000044,0.56,0.544,0.56,59.5,46,34,53,36,53,2339,688,897,50.78125,88.28125,72.65625,94.53125,76.5625,63,70,68,66,70,3700.003,3700.003,3700.003,3700.003,72.78227,65.04125,0,4.70835,100.000076,26.4142075,4.210163,11.7288437,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,642,0,302.039978,150,0.900000036,0,30,4862.143,47.6881332,28,41.2484055
04/02/2020 22:58:16,85.4902,61.9607849,88.62745,88.62745,85.4902,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.56,3.456,3.37600017,1.016,0.816000044,0.544,0.56,0.4,59,46,34,53,36,53,2339,690,889,55.46875,95.3125,62.5,90.625,75.97656,63,69,68,65,69,3700.00171,3700.00171,3700.00171,3700.00171,72.34088,64.62737,0,4.686913,100.000046,26.4141159,4.210148,11.7288589,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,642,0,301.13,150,0.900000036,0,30,4862.143,47.6881332,28,41.2484055
04/02/2020 22:58:17,85.09804,61.9607849,88.2353,87.84314,84.70589,100,0.864,1.024,3.36000013,3.344,1.04000008,1.97600007,0.552000046,3.456,3.37600017,1.016,0.816000044,0.56,0.56,0.56,58.5,46,34,53,36,54,2339,687,889,60.15625,82.8125,70.3125,96.875,77.53906,65,71,67,65,71,3700.00146,3700.00146,3700.00146,3700.00146,73.54112,65.95888,0,4.65318155,100.000038,26.4129181,4.209957,11.72905,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,642,0,300,150,0.900000036,0,30,4862.143,47.6881332,28,41.2484055
04/02/2020 22:58:18,85.09804,61.9607849,88.2353,87.84314,84.70589,100,0.864,1.024,3.36000013,3.36000013,1.04000008,1.97600007,0.552000046,3.456,3.37600017,1.016,0.816000044,0.56,0.552000046,0.56,59,46,34,53,36,53,2343,685,889,50.78125,88.28125,70.3125,94.53125,75.97656,64,71,69,65,71,3700.00244,3700.00244,3700.00244,3700.00244,73.28712,65.65768,0,4.63797855,100.000069,26.41404,4.21013641,11.72887,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,642,0,300,150,0.900000036,0,30,4862.143,47.6881332,28,41.2484055
04/02/2020 22:58:19,85.4902,62.7451,88.62745,88.62745,85.4902,100,0.864,1.024,3.36000013,3.36000013,1.04000008,1.97600007,0.56,3.456,3.37600017,1.016,0.816000044,0.56,0.56,0.552000046,59,46,34,53,36,53,2339,692,892,54.6875,87.5,73.4375,89.0625,76.171875,64,71,70,62,70,3700.00122,3700.00122,3700.00122,3700.00122,73.47763,65.85214,0,4.67731237,100.000038,26.4142075,4.210163,11.7288437,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,642,0,320.69,1500,1.087,0,30,4862.143,47.6881332,28,41.2484055
04/02/2020 22:58:20,85.09804,62.7451,88.62745,88.62745,85.09804,100,0.856000066,1.03200006,3.36000013,3.344,1.04000008,1.968,0.552000046,3.456,3.37600017,1.016,0.816000044,0.56,0.56,0.552000046,58.5,46,34,55,36,53,2335,688,894,70.3125,86.71875,70.3125,94.53125,80.46875,65,71,68,65,71,3700.00171,3700.00171,3700.00171,3700.00171,75.02005,67.41439,0,4.80924463,100.000046,26.4086151,4.20927048,11.7297363,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,59.0000038,642,0,300,150,0.900000036,0,30,4862.143,47.6881332,28,41.2484055
04/02/2020 22:58:21,85.4902,62.7451,88.62745,88.62745,85.4902,100,0.864,1.024,3.344,3.344,1.04000008,1.968,0.56,3.456,3.37600017,1.016,0.824000061,0.56,0.56,0.56,59.5,46,34,53,36,53,2339,685,891,62.5,83.59375,70.3125,93.75,77.53906,61,71,70,66,71,3700.00269,3700.00269,3700.00269,3700.00269,74.72538,67.1088257,0,4.76632357,100.000076,26.4078445,4.20914841,11.7298584,60.0000038,60.0000038,60.0000038,60.0000038,60.0000038,60.0000038,60.0000038,642,4,314.5,1500,1.087,0,30,4862.143,47.6881332,28,41.2484055
