,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Used Space","Temperature","Used Space"
09/08/2022 16:28:15,85.57692,89.42308,89.42308,90.38461,88.70192,70,73,73,70,73,3409.79956,3409.79956,3409.79956,3409.79956,42.164402,31.2051029,0.008141169,2.54278731,100.288223,11.3717194,3.629284,28.2857285,0,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,145.507813,2.9296875,48.3293648,34,57.2651939
09/08/2022 16:28:16,81.25,84.375,85.9375,90.625,85.546875,72,70,74,69,75,3409.71265,3409.71265,3409.71265,3409.71265,40.1056023,30.88598,0.009413222,2.60158658,100.285667,11.8077469,3.768444,28.1465683,0,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,113.28125,2.9296875,48.3293648,34,57.2651939
09/08/2022 16:28:17,96.6666641,93.3333359,93.3333359,95.33333,94.6666641,74,72,73,68,75,3409.71387,3409.71387,3409.71387,3409.71387,38.9316444,31.3568687,0.09585768,2.54181862,100.2857,12.0982742,3.861164,28.0538483,47,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,26.3671875,0,48.3293648,34,57.2651939
09/08/2022 16:28:18,97.22222,98.14815,96.2962952,99.07407,97.68518,77,70,76,66,76,3409.717,3409.717,3409.717,3409.717,39.60519,30.910141,0.05510548,2.945844,100.2858,12.3115768,3.92924118,27.9857712,47,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,0,0,48.3293648,34,57.2651939
09/08/2022 16:28:19,65.625,71.875,71.09375,81.25,72.46094,75,75,74,68,74,3409.71387,3409.71387,3409.71387,3409.71387,35.1165466,28.5371323,0.04081032,2.36829424,100.285706,12.5380554,4.001522,27.91349,48,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,0,3.90625,48.3293648,34,57.2651939
09/08/2022 16:28:20,52.34375,63.28125,57.4280739,56.25,57.3257675,64,73,65,69,75,3409.71484,3409.71484,3409.71484,3409.71484,33.93715,26.7635822,0.04566993,2.283622,100.285728,12.6869431,4.049038,27.8659744,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,141.601563,2.9296875,48.3293648,34,57.2651939
09/08/2022 16:28:21,46.875,50.78125,38.05288,33.59375,42.32572,70,70,67,63,70,3409.71338,3509.999,3409.71338,3409.71338,29.83186,20.72387,0.04496195,1.888767,100.28569,12.70919,4.056141,27.8588715,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,107.421875,3.90625,48.3293648,34,57.2651939
09/08/2022 16:28:22,31.25,42.1875,35.15625,30.46875,34.765625,59,59,63,59,63,3409.71533,3510.001,3409.71533,3409.71533,25.43344,16.5472488,0.0126052285,1.48716855,100.285744,12.71479,4.057926,27.8570862,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,142.578125,4.8828125,48.3293648,34,57.2651939
09/08/2022 16:28:23,21.875,23.4375,39.84375,24.21875,27.34375,57,59,72,56,72,3409.71362,3409.71362,3409.71362,3409.71362,24.3399563,15.36809,0.012445841,1.355129,100.2857,12.7671738,4.074646,27.8403664,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,87.890625,4.8828125,48.3293648,34,57.2651939
