,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
05/13/2022 00:14:29,68.75,60.9375,35.15625,60.9375,56.4453125,56,68,67,59,68,3409.71533,3409.71533,3409.71533,3409.71533,19.4524651,179.579941,223.411957,180.0278,100.285744,45.23054,14.4212,17.4625664,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:32,76.15385,72.72727,65.90909,64.3939362,69.7960358,61,62,60,51,61,3409.71533,3409.71533,3409.71533,3409.71533,35.9221878,24.1804276,0.0159733277,2.78566957,100.285744,68.750946,21.9203911,9.963375,31,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:33,100,100,100,100,100,67,64,63,55,67,3409.71533,3409.71533,3409.71533,3409.71533,43.9271278,29.9811535,0.9167421,3.109905,100.285744,66.6735,21.2580223,10.6257439,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:34,83.84615,84.61539,85.38461,82.30769,84.03846,65,57,59,51,65,3409.71753,3409.71753,3409.71753,3409.71753,42.0979271,28.9890633,0.089004226,3.16777658,100.285805,62.6550331,19.9767838,11.9069824,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:35,50,55.384613,58.4615364,43.8461533,51.9230766,56,60,56,51,63,3409.71533,3409.71533,3409.71533,3409.71533,36.08527,23.3693066,0.0009766766,2.46269,100.285744,58.98072,18.805275,13.0784912,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:37,45.38461,50.7692261,62.3076935,49.2307663,51.9230728,66,65,64,55,67,3409.7146,3409.7146,3409.7146,3409.7146,35.5853539,22.8217888,0.0128656477,2.53641963,100.285721,55.2460136,17.61451,14.2692566,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:37,61.11111,61.71875,62.5,47.65625,58.24653,67,61,61,55,67,3409.71655,3409.71655,3409.71655,3409.71655,38.67619,25.1878834,0.7661348,2.48644,100.285782,51.9367,16.5593758,15.32439,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:38,53.125,53.1746025,52.38095,49.2063446,51.97172,59,61,54,50,60,3409.71533,3409.71533,3409.71533,3409.71533,31.8561611,23.7838116,0.0007410018,2.377257,100.285744,48.6196671,15.5017815,16.3819847,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:39,29.6875,40.625,21.875,17.96875,27.5390625,59,57,51,51,59,3409.71582,3409.71582,3409.71582,3409.71582,19.597559,17.2758713,0,2.1516695,100.285759,45.1374359,14.3915138,17.4922523,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:40,25.3846169,36.9230728,29.2307682,23.84615,28.8461571,58,51,48,45,58,3409.716,3409.716,3409.716,3409.716,18.1753235,15.9576206,0.00252640573,1.870202,100.285767,42.6130333,13.5866394,18.2971268,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:41,11.5384579,24.6153831,13.8461533,16.1538486,16.53846,42,47,42,42,47,3409.71533,3409.71533,3409.71533,3409.71533,12.8650742,10.7848024,0,1.53578675,100.285744,41.3259735,13.1762772,18.707489,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,30,7.98132324,70.87641
05/13/2022 00:14:42,19.9999981,32.30769,25.3846169,18.4615364,24.0384579,48,60,46,46,60,3409.71533,3409.71533,3409.71533,3409.71533,15.13294,12.9778128,0.004211466,1.66689825,100.285744,38.7328262,12.3494835,19.5342827,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:44,11.71875,43.75,24.21875,13.28125,23.2421875,58,57,49,48,58,3409.71582,3409.71582,3409.71582,3409.71582,17.7772141,15.5954123,0.00561339967,1.7341783,100.285759,38.5582428,12.2938194,19.5899467,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
