,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
04/12/2020 19:32:15,31.5789452,13.1578922,10.5263176,23.68421,19.736845,51,50,49,46,52,3409.70947,3409.70947,3409.70947,3409.70947,0.761981964,0.9327036,3.15995884,3.08196378,100.285576,72.93495,5.752762,2.13476181,23,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:21,81.87251,84.1633453,84.46215,84.86056,83.8396454,51,52,53,49,53,3409.70947,3409.70947,3409.70947,3409.70947,35.8530579,24.7593384,0.671616,1.4566021,100.285576,81.6233,6.438057,1.44946671,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:22,99.2063446,98.4127,96.82539,97.61904,98.01588,56,55,54,50,56,3409.712,3409.712,3409.712,3409.712,28.2436237,26.1978073,0.372443855,1.5527246,100.285645,81.30768,6.413162,1.47436142,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:23,95.3125,96.09375,96.09375,95.3125,95.703125,54,55,53,49,55,3409.711,3409.711,3409.711,3409.711,28.0190372,26.0899811,0.194768369,1.58455014,100.285622,80.44047,6.344761,1.54276276,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:24,100,100,100,100,100,53,53,55,49,54,3409.709,3409.709,3409.709,3409.709,27.96951,26.0055428,0.2020147,1.73072851,100.285561,81.774826,6.45000839,1.43751526,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:25,100,100,100,100,100,56,56,53,50,56,3409.71313,3409.71313,3409.71313,3409.71313,27.7143078,25.81173,0.162715733,1.70211148,100.285683,83.35274,6.57446671,1.313057,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:26,91.40625,93.75,94.53125,94.53125,93.55469,54,54,54,49,54,3409.71167,3409.71167,3409.71167,3409.71167,27.46019,25.5572681,0.1666152,1.7272234,100.285637,82.82441,6.532795,1.3547287,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:27,77.34375,76.5625,85.15625,82.03125,80.27344,54,55,54,51,55,3409.712,3409.712,3409.712,3409.712,26.8133011,24.854187,0.283738941,1.49818039,100.285645,83.08761,6.55355453,1.33396912,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:28,59.375,64.84375,67.1875,66.40625,64.453125,55,55,54,50,55,3409.711,3409.711,3409.711,3409.711,25.9302788,24.1246128,0.201749027,1.288331,100.285622,83.24653,6.56608963,1.321434,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:29,52.34375,53.90625,58.59375,58.59375,55.859375,55,53,53,49,54,3409.71118,3409.71118,3409.71118,3409.71118,23.45455,21.7573471,0.168406546,1.0149399,100.285622,83.3132248,6.57135,1.31617355,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:30,45.3125,45.3125,48.4375,46.875,46.484375,54,51,52,46,52,3409.711,3409.711,3409.711,3409.711,22.764864,21.1915855,0.112959608,0.95472014,100.285614,83.53589,6.588913,1.29861069,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:31,52.34375,53.90625,52.34375,60.15625,54.6875,52,52,53,50,53,3409.71069,3409.71069,3409.71069,3409.71069,21.8261833,20.1875477,0.119789138,1.13442647,100.285606,83.6046143,6.59433365,1.29319,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:32,31.4484119,28.90625,41.40625,45.51091,36.817955,44,44,50,45,50,3409.7124,3509.998,3409.7124,3409.7124,19.1487961,17.79046,0.0229850132,0.729111731,100.28566,83.45222,6.58231354,1.30521011,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:33,11.6947117,12.5,42.96875,29.6634617,24.2067337,44,43,50,46,50,3509.99683,3409.71118,3409.71118,3409.71118,15.1683664,13.9003859,0.07250665,0.519580066,100.285629,83.14545,6.558117,1.32940674,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:34,11.71875,8.59375,39.0625,31.25,22.65625,44,44,50,45,50,3509.997,3409.71143,3409.71143,3509.997,14.8282146,13.6064587,0.0926941559,0.474322468,100.285629,83.1142044,6.55565262,1.331871,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:35,29.6875,23.4375,46.09375,39.84375,34.765625,46,43,48,47,48,3409.71143,3409.71143,3409.71143,3409.71143,17.239502,15.7398491,0.213397,0.7721948,100.285629,83.53792,6.589073,1.29845047,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:36,14.84375,10.9375,35.9375,32.8248978,23.6359119,43,43,48,44,48,3409.71143,3509.997,3409.71143,3409.71143,15.7164192,14.51459,0.03241243,0.5429387,100.285629,83.59721,6.59375,1.29377365,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:37,10.2430582,11.71875,35.15625,35.9375,23.26389,43,42,51,46,51,3409.71118,3409.71118,3509.99683,3409.71118,15.051198,13.8967514,0.0236211624,0.446055442,100.285622,83.5047455,6.5864563,1.30106735,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
