,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Temperature","Used Space"
05/04/2020 01:29:44,21.9512215,13.269454,15.4761906,19.1928024,17.47241,56,41,39,39,48,3409.72266,3510.00854,3409.72266,3510.00854,13.0561676,16.418663,23.8758869,23.1891136,100.285965,52.9738579,4.17832565,3.709198,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77491,13073,38,23.4776535
05/04/2020 19:19:16,13.921279,13.0855446,12.54127,13.5756311,13.2809277,53,53,49,48,52,2406.863,902.573669,902.573669,802.2877,0.04129292,0.0267649833,0.002182981,0.00175550522,100.285965,58.9195,4.64728928,3.24023438,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77491,13073,38,23.4776535
05/04/2020 19:19:17,16.40625,7.03125,39.84375,46.875,27.5390625,58,56,79,66,79,3409.72314,3409.72314,3409.72314,3409.72314,19.99786,18.2102337,0,0.362053573,100.285973,58.6232719,4.62392426,3.2635994,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:18,19.53125,3.125,43.8244057,40.724205,26.8012161,61,58,80,65,80,3409.72266,3409.72266,3510.00854,3409.72266,20.90285,19.13322,0,0.358789623,100.285957,58.6530151,4.62627029,3.26125336,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:19,19.53125,17.96875,48.4254837,42.15144,32.0192337,60,58,80,65,80,3409.72241,3409.72241,3409.72241,3510.00854,22.7041245,20.9010277,0,0.403001279,100.285957,58.9057159,4.646202,3.24132156,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:20,19.53125,14.84375,39.84375,38.28125,28.125,60,59,79,65,79,3409.72241,3409.72241,3510.0083,3409.72241,21.1917534,19.4100819,0,0.3784515,100.28595,58.92385,4.6476326,3.239891,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:21,23.4375,14.84375,42.1875,42.96875,30.859375,60,59,80,67,80,3409.72168,3409.72168,3510.00757,3510.00757,22.9469872,21.15226,0,0.407438666,100.285927,58.9503021,4.649719,3.23780441,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:22,21.09375,17.1875,46.09375,40.625,31.25,60,58,82,68,82,3409.72363,3409.72363,3409.72363,3409.72363,22.1880627,20.3803749,0,0.3906172,100.285988,58.88806,4.64480972,3.242714,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:23,11.71875,14.84375,39.84375,45.3125,27.9296875,76,61,76,66,76,3409.72266,3409.72266,3409.72266,3409.72266,20.14597,18.3798065,0,0.377811253,100.285957,58.8506279,4.641857,3.2456665,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
