,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
03/08/2020 12:52:07,66.1086349,69.53125,75.78125,72.65625,71.01935,52.907505,4.173092,3.71443176,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:08,30.46875,61.71875,41.40625,33.59375,41.796875,53.853157,4.24768066,3.639843,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:09,6.22596169,33.59375,8.59375,5.46875,13.4705544,53.6561737,4.2321434,3.65538025,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:10,21.875,32.03125,19.53125,10.9375,21.09375,54.2664261,4.28027725,3.6072464,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:11,51.5625,54.6875,48.4375,36.71875,47.8515625,54.8279762,4.3245697,3.562954,40,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:12,51.5625,59.375,62.5,45.3125,54.6875,54.9999123,4.338131,3.5493927,40,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:13,42.36111,46.875,47.65625,36.71875,43.40278,54.76999,4.319996,3.56752777,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:14,18.6538467,26.5625,26.5625,16.40625,22.0462742,54.74876,4.318321,3.56920242,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:15,14.1129017,12.5,25.14881,12.775219,16.1342316,54.6322,4.309128,3.57839584,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:16,9.303975,10.9375,17.1394234,8.43823,11.4547787,54.64618,4.31023026,3.5772934,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:17,17.2495,13.380456,28.96825,23.8095226,20.8519344,54.05624,4.26369858,3.623825,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:18,21.7788467,20.8533649,33.4375038,21.53846,24.4020462,54.4745827,4.29669571,3.590828,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:19,9.399801,7.8125,4.6875,4.724705,6.656122,54.369873,4.288437,3.59908676,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:20,23.2091312,31.25,20.2644234,9.33894,21.0156269,54.5150681,4.29988861,3.587635,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:21,6.27480125,3.90625,11.71875,14.0625,8.990574,54.47352,4.296612,3.59091187,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:22,0.78125,0,1.5625,0.793647766,0.784349442,54.4741974,4.296665,3.59085846,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:24,17.7716732,3.296703,3.88889313,3.30281258,7.065022,54.4267044,4.292919,3.59460449,39,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:24,11.913228,7.89473629,18.4210548,11.8421078,12.51778,54.0454063,4.262844,3.62467957,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:25,0.78125,0,0.806450844,0,0.3969252,54.0249,4.26122665,3.626297,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:26,0,0,0.78125,0.7692337,0.387620926,54.0209846,4.26091766,3.626606,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:27,7.03125,10.255456,12.4278841,6.299603,9.003544,54.1130676,4.268181,3.6193428,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:28,0,0,0.78125,0,0.1953125,54.1042633,4.26748657,3.620037,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:29,1.5625,0.78125,2.35614777,0,1.17497444,54.09991,4.26714325,3.6203804,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:30,7.03125,9.88456,11.71875,7.8125,9.111762,54.09338,4.26662827,3.62089539,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:31,19.3870182,34.20673,21.8028851,13.1971121,22.1484356,54.1885147,4.274132,3.61339188,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:32,24.21875,21.875,10.9995,5.518353,15.6529064,54.1805344,4.27350235,3.6140213,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,68506,12208,85.12755,26,48.28809
03/08/2020 12:52:33,13.3928537,14.1989117,17.96875,7.88690472,13.3618536,54.44605,4.294445,3.59307861,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:34,16.40625,35.15625,21.09375,13.1850958,21.4603367,55.08295,4.344681,3.54284286,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:35,8.59375,8.533657,3.88221145,7.8125,7.205534,55.3169823,4.36314,3.52438354,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:36,1.5625,4.78830338,1.5625,0,1.97832584,55.3054733,4.362232,3.52529144,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:37,3.125,0.757575035,2.34375,3.90625,2.53314376,55.3238,4.363678,3.52384567,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:38,2.34375,0.78125,3.125,0.78125,1.7578125,55.31877,4.36328125,3.5242424,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:39,4.6875,1.5625,2.34375,0.78125,2.34375,55.3139343,4.3629,3.52462387,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:40,3.125,12.5,7.10685253,1.53846145,6.06758,55.09427,4.34557343,3.54195023,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:41,7.0192337,26.5625,6.93655,10.15625,12.6686335,55.060894,4.34294128,3.54458237,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:42,14.84375,38.28125,19.53125,15.625,22.0703125,55.3508835,4.365814,3.52170944,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:43,5.54435253,42.96875,7.8125,6.31200075,15.6594038,55.317852,4.363209,3.52431488,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:44,2.2964,40.625,24.21875,4.66346169,17.9509048,55.30702,4.36235428,3.52516937,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:45,42.1875,18.75,23.4375,16.4310513,25.2015114,55.39301,4.369137,3.51838684,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:47,35.15625,38.28125,32.8125,21.70673,31.9891815,55.93575,4.41194534,3.47557831,38,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:47,75,69.53125,75.78125,71.875,73.046875,56.9011841,4.48809433,3.39942932,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:48,59.0401764,64.84375,55.7787666,58.17212,59.4587021,57.254818,4.5159874,3.37153625,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:49,23.9783649,39.84375,38.2091331,24.11058,31.5354576,57.8269119,4.56111145,3.3264122,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:50,10.9375,14.0625,26.5625,21.09375,18.1640625,57.8247375,4.56094,3.32658386,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:51,25.6850967,42.96875,38.28125,33.59375,35.13221,56.890976,4.48728943,3.40023422,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:52,35.9375,44.53125,41.40625,34.375,39.0625,51.41887,4.05567551,3.83184814,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:53,15.625,19.53125,32.03125,17.96875,21.2890625,51.4593,4.05886459,3.828659,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:54,14.0873013,17.1875,26.5748978,46.1185532,25.99206,51.25279,4.042576,3.84494781,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:55,11.6706734,28.125,36.38221,35.76923,27.9867764,51.3913536,4.053505,3.83401871,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:56,0.78125,0.793647766,19.53125,50.35962,17.8664436,51.5812759,4.06848526,3.81903839,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:57,10.9375,36.4543266,29.6875,14.0625,22.7854557,51.6031837,4.07021332,3.81731033,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:58,16.29808,24.21875,51.5625,2.3317337,23.602766,51.68516,4.076679,3.81084442,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:52:59,31.5384636,5.4086566,50,2.34375,22.3227139,51.7631226,4.08282852,3.80469513,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:53:00,11.943161,79.56149,25.3968239,1.57489777,29.619091,51.897625,4.093437,3.79408646,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:53:01,41.3053627,1.53846145,46.9230766,0,22.4417267,51.975872,4.09960938,3.78791428,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:53:02,11.943161,48.4126968,27.1633377,6.349206,23.4671,51.96364,4.09864426,3.78887939,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,68506,12209,85.136055,26,48.28809
03/08/2020 12:53:03,35.15625,54.6875,0,0.78125,22.65625,52.0494843,4.10541534,3.78210831,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:04,21.07644,64.04429,3.78787518,0.757575035,22.416544,52.1272049,4.11154556,3.775978,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:05,36.2903252,51.9329262,2.41935253,0.806450844,22.86226,52.16154,4.114254,3.77326965,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:06,21.875,53.90625,56.25,29.6875,40.4296875,52.51953,4.14249039,3.74503326,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:07,45.3125,14.84375,34.375,53.90625,37.109375,52.6748238,4.15473938,3.73278427,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:08,17.6923027,35.384613,47.6923065,22.3076935,30.76923,53.5278168,4.222019,3.66550446,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:09,42.06349,25.3968239,42.85714,9.523809,29.9603157,54.2893524,4.28208542,3.60543823,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:10,22.0982132,37.5,59.375,21.9494038,35.2306557,53.7789726,4.241829,3.64569473,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:11,29.4711533,74.21875,47.1850166,39.84375,47.67967,56.2648163,4.43790054,3.449623,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:12,53.67063,33.59375,65.94952,33.59375,46.7019157,56.87947,4.48638153,3.40114212,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:13,43.4375,67.1875,35.15625,21.7307682,41.87801,56.1410522,4.42813873,3.459385,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:14,43.26637,55.46875,49.21875,20.3125,42.0665932,56.45058,4.452553,3.43497086,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:15,49.5793266,42.1875,36.71875,35.15625,40.9104576,56.80078,4.480175,3.40734863,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:16,43.75,48.4375,43.75,44.53125,45.1171875,59.0686035,4.65905,3.22847366,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:17,67.42424,54.5454559,33.3333359,34.09091,47.3484879,59.5187721,4.694557,3.19296646,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:18,41.12903,32.2580643,50,45.161293,42.1371,56.2238541,4.43466949,3.45285416,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:19,31.25,46.09375,39.0625,19.53125,33.984375,56.25166,4.436863,3.45066071,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:20,53.90625,24.21875,58.59375,50,46.6796875,54.2199974,4.276615,3.61090851,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:21,50.7692261,53.0769234,46.9230766,42.3076859,48.26923,54.2633324,4.280033,3.60749054,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:22,28.5714264,55.5555534,51.5873032,19.0476189,38.69048,54.26749,4.280361,3.60716248,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:23,69.24603,36.71875,31.6532249,27.34375,41.24044,54.3909149,4.29009628,3.59742737,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:24,37.259613,25.78125,47.7983,55.46875,41.57698,54.3646049,4.288021,3.59950256,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:25,27.34375,56.25,53.125,50.78125,46.875,55.3302841,4.364189,3.5233345,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:26,78.46154,29.2307682,57.6923065,25.3846169,47.6923065,55.88487,4.40793228,3.47959137,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:27,38.0952377,59.5238075,62.69841,39.6825371,50,55.83999,4.40439224,3.48313141,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:28,30.46875,43.75,57.8125,28.90625,40.234375,55.776535,4.39938736,3.48813629,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:29,17.96875,55.46875,23.58631,21.3417645,29.5913925,55.7762,4.39936066,3.488163,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:30,34.6354141,45.65972,43.52163,15.625,34.8604431,55.9837761,4.41573334,3.47179031,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:31,28.125,33.3173027,44.0600166,8.59375,28.5240173,55.90586,4.409588,3.47793579,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:32,32.7524071,34.375,19.3750019,14.6875019,25.2974739,54.8080025,4.322994,3.56452942,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,68507,12209,85.15973,27,48.28809
03/08/2020 12:53:33,50,6.25,6.32440472,10.3174572,18.22297,54.4238,4.29269028,3.59483337,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,68507,12210,85.1595459,27,48.28809
03/08/2020 12:53:34,55.04712,4.6875,3.08893919,10.76923,18.3981953,54.2253647,4.27703857,3.610485,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,68507,12210,85.1595459,27,48.28809
03/08/2020 12:53:35,38.13702,11.71875,10.15625,31.25,22.8155022,54.03365,4.261917,3.62560654,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,68507,12210,85.1595459,27,48.28809
