,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/15,/intelcpu/0/load/16,/intelcpu/0/load/17,/intelcpu/0/load/18,/intelcpu/0/load/19,/intelcpu/0/load/20,/intelcpu/0/load/21,/intelcpu/0/load/0,/intelcpu/0/load/1,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/temperature/9,/intelcpu/0/temperature/10,/intelcpu/0/temperature/11,/intelcpu/0/temperature/12,/intelcpu/0/temperature/13,/intelcpu/0/temperature/14,/intelcpu/0/temperature/15,/intelcpu/0/temperature/16,/intelcpu/0/temperature/17,/intelcpu/0/temperature/18,/intelcpu/0/temperature/19,/intelcpu/0/temperature/20,/intelcpu/0/temperature/21,/intelcpu/0/temperature/22,/intelcpu/0/temperature/23,/intelcpu/0/temperature/24,/intelcpu/0/temperature/25,/intelcpu/0/temperature/26,/intelcpu/0/temperature/27,/intelcpu/0/temperature/28,/intelcpu/0/temperature/29,/intelcpu/0/temperature/30,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/clock/9,/intelcpu/0/clock/10,/intelcpu/0/clock/11,/intelcpu/0/clock/12,/intelcpu/0/clock/13,/intelcpu/0/clock/14,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/3,/intelcpu/0/voltage/0,/intelcpu/0/voltage/1,/intelcpu/0/voltage/2,/intelcpu/0/voltage/3,/intelcpu/0/voltage/4,/intelcpu/0/voltage/5,/intelcpu/0/voltage/6,/intelcpu/0/voltage/7,/intelcpu/0/voltage/8,/intelcpu/0/voltage/9,/intelcpu/0/voltage/10,/intelcpu/0/voltage/11,/intelcpu/0/voltage/12,/intelcpu/0/voltage/13,/intelcpu/0/voltage/14,/intelcpu/0/clock/0,/ram/data/0,/ram/data/1,/ram/load/0,/ram/data/2,/ram/data/3,/ram/load/1,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/smalldata/5,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/power/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/smalldata/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/9,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/11,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/10,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/3,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/4,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/5,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/6,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/7,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/2,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/12,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/8,/hdd/1/load/0,/hdd/1/load/31,/hdd/1/load/32,/hdd/1/load/33,/hdd/1/throughput/34,/hdd/1/throughput/35,/hdd/0/load/0,/hdd/0/load/31,/hdd/0/load/32,/hdd/0/load/33,/hdd/0/throughput/34,/hdd/0/throughput/35,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/2,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/3,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/7,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/8,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/load/1,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/2,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/3,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/7,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/8,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/load/1,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/2,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/3,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/7,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/8,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/load/1,/battery/level/0,/battery/voltage/1,/battery/current/2,/battery/energy/3,/battery/energy/4,/battery/energy/5,/battery/power/0,/battery/level/0
Time,"CPU Core #1 Thread #1","CPU Core #1 Thread #2","CPU Core #2 Thread #1","CPU Core #2 Thread #2","CPU Core #3 Thread #1","CPU Core #3 Thread #2","CPU Core #4 Thread #1","CPU Core #4 Thread #2","CPU Core #5 Thread #1","CPU Core #5 Thread #2","CPU Core #6 Thread #1","CPU Core #6 Thread #2","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","CPU Core Max","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Core #1 Distance to TjMax","CPU Core #2 Distance to TjMax","CPU Core #3 Distance to TjMax","CPU Core #4 Distance to TjMax","CPU Core #5 Distance to TjMax","CPU Core #6 Distance to TjMax","CPU Core #7 Distance to TjMax","CPU Core #8 Distance to TjMax","CPU Core #9 Distance to TjMax","CPU Core #10 Distance to TjMax","CPU Core #11 Distance to TjMax","CPU Core #12 Distance to TjMax","CPU Core #13 Distance to TjMax","CPU Core #14 Distance to TjMax","Core Max","Core Average","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Cores","CPU Memory","CPU Core","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","Bus Speed","Memory Used","Memory Available","Memory","Virtual Memory Used","Virtual Memory Available","Virtual Memory","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Processing","D3D VR","GPU Hot Spot","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","GPU Power","D3D Shared Memory Used","D3D 3D","D3D Video Decode","D3D Copy","D3D Video Processing","D3D Video Decode","D3D Other","D3D Other","D3D Other","D3D Other","D3D Other","D3D GDI Render","D3D Video Processing","D3D Other","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Charge Level","Voltage","Charge/Discharge Current","Designed Capacity","Full Charged Capacity","Remaining Capacity","Charge/Discharge Rate","Degradation Level"
06/20/2024 03:00:15,0.155633688,0.0789701939,0.10535717,0.0300467014,1.85074806,1.11296177,1.81964636,0.858891,0.09897351,0.0497221947,0.104385614,0.03299713,0.642812252,0.438451767,0.343430042,0.339055061,0.6229937,0.426548719,0.3951788,0.405567884,0.495606661,1.85074806,53,52,55,54,50,46,44,45,45,47,48,48,49,47,57,47,48,45,46,50,54,56,55,55,53,52,52,51,53,55,48.7857132,4081.77661,4081.77661,4081.77661,4081.77661,4081.77661,3982.22119,3185.77686,3285.33252,1095.11084,1095.11084,1095.11084,1095.11084,1095.11084,1095.11084,1.438641,0.4709394,0,0.9074707,0.917480469,1.01293945,1.032959,1.0279541,1.01293945,1.01794434,1.00793457,1.01635742,1.01635742,1.00134277,1.01635742,1.00134277,1.01635742,0.966430664,99.55553,10.4061508,21.2609329,32.8611,10.8540154,28.5630684,27.5363235,55,2355,8000.982,0,0,0,0,0,0.25,0,0,0,0.0009964729,0,0,0,0,0,47.125,6141,5921,220,3.58247828,16.902,22528,0,0.00373682566,231.375,0.00581430737,0,0,0,0,0,0,0,0,0,0,0,0,65.2296753,0.0125522772,0.928819,1.57072258,4560.368,39665.8359,62.2578163,0,0.0065270504,0.7152348,0,21.8164272,0,0,0,0,0,0,0,0,0,0,0.006636652,0.07420928,31.143549,110.528931,0.0004197703,100.00119,17.147,0,90005,84232,84233,0,6.41408539
06/20/2024 10:14:26,69.93548,69.91213,69.9216156,69.9034958,70.41262,70.1959457,70.38838,70.19034,69.92505,69.9019241,69.92592,69.8990555,70.05229,0.311440229,0.244933367,0.257051,0.39716363,0.3172338,0.284463167,0.293105841,45.6334763,70.41262,52,46,54,59,48,55,43,40,40,41,46,45,46,43,51,48,54,46,41,52,45,57,60,60,59,54,55,54,57,59,47,3683.55444,3484.44336,3683.55444,3683.55444,3583.999,3484.44336,2887.11035,1095.11084,1095.11084,1095.11084,2986.66577,3086.22144,1095.11084,3285.33252,0.7624442,0.254065335,0,1.18005371,1.20593262,1.19299316,1.17346191,1.145752,1.15136719,1.15856934,1.17346191,1.22241211,1.26940918,1.20202637,1.15942383,1.19482422,1.21765137,1.128418,99.55553,10.85281,20.8142738,34.2715759,11.3240891,28.0929947,28.7288818,35,2355,7000.978,2,0,0,0,11.84375,7.828125,0,0,0,0.0005187731,0,0,0,0,0,41.15625,6141,5913,227,3.6995194,17.923,8192,0,0.00200046832,387.539063,0.00313188951,0,0,0,0,0,0,0,0,0,0,0,0,65.14981,0.008843527,0.321834356,45.77738,6126.944,17640.0547,62.25782,0,0.00183969492,45.4736481,0,16.2538147,0,0,0,0,0,0,0,0,0,0,0.007041105,0.07809466,16.6704617,160.144836,0.0005238972,100.00119,17.146,0,90005,84232,84233,0,6.41408539
06/20/2024 10:14:27,0,0,0,0,0,0,0,0,0,0,0,0,0,99.42388,98.8766251,99.33574,99.3271255,99.7798843,99.62905,99.25437,0,99.7798843,47,41,59,65,46,67,43,41,40,40,42,41,40,41,58,53,59,41,35,54,33,57,59,60,60,58,59,60,59,67,46.6428566,4081.77661,1393.77734,4081.77661,4081.77661,4081.77661,4081.77661,3285.33252,1095.11084,1095.11084,1095.11084,3285.33252,3285.33252,1095.11084,3285.33252,52.3883743,44.243454,0,1.26818848,1.21069336,1.19067383,1.20068359,1.21960449,1.20410156,1.22937012,1.20898438,1.22900391,1.20227051,1.20227051,1.22436523,1.22436523,1.24938965,1.13964844,99.55553,10.8843307,20.782753,34.3711166,11.362072,28.0550117,28.8252487,36,2355,7000.978,1,0,0,0,4.58203125,0.25,0,0,0,0.830462933,0,0,0,0,0,41.9375,6141,5921,220,3.58247828,18.262,0,0,0.0160486382,391.234375,1.009693,0,0,0,0,0,0,0,0,0,0,0,0,65.14981,51.089016,5.602655,41.61838,30555334,17130862,62.25782,0,3.37425733,3.11910868,0,53850.51,0,0,0,0,0,0,0,0,0,0,0.007135139,0.083154425,101892.227,5482618.5,16.5467,100.00119,17.146,0,90005,84232,84233,0,6.41408539
06/20/2024 10:14:28,55.06506,22.94873,29.0352516,42.1794,77.3828049,43.22201,61.44974,59.9447365,62.52048,31.5542641,57.6271477,32.518856,97.84264,94.59377,90.52123,87.96876,94.39547,96.60614,95.9036,92.819046,66.3049545,97.84264,47,50,54,55,47,46,41,44,44,44,41,40,40,41,54,53,50,46,45,53,54,59,56,56,56,59,60,60,59,55,45.2857132,1393.77734,3882.66553,4081.77661,4081.77661,1393.77734,4081.77661,1095.11084,1095.11084,1095.11084,1095.11084,2389.33252,1095.11084,3285.33228,1095.11084,54.0862846,44.8036842,0,1.21777344,1.20776367,1.22277832,1.20776367,1.201294,1.1862793,1.1862793,1.22619629,1.19494629,1.26000977,1.18530273,1.18664551,1.18884277,1.18884277,1.1574707,99.55553,10.9752312,20.6918526,34.658165,11.4111481,28.0059357,28.9497528,36,1065,7000.978,0,0,0,0,0.0625,0.25,0,0,0,0.0153162815,0,0,0,0,0,42.21875,6141,5921,220,3.58247828,16.703,5120,0,0.098507,391.0664,0,0,0,0,0,0,0,0,0,0,0,0,0,65.14981,32.3390045,27.11374,34.0106659,21938588,10470312,62.25782,0,0.18263559,0.6632035,0,32241.2051,0,0,0,0,0,0,0,0,0,0,0.00716466457,0.08325368,31340.99,105357.055,0.405031234,100.00119,17.146,0,90005,84232,84233,0,6.41408539
06/20/2024 10:14:35,63.4885139,57.8127,83.81747,16.4307823,28.6957321,70.25384,43.178524,40.6796379,23.29582,3.657204,19.3213577,4.081482,99.99943,100,99.9889755,99.98773,99.9993439,100,100,99.98053,62.73345,100,42,48,48,49,43,49,43,41,41,41,43,43,45,45,62,58,52,52,51,57,51,57,59,59,59,57,57,55,55,49,44.3571434,4081.77856,3783.11182,2986.66724,4081.77856,4280.88965,4081.77856,2389.33374,1095.11133,1095.11133,1095.11133,1095.11133,2389.33374,1095.11133,3285.334,45.31659,37.7780037,0,1.25012207,1.19165039,1.17663574,1.16174316,1.23352051,1.23706055,1.24707031,1.20947266,1.11071777,1.21276855,1.21276855,1.24633789,1.24633789,1.168457,1.168457,99.55557,11.6267433,20.04034,36.7155457,11.8802643,27.53682,30.1398849,37,1095,7000.978,0,0,0,0,0,0.25,0,0,0,0.004782016,0,0,0,0,0,45.375,6141,5921,220,3.58247828,590.006,189440,5120,0.07803209,391.082031,0.6889326,0,0,0,0,0,0,0,0,0,0,0,0,65.14981,11.579216,5.184831,14.7131977,23009258,30165608,62.25782,0,0.181568444,0.2232399,0,10697.4189,0,0,0,0,0,0,0,0,0,0,0.007344287,0.08984435,26655.1055,1007801.88,3.06505775,100.00119,17.146,0,90005,84232,84233,0,6.41408539
06/20/2024 10:14:37,10.0536289,0,21.2468452,4.70415354,44.7486038,40.68989,55.03136,25.2998657,26.2986069,9.173137,26.6356525,7.793653,100,100,99.94004,99.98549,100,100,99.9976,99.99189,53.0312424,100,39,53,54,65,40,63,41,43,47,47,50,49,49,49,65,61,47,46,35,60,37,59,57,53,53,50,51,51,51,65,49.2142868,1393.77808,4380.44531,4380.44531,4380.44531,4380.44531,4380.44531,1095.11133,1095.11133,1095.11133,1095.11133,1095.11133,1095.11133,2389.33374,1095.11133,40.54324,33.10463,0,0.938964844,0.9239502,0.9289551,0.9316406,0.9152832,0.9202881,0.9152832,0.9152832,0.9152832,0.9202881,0.9202881,0.9202881,0.9152832,0.9182129,0.9232178,99.55557,11.3669434,20.30014,35.89514,11.58054,27.836544,29.3794937,37,1080,7000.978,0,0,0,0,0,0.25,0,0,0,0.0106526511,0,0,0,0,0,45.96875,6141,5921,220,3.58247828,590.006,193536,5120,0.0388909578,391.082031,0.772011161,0,0,0,0,0,0,0,0,0,0,0,0,65.14981,48.3374023,47.45085,49.0989,31156702,14450909,62.25782,0,0.676629,0.6803945,0,4082.092,0,0,0,0,0,0,0,0,0,0,0.007354498,0.08987272,6724.18652,18677.3418,0.07526379,100.00119,17.146,0,90005,84232,84233,0,6.41408539
06/20/2024 10:14:38,12.6120567,10.9775839,20.1207523,12.1561766,55.57569,21.4599133,11.0462666,81.75353,14.9646873,7.998973,20.49073,0.9034991,100,100,99.9852142,100,100,100,99.90273,99.33935,53.46436,100,38,54,43,68,41,45,43,44,44,44,44,44,44,44,67,62,46,57,32,59,55,57,56,56,56,56,56,56,56,68,45.7142868,4380.446,4380.446,4380.446,4081.779,1393.7782,1393.7782,1095.11145,1095.11145,2389.334,1095.11145,2389.334,1095.11145,1095.11145,1095.11145,33.82893,27.1854515,0,1.16809082,1.18811035,1.2130127,1.197998,1.18310547,1.18310547,1.170166,1.19287109,1.18786621,1.04528809,1.1517334,1.20410156,1.232544,1.24060059,1.2355957,99.55558,11.3429222,20.3241615,35.8192825,11.5861816,27.8309021,29.3938065,37,1065,7000.978,0,0,0,0,0,0.25,0,0,0,0.0276189949,0,0,0,0,0,46.28125,6141,5921,220,3.58247828,590.006,178176,5120,0.182310849,391.082031,0,0,0,0,0,0,0,0,0,0,0,0,0,65.14981,41.6578751,100,90.82438,3.802079E+07,48522028,62.25782,0,0.291750818,0.2822115,0,13988.9639,0,0,0,0,0,0,0,0,0,0,0.00736292638,0.08989416,7975.78174,20287.5684,0.08374326,100.00119,17.146,0,90005,84232,84233,0,6.41408539
06/20/2024 10:14:40,2.76984572,0,5.9545517,0,60.6694,0.235688686,11.0715752,37.63025,6.71419525,0,6.637323,0,100,100,99.9023361,99.99273,100,100,100,99.82744,45.88812,100,44,47,51,49,45,48,45,45,45,45,45,45,45,45,51,56,53,49,51,55,52,55,55,55,55,55,55,55,55,51,46,4081.779,4081.779,3882.66772,4380.446,4081.779,2787.5564,1095.11145,3285.33423,2389.334,2389.334,2389.334,2389.334,1095.11145,1095.11145,33.4664879,26.4882488,0,1.31530762,1.300293,1.25024414,1.31896973,1.27893066,1.25390625,1.25891113,1.25891113,1.30395508,1.30395508,1.30395508,1.24621582,1.24621582,1.26623535,1.26623535,99.55558,11.3543243,20.31276,35.8552933,11.5898247,27.82726,29.4030533,40,1080,7000.978,0,0,0,0,0.0703125,0.25,0,0,0,0.0151717756,0,0,0,0,0,46.6875,6141,5921,220,3.58247828,590.006,179200,6144,0.006635366,391.082031,0.800366759,0,0,0,0,0,0,0,0,0,0,0,0,65.14981,17.9618416,100,91.46895,1.733596E+07,12577004,62.25782,0,0.103828184,0.115624927,0,5633.076,0,0,0,0,0,0,0,0,0,0,0.00736585353,0.08989539,2034.089,855.5729,0.008561961,100.00119,17.144,0,90005,84232,84233,0,6.41408539
06/20/2024 10:14:41,14.4289675,0.443691015,13.9769373,0.12652874,76.5278244,6.064439,66.36786,0,14.1891718,1.38062835,8.98925,0,100,100,99.57192,99.98047,100,100,100,99.97644,50.0285072,100,43,44,57,68,45,42,44,44,45,45,51,52,51,51,56,57,56,43,32,55,58,56,56,55,55,49,48,49,49,68,48.7142868,1393.7782,4380.446,4081.779,4380.446,1393.7782,1393.7782,1095.11145,1095.11145,1095.11145,2389.33423,1095.11145,3285.33447,1095.11145,1095.11145,31.5009537,24.38764,0,1.26928711,1.26928711,1.189209,1.18432617,1.19335938,1.24328613,1.21826172,1.27807617,1.25317383,1.25134277,1.22131348,1.24633789,1.2598877,1.26489258,1.27490234,99.55559,11.2541771,20.4129066,35.53904,11.4859161,27.9311676,29.1394348,41,2355,7000.978,0,0,0,0,11.8359375,7.828125,0,0,0,0.422816843,0,0,0,0,0,47.375,6141,5913,227,3.6995194,18.14,0,0,0.147464171,391.082031,0,0,0,0,0,0,0,0,0,0,0,0,0,65.14981,30.090229,100,95.83297,7.005949E+07,10679344,62.25782,0,0.15455924,0.15308845,0,8724.209,0,0,0,0,0,0,0,0,0,0,0.00737355649,0.08992329,7417.28125,26866.6816,0.101582117,100.00119,17.145,0,90005,84232,84233,0,6.41408539
