,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/15,/intelcpu/0/load/16,/intelcpu/0/load/17,/intelcpu/0/load/18,/intelcpu/0/load/19,/intelcpu/0/load/20,/intelcpu/0/load/21,/intelcpu/0/load/0,/intelcpu/0/load/1,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/temperature/9,/intelcpu/0/temperature/10,/intelcpu/0/temperature/11,/intelcpu/0/temperature/12,/intelcpu/0/temperature/13,/intelcpu/0/temperature/14,/intelcpu/0/temperature/15,/intelcpu/0/temperature/16,/intelcpu/0/temperature/17,/intelcpu/0/temperature/18,/intelcpu/0/temperature/19,/intelcpu/0/temperature/20,/intelcpu/0/temperature/21,/intelcpu/0/temperature/22,/intelcpu/0/temperature/23,/intelcpu/0/temperature/24,/intelcpu/0/temperature/25,/intelcpu/0/temperature/26,/intelcpu/0/temperature/27,/intelcpu/0/temperature/28,/intelcpu/0/temperature/29,/intelcpu/0/temperature/30,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/clock/9,/intelcpu/0/clock/10,/intelcpu/0/clock/11,/intelcpu/0/clock/12,/intelcpu/0/clock/13,/intelcpu/0/clock/14,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/3,/intelcpu/0/voltage/0,/intelcpu/0/voltage/1,/intelcpu/0/voltage/2,/intelcpu/0/voltage/3,/intelcpu/0/voltage/4,/intelcpu/0/voltage/5,/intelcpu/0/voltage/6,/intelcpu/0/voltage/7,/intelcpu/0/voltage/8,/intelcpu/0/voltage/9,/intelcpu/0/voltage/10,/intelcpu/0/voltage/11,/intelcpu/0/voltage/12,/intelcpu/0/voltage/13,/intelcpu/0/voltage/14,/intelcpu/0/clock/0,/ram/data/0,/ram/data/1,/ram/load/0,/ram/data/2,/ram/data/3,/ram/load/1,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/smalldata/5,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/power/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/smalldata/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/10,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/12,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/11,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/3,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/4,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/5,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/6,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/9,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/2,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/7,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/8,/hdd/1/load/0,/hdd/1/load/31,/hdd/1/load/32,/hdd/1/load/33,/hdd/1/throughput/34,/hdd/1/throughput/35,/hdd/0/load/0,/hdd/0/load/31,/hdd/0/load/32,/hdd/0/load/33,/hdd/0/throughput/34,/hdd/0/throughput/35
Time,"CPU Core #1 Thread #1","CPU Core #1 Thread #2","CPU Core #2 Thread #1","CPU Core #2 Thread #2","CPU Core #3 Thread #1","CPU Core #3 Thread #2","CPU Core #4 Thread #1","CPU Core #4 Thread #2","CPU Core #5 Thread #1","CPU Core #5 Thread #2","CPU Core #6 Thread #1","CPU Core #6 Thread #2","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","CPU Core Max","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Core #1 Distance to TjMax","CPU Core #2 Distance to TjMax","CPU Core #3 Distance to TjMax","CPU Core #4 Distance to TjMax","CPU Core #5 Distance to TjMax","CPU Core #6 Distance to TjMax","CPU Core #7 Distance to TjMax","CPU Core #8 Distance to TjMax","CPU Core #9 Distance to TjMax","CPU Core #10 Distance to TjMax","CPU Core #11 Distance to TjMax","CPU Core #12 Distance to TjMax","CPU Core #13 Distance to TjMax","CPU Core #14 Distance to TjMax","Core Max","Core Average","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Cores","CPU Memory","CPU Core","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","Bus Speed","Memory Used","Memory Available","Memory","Virtual Memory Used","Virtual Memory Available","Virtual Memory","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Processing","D3D VR","GPU Hot Spot","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","GPU Power","D3D Shared Memory Used","D3D 3D","D3D Video Decode","D3D Copy","D3D Video Processing","D3D Video Decode","D3D Other","D3D Other","D3D Other","D3D Other","D3D Overlay","D3D GDI Render","D3D Other","D3D Other","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate"
07/06/2024 16:52:24,47.7925224,47.4808159,47.7941933,47.7500267,50.9780121,51.4618759,50.10376,49.1985664,47.8040352,46.2182236,49.16242,47.06615,37.73652,37.6999359,37.6758041,37.6886826,37.71559,37.68321,37.81466,38.3858757,44.2605362,51.4618759,36,44,50,53,38,38,29,31,29,30,28,30,29,30,54,64,56,50,47,62,62,71,69,71,70,72,70,71,70,53,35.3571434,4081.778,4380.445,4081.778,4081.778,4081.778,4380.445,3484.44482,3484.44482,3484.44482,3484.44482,3484.44482,3484.44482,3484.44482,3484.44482,0.9014618,1.032964,0,1.28430176,1.32055664,1.33361816,1.11499023,1.17260742,1.15905762,1.19226074,1.23193359,1.24743652,1.2479248,1.24023438,1.25878906,1.230957,1.25097656,1.24694824,99.5555649,13.29707,18.3700142,41.9901924,16.0766144,23.09047,41.0462379,32,2355,8000.982,0,0,0,0,16.1523438,3.359375,0,0,0,3.19382048E-06,0,0,0,0,0,37.53125,6141,5909,231,3.76809049,20.536,0,0,1.1288203,887.277344,2.229606E-06,0,0,0,0,0,0,0,0,0,0,0,0,63.5731964,0.012999339,0.00425449526,99.99978,660.9778,146.523727,62.41278,0,9.819179E-07,99.99844,0,0.3914317
07/06/2024 16:52:25,50.6473427,57.1052246,63.1097336,52.56142,71.0141449,57.6113358,73.60326,51.0929642,62.151432,51.0744553,61.09755,52.3589745,71.43314,77.67266,69.72413,70.45778,74.73967,72.64084,70.23093,71.78066,64.10538,77.67266,51,54,63,60,52,51,45,45,45,45,45,45,45,45,63,49,46,37,40,48,49,55,55,55,55,55,55,55,55,63,49.3571434,4081.775,4081.775,4081.775,4081.775,4081.775,4081.775,3285.331,3285.331,3285.331,3285.331,3285.331,3285.331,3285.331,3285.331,79.1641846,70.63626,0,1.24060059,1.24060059,1.24060059,1.21166992,1.21716309,1.2088623,1.22753906,1.22753906,1.22753906,1.22753906,1.22253418,1.232544,1.22631836,1.22631836,1.22631836,99.55549,13.2681808,18.3989029,41.8989677,15.9812508,23.185833,40.80276,34,2355,7000.978,0,0,0,0,4.68359375,0.2734375,0,0,0,0.6099687,0,0,0,0,0,39,6141,5921,220,3.58247828,18.831,0,0,0.147412121,974.9492,9.94015,0,0,0,0,0,0,0,0,0,0,0,0,63.5731964,100,98.38323,99.3475952,167766464,53794652,62.41278,0.5792763,0.1377424,0.7794555,257635.266,47381.2
07/06/2024 16:52:26,38.25356,37.74355,59.27422,38.04675,45.53494,53.058712,63.7158623,28.38676,47.61306,32.6405869,46.03054,25.5957184,34.30999,40.60107,56.97189,42.14875,31.9954224,39.0645981,40.7327766,56.73402,42.9226379,63.7158623,57,54,57,57,52,53,44,44,43,43,43,43,43,43,55,43,46,43,43,48,47,56,56,57,57,57,57,57,57,57,48.2857132,4081.78,4081.78,4081.78,4081.78,4081.78,4081.78,3285.33521,3285.33521,3484.44629,3285.33521,3285.33521,3285.33521,3285.33521,3484.44629,62.08073,54.24851,0,1.27099609,1.26098633,1.27099609,1.29101563,1.22106934,1.236084,1.20605469,1.28613281,1.24609375,1.28930664,1.29931641,1.23425293,1.25927734,1.23425293,1.25427246,99.55561,13.2242813,18.4428024,41.7603378,15.9453163,23.2217674,40.7110138,34,2355,7000.978,0,0,0,0,4.68359375,0.2734375,0,0,0,0,0,0,0,0,0,39.6875,6141,5921,220,3.58247828,18.621,6144,0,0.261890382,971.1133,15.6577158,0,0,0,0,0,0,0,0,0,0,0,0,63.5731964,100,9.194333,100,235694128,19832002,62.41278,0,0.3223792,0.140070453,0,18701.6582
07/06/2024 16:52:27,47.9383163,59.6492767,20.771349,17.71459,28.4696522,20.7513924,31.42544,14.478159,22.4616222,15.92449,30.0184021,12.8010511,28.204792,24.1587524,48.32748,15.3839474,28.8441124,10.9506426,32.7346153,26.2344589,26.8621216,59.6492767,56,48,54,59,46,44,41,40,40,40,40,40,41,41,54,44,52,46,41,54,56,59,60,60,60,60,60,59,59,59,45,4081.778,4081.778,4081.778,4081.778,4081.778,4081.778,3285.3335,3285.3335,3285.3335,3285.3335,3285.3335,3285.3335,3285.3335,3285.3335,49.711647,42.1745377,0,1.26672363,1.2767334,1.28173828,1.2220459,1.2220459,1.22668457,1.22668457,1.17675781,1.18164063,1.26501465,1.27502441,1.27502441,1.27502441,1.28063965,1.27062988,99.5555649,13.3087234,18.35836,42.0269928,15.9798241,23.18726,40.7991142,35,2355,7000.978,0,0,0,0,4.68359375,0.2734375,0,0,0,0,0,0,0,0,0,40.25,6141,5921,220,3.58247828,18.774,1024,0,0.11163497,970.84375,6.6068635,0,0,0,0,0,0,0,0,0,0,0,0,63.5731964,100,11.4423609,100,8.352095E+07,6017483,62.41278,0,0.156629309,0.147236228,0,6471.4873
07/06/2024 16:52:28,60.2490654,61.829483,24.535387,24.92894,29.5351677,29.3332272,38.0556564,14.5351114,23.68126,21.08128,31.8822975,7.87867928,33.07105,22.1635761,44.62985,10.3151741,29.6799431,23.8813934,41.3611336,9.938711,29.1283245,61.829483,54,50,50,50,47,49,41,41,43,43,44,44,44,44,57,46,50,50,50,53,51,59,59,57,57,56,56,56,56,54,46,4081.776,4081.776,4081.776,4081.776,4081.776,4081.776,3285.33179,3285.33179,3285.33179,3285.33179,3285.33179,3285.33179,3285.33179,3285.33179,46.768158,39.18065,0,1.317749,1.31274414,1.29272461,1.32275391,1.31274414,1.31274414,1.30273438,1.34777832,1.31274414,1.34777832,1.32775879,1.32775879,1.32775879,1.31274414,1.32275391,99.55551,13.3234367,18.343647,42.0734558,16.0052872,23.1617966,40.86413,35,2355,7000.978,0,0,0,0,4.68359375,0.2734375,0,0,0,0,0,0,0,0,0,40.625,6141,5921,220,3.58247828,18.75,0,0,0.250971168,1014.27344,8.672096,0,0,0,0,0,0,0,0,0,0,0,0,63.5731964,100,15.04008,100,3.902534E+07,3047800,62.41278,0,0.16496706,0.16505906,0,12036.2539
07/06/2024 16:52:31,23.19548,18.9704247,14.8149014,11.9021,62.8376732,12.585145,38.89493,16.0473938,12.8646193,11.8427811,17.8687458,9.866148,24.226696,13.6575994,16.3253,22.3434982,14.6325951,13.8078747,14.2383461,18.81876,19.4870472,62.8376732,49,38,52,53,37,53,40,40,40,40,40,40,40,39,48,51,62,48,47,63,47,60,60,60,60,60,60,60,61,53,42.92857,4081.776,4081.776,4081.776,4081.776,4081.776,4081.776,3285.33179,3285.33179,3285.33179,3285.33179,3285.33179,3285.33179,3285.33179,3285.33179,32.3340569,25.3880081,0,1.251709,1.251709,1.251709,1.26171875,1.26171875,1.23815918,1.23815918,1.24609375,1.24609375,1.24609375,1.236084,1.236084,1.2199707,1.20996094,1.22998047,99.55551,13.3123093,18.3547745,42.03832,16.002533,23.16455,40.8570976,36,2355,8000.982,0,0,0,0,4.68359375,0.2734375,0,0,0,0,0,0,0,0,0,41.4375,6141,5921,220,3.58247828,20.57,8192,0,0.04133033,1023.30469,3.54658461,0,0,0,0,0,0,0,0,0,0,0,0,63.5731964,100,28.0613956,79.0065,22155072,5174346,62.41278,0,0.07526816,0.06416904,0,5879.675
07/06/2024 16:52:32,21.15264,10.17605,18.02637,12.0278473,54.35273,15.6262512,44.58461,15.94823,16.3864021,13.9636221,20.2968712,11.4052477,23.78733,19.93478,12.0975494,15.3822422,16.91112,14.602232,15.4652481,19.5321083,19.5829754,54.35273,43,40,56,48,46,41,37,40,40,40,35,35,35,35,48,57,60,44,52,54,59,63,60,60,60,65,65,65,65,56,40.7857132,4081.77686,4081.77686,4081.77686,4081.77686,4081.77686,4081.77686,3285.33252,3484.4436,3285.33252,3484.4436,3285.33252,3484.4436,3285.33252,3285.33252,31.6224422,24.8263149,0,1.29309082,1.31311035,1.31311035,1.31311035,1.30810547,1.2980957,1.28686523,1.28686523,1.26184082,1.27185059,1.24682617,1.1817627,1.1817627,1.1817627,1.1817627,99.5555344,13.3175774,18.3495064,42.05495,15.9556923,23.2113914,40.7375031,36,2355,8000.982,0,0,0,0,4.68359375,0.2734375,0,0,0,0,0,0,0,0,0,41.71875,6141,5921,220,3.58247828,20.728,0,0,0,1025.24609,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5731964,36.7491341,6.764304,31.7947617,24366448,2.354258E+07,62.41278,0,0.325642139,0.380034447,0,9752.965
07/06/2024 16:52:33,16.7217484,10.4293108,12.1807632,9.426623,44.5449753,11.8496,33.5178375,27.4015121,14.4421158,9.229654,13.2753258,6.552005,14.8490543,9.576636,16.703886,7.818198,16.2728844,10.0914059,8.123702,19.80933,15.640831,44.5449753,44,44,60,49,48,40,39,39,39,39,45,45,45,47,52,56,56,40,51,52,60,61,61,61,61,55,55,55,53,60,44.5,4081.77856,4081.77856,4081.77856,4081.77856,4081.77856,4081.77856,3285.334,3285.334,3285.334,3285.334,3285.334,3484.445,3285.334,3285.334,42.3384666,35.202095,0,1.21618652,1.21081543,1.24084473,1.24084473,1.24084473,1.24084473,1.24084473,1.20373535,1.22875977,1.22607422,1.22619629,1.22619629,1.20349121,1.20349121,1.20617676,99.55557,13.3169136,18.35017,42.05286,15.9597969,23.2072868,40.747982,36,2355,7000.978,0,0,0,0,4.68359375,0.2734375,0,0,0,0,0,0,0,0,0,42.1875,6141,5921,220,3.58247828,20.827,0,3072,0.08359241,1046.62109,7.753156,0,0,0,0,0,0,0,0,0,0,0,0,63.5731964,5.446272,1.75594115,6.14842558,22025212,2879845.5,62.41278,0,0.156416178,0.163494572,0,10327.3066
07/06/2024 16:52:34,28.2362881,25.7957516,29.6367416,19.22682,51.6773,26.3539486,40.5362778,39.70354,28.3320484,22.0517387,31.2288818,17.971468,22.4963188,44.30738,28.8298073,23.4205418,31.87188,31.4756813,26.3770275,26.0685272,29.7798939,51.6773,53,55,59,55,50,55,44,44,44,44,46,46,47,47,62,47,45,41,45,50,45,56,56,56,56,54,54,53,53,59,49.2142868,4081.778,4081.778,4081.778,4081.778,4081.778,4081.778,3285.33374,3285.33374,3285.33374,3285.33374,3285.33374,3285.33374,3285.33374,3285.33374,48.70148,41.2459564,0,1.3416748,1.331665,1.30163574,1.30163574,1.22180176,1.22180176,1.24682617,1.27453613,1.2845459,1.2845459,1.27453613,1.24951172,1.27453613,1.2545166,1.28955078,99.5555649,13.3285027,18.3385811,42.08945,15.9838982,23.1831856,40.8095169,37,2355,7000.978,0,0,0,0,4.68359375,0.2734375,0,0,0,0,0,0,0,0,0,42.625,6141,5921,220,3.58247828,18.787,0,0,0.157679036,1110.53125,12.0998459,0,0,0,0,0,0,0,0,0,0,0,0,63.5731964,4.93044233,2.40096712,7.546851,1.109394E+07,4769900.5,62.41278,0,0,0.000582573761,0,0
