,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space"
12/15/2023 20:07:30,0,1.51515007,2.34375,7.03125,0,0,0,0,4.6875,1.5625,0,0,0,0,1.40151978,63.6998672,9.960056,5.67585754,42,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.78100014,0,0,41.46782,49.8158569
12/15/2023 20:07:31,0,1.61290169,7.8125,10.15625,0,0,0,0,0,0,0,0,0,0,1.95816159,63.69433,9.95919,5.67672348,42,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.786,0,0,41.46782,49.8158569
12/15/2023 20:07:32,0,0.757575035,7.03125,3.125,1.53846145,0.793647766,0,0,1.5625,0,0,0,0,0,1.40272379,63.6993561,9.959976,5.67593765,42,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.78400016,0,0,41.46782,49.8158569
12/15/2023 20:07:33,0,0.78125,1.5625,4.6875,0,0,0,0,0,0,0,0,0,0,0.7031262,63.69557,9.959385,5.676529,42,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.77300024,0.9765625,0,41.46782,49.8158569
12/15/2023 20:07:34,0,0,10.0000019,3.8461566,0,0.746268034,0,0,1.49253607,1.53846145,0,0,0,0,1.61078572,63.69657,9.959541,5.67637253,42,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.74800014,0,0,41.46782,49.8158569
12/15/2023 20:07:35,0.78125,0.78125,7.8125,7.8125,0,0,0,0,0,1.58730149,0,0,0,0,1.79811716,63.7572975,9.969036,5.66687775,42,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.74800014,0.9765625,0,41.46782,49.8158569
12/15/2023 20:07:36,0,1.5625,5.46875,8.59375,0,0,4.6875,0,0,4.6875,0,0,0,0,2.03124881,63.7777939,9.97224,5.6636734,42,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.753,0.9765625,0,41.46782,49.8158569
12/15/2023 20:07:37,0,0.793647766,3.90625,2.34375,0,0,0,0,1.53846145,0,0,0,0,0,0.781285763,63.77901,9.972431,5.66348267,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.76300025,0,0.9765625,41.46782,49.8158569
12/15/2023 20:07:38,0,0,4.6875,3.90625,0,0,0,0,1.58730149,0,0,0,0,0,0.9387374,63.7841072,9.973228,5.66268539,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.759,0,0.9765625,41.46782,49.8158569
