,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
04/06/2020 01:54:51,50,20.95238,53.33333,19.9999981,36.0714264,52,41,40,33,52,3409.72217,3409.72217,3510.008,3409.72217,13.2524433,15.4564648,23.5397129,23.4255924,100.285942,64.37811,5.077839,2.80968475,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,33,73666,12790,51.7009773,35,44.519825
04/06/2020 01:54:54,55.1643181,60.9221344,56.6956749,60.7106438,58.3731956,41,40,39,50,50,3409.72217,3610.294,3610.294,3409.72217,32.1122856,20.4782677,0.06758659,1.18475091,100.285942,70.6253,5.570587,2.31693649,24,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,33,73666,12790,51.7009773,35,44.519825
04/06/2020 01:54:54,68.57143,56.4682541,40.9523773,54.8412666,55.2083321,56,45,56,39,52,3409.678,3409.678,3409.678,3409.678,32.6409531,20.93295,0.0140210716,1.02445936,100.284653,73.23805,5.77666855,2.110855,24,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,24,73666,12790,51.708622,22,44.5198364
04/06/2020 01:54:55,32.20339,42.3728828,40.2396278,31.35593,36.5429573,39,40,60,36,60,3610.31152,3610.31152,3409.73877,3510.02515,28.3793774,17.55921,0.0115301767,0.909981,100.28643,75.41505,5.94837952,1.93914413,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,24,73666,12790,51.708622,22,44.5198364
04/06/2020 11:13:43,36.363636,54.54545,34.8484879,63.636364,47.3484879,41,41,41,39,48,3209.16577,3108.87939,3108.87939,3108.87939,7.818476,7.818681,7.818895,1.63333516E-05,100.28643,75.18126,5.92993927,1.95758438,23,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,24,73666,12790,51.708622,22,44.5198364
04/06/2020 11:13:44,92.85715,93.8775558,92.85714,97.95918,94.38776,58,51,53,49,58,3409.71826,3409.71826,3409.71826,3409.71826,39.179493,27.1452579,0.107557639,1.67989707,100.285828,77.12838,6.083519,1.80400467,23,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,24,73666,12790,51.708622,22,44.5198364
04/06/2020 11:13:45,80.46875,84.375,85.06944,83.59375,83.37673,44,43,43,38,44,3409.71631,3510.002,3409.71631,3510.002,36.6935272,23.64773,1.10458183,1.50714791,100.285774,74.1204453,5.8462677,2.041256,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,24,73666,12790,51.708622,22,44.5198364
04/06/2020 11:13:46,75.78125,67.1875,69.79568,75.78125,72.13642,54,50,52,46,54,3409.71655,3409.71655,3409.71655,3409.71655,38.4486656,24.9839859,1.55435014,1.36846149,100.285782,75.78682,5.977703,1.90982056,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,24,73666,12790,51.708622,22,44.5198364
04/06/2020 11:13:47,90.625,91.40625,93.75,92.1875,91.99219,51,47,49,42,51,3409.71655,3409.71655,3409.71655,3409.71655,39.3296852,25.9792137,1.33440256,1.64250076,100.285774,74.97049,5.913315,1.97420883,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,24,73666,12790,51.708622,22,44.5198364
