,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
05/06/2022 22:31:20,3.90625,6.25,3.1129837,12.3076916,6.39423132,59,61,59,59,62,802.286133,802.286133,802.286133,802.286133,12.4810371,1.07430923,0.018064307,1.3008126,100.285767,18.8872147,6.02195358,25.8618126,56,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,2.9296875,0,29,11.9896469
05/06/2022 22:31:21,14.84375,4.6875,1.57489777,7.14285374,7.06225634,60,62,60,60,62,1404.0011,1404.0011,1404.0011,1404.0011,16.8730087,5.0112195,0.016612459,1.45318878,100.2858,18.8954544,6.024582,25.8591843,56,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,0.9765625,0,29,11.9896469
05/06/2022 22:31:22,10.15625,7.8125,3.90625,9.375,7.8125,60,62,60,60,63,1303.71484,1303.71484,1303.71484,1303.71484,15.5053988,3.675765,0.246326685,1.51507616,100.285751,18.897171,6.025131,25.8586349,56,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,0.9765625,0,29,11.9896469
05/06/2022 22:31:23,10.15625,10.9375,3.90625,9.375,8.59375,60,62,59,59,61,802.28595,802.28595,802.28595,802.28595,14.0631409,2.537402,0.0119029908,1.38554466,100.285744,18.9027481,6.026909,25.8568573,56,139,405.000031,278,1,0,0,0,4096,125.328125,3970.67188,3.05976868,2.9296875,0,29,11.9896469
05/06/2022 22:31:24,7.8125,10.9375,4.6875,10.9375,8.59375,62,65,61,62,65,3409.71655,3409.71655,3409.71655,3409.71655,18.4664211,6.45568562,0.3080309,1.652132,100.285782,18.9331665,6.036606,25.84716,55,139,405.000031,278,1,0,0,0,4096,125.328125,3970.67188,3.05976868,0.9765625,0,29,11.9896469
05/06/2022 22:31:25,4.6875,4.6875,2.34375,8.59375,5.078125,59,61,59,59,61,902.5719,902.5719,902.5719,902.5719,13.3545523,1.89011085,0.0103046261,1.30771768,100.285767,18.936409,6.03763962,25.8461266,55,139,405.000031,278,1,0,0,0,4096,125.328125,3970.67188,3.05976868,0.9765625,0,29,11.9896469
05/06/2022 22:31:26,10.9375,14.0625,10.9375,12.5,12.109375,64,65,63,62,65,1604.573,1303.71558,1303.71558,1303.71558,18.005352,6.146503,0.222126842,1.75943685,100.285812,18.9105682,6.0294,25.8543663,55,139,405.000031,278,16,9,0,5,4096,131.828125,3964.17188,3.21846,209.960938,47.8515625,29,11.9896469
05/06/2022 22:31:27,7.8125,12.5,9.375,16.40625,11.5234375,60,62,60,59,62,1303.71472,1303.71472,1303.71472,1704.85767,16.9593925,5.21327257,0.08304416,1.68685746,100.285744,18.9479446,6.041317,25.84245,55,139,405.000031,278,15,9,0,5,4096,131.828125,3964.17188,3.21846,208.007813,3.90625,29,11.989769
05/06/2022 22:31:28,10.15625,8.59375,8.59375,11.71875,9.765625,59,61,60,59,62,802.285645,802.285645,802.285645,802.285645,14.89038,3.223621,0.0570117161,1.57416689,100.285706,18.9426422,6.039627,25.84414,55,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,2.9296875,0,29,11.989769
05/06/2022 22:31:29,15.625,27.34375,19.53125,25.78125,22.0703125,74,74,71,71,74,3409.719,3409.719,3409.719,3409.719,23.380621,10.7019072,0.5379451,2.14379621,100.285851,19.0608444,6.07731628,25.80645,55,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,0.9765625,0,29,11.989769
05/06/2022 22:31:30,27.34375,39.0625,31.25,37.5,33.7890625,67,72,65,67,72,1203.42883,2005.71472,2005.71472,1704.85754,20.8792915,8.384002,0.338797569,1.92359722,100.285736,19.1278839,6.09869,25.7850761,55,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,1.953125,0,29,11.989769
05/06/2022 22:31:31,4.6875,6.25,6.25,7.8125,6.25,59,61,59,58,61,902.5713,902.5713,902.5713,902.5713,12.8530254,1.44322622,0.00196582987,1.26931167,100.2857,19.1255722,6.097954,25.7858124,55,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,2.9296875,0,29,11.989769
05/06/2022 22:31:32,4.6875,4.6875,3.90625,7.03125,5.078125,60,62,61,60,63,3108.8623,2507.147,1604.5741,1303.71643,14.0471106,2.170367,0.211726665,1.492204,100.285881,19.1353989,6.10108566,25.78268,55,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,1.953125,0,29,11.989769
05/06/2022 22:31:33,1.5625,5.46875,3.90625,4.6875,3.90625,58,61,59,59,61,2005.715,2005.715,2005.715,2005.715,12.93272,1.43229973,0.0142080095,1.26180363,100.285744,19.1348419,6.10090637,25.78286,55,139,405.000031,278,1,0,0,0,4096,125.578125,3970.42188,3.06587219,0.9765625,0,29,11.989769
05/06/2022 22:31:34,6.25,9.375,9.375,10.15625,8.7890625,60,62,60,60,62,2507.14453,1905.42981,3510.00244,3409.71655,15.0146065,3.33225131,0.09546603,1.4450562,100.285782,19.1181488,6.095585,25.7881813,55,139,405.000031,278,1,0,0,0,4096,125.578125,3970.42188,3.06587219,0.9765625,0,29,11.989769
05/06/2022 22:31:35,24.21875,28.125,26.5625,30.46875,27.34375,72,76,68,69,76,3409.71655,3409.71655,3409.71655,3409.71655,25.0374241,12.1195564,0.641459048,2.28415346,100.285782,19.20131,6.122101,25.7616653,55,139,405.000031,278,1,0,0,0,4096,125.578125,3970.42188,3.06587219,2.9296875,0,29,11.989769
05/06/2022 22:31:36,22.65625,23.4375,17.96875,21.09375,21.2890625,65,67,64,64,67,3409.716,3409.716,3409.716,3409.716,21.6552429,8.873286,0.5795039,2.22959781,100.285767,19.2116318,6.125393,25.7583733,55,139,405.000031,278,14,8,0,4,4096,131.828125,3964.17188,3.21846,209.960938,23.4375,29,11.989769
05/06/2022 22:31:37,12.5,14.84375,13.28125,17.1875,14.453125,65,65,62,62,66,902.57135,1303.71423,2105.99976,2908.2854,20.171751,7.65458727,0.5185701,2.211884,100.285706,19.1732178,6.113144,25.7706223,55,139,405.000031,278,15,8,0,5,4096,131.828125,3964.17188,3.21846,208.984375,47.8515625,29,11.989769
05/06/2022 22:31:38,12.5,17.96875,12.5,17.1875,15.0390625,64,65,62,63,65,3409.71826,3510.00415,902.5725,902.5725,16.7534142,4.85220432,0.214371011,1.68638527,100.285835,19.19065,6.118702,25.7650642,55,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,1.953125,0,29,11.989769
05/06/2022 22:31:39,4.6875,7.03125,4.6875,6.25,5.6640625,60,61,59,59,62,1604.57178,3409.715,3409.715,3409.715,14.4488087,2.73016167,0.139171124,1.434636,100.285736,19.18,6.115307,25.76846,55,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,1.953125,0,29,11.989769
05/06/2022 22:31:40,7.03125,6.25,5.46875,14.0625,8.203125,62,63,61,60,64,3409.71729,3409.71729,3409.71729,3409.71729,15.9507914,4.040992,0.261135578,1.5939908,100.285805,19.1723557,6.11286926,25.7708969,55,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,0.9765625,0,29,11.989769
05/06/2022 22:31:41,15.625,17.96875,20.3125,19.53125,18.359375,62,63,60,60,64,1704.85742,1704.85742,1704.85742,1704.85742,22.1076183,9.315655,0.635655,2.12923169,100.285736,19.2093124,6.124653,25.7591133,55,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,0.9765625,0,29,11.989769
05/06/2022 22:31:42,5.46875,10.15625,4.6875,3.90625,6.0546875,61,63,61,61,63,3209.14551,2908.288,2607.43066,2607.43066,14.6749878,3.0711844,0.0119600547,1.41851115,100.2858,19.2282333,6.130684,25.7530823,55,139,405.000031,278,1,0,0,0,4096,131.828125,3964.17188,3.21846,1.953125,0,29,11.989769
05/06/2022 22:31:43,7.03125,7.8125,3.125,5.46875,5.859375,59,62,60,59,62,1303.71448,1303.71448,1303.71448,1303.71448,14.1802216,2.67293167,0.0304162875,1.35873818,100.285728,19.2243881,6.12945938,25.7543068,55,139,405.000031,278,1,0,0,0,4096,125.328125,3970.67188,3.05976868,0.9765625,0,29,11.989769
05/06/2022 22:31:44,3.90625,2.34375,3.125,7.8125,4.296875,58,61,59,58,61,802.2854,802.2854,802.2854,802.2854,13.0362806,1.54914033,0.115016535,1.35432887,100.285675,19.2179413,6.12740326,25.7563629,55,139,405.000031,278,1,0,0,0,4096,125.328125,3970.67188,3.05976868,2.9296875,0,29,11.989769
05/06/2022 22:31:45,3.125,3.125,1.5625,5.46875,3.3203125,59,61,59,59,61,1404.00269,802.2873,802.2873,802.2873,12.6822863,1.237057,0.001900712,1.21792722,100.285912,19.2179642,6.127411,25.7563553,55,139,405.000031,278,1,0,0,0,4096,125.328125,3970.67188,3.05976868,0.9765625,0,29,11.989769
05/06/2022 22:31:46,14.84375,17.1875,16.40625,24.21875,18.1640625,62,64,61,61,64,1303.71423,2105.99976,902.57135,902.57135,20.0879574,7.437049,0.7507412,1.969676,100.285706,19.2492523,6.13738632,25.74638,55,139,405.000031,278,9,5,0,2,4096,131.828125,3964.17188,3.21846,402.34375,46.875,29,11.989769
05/06/2022 22:31:47,15.625,17.96875,11.71875,16.40625,15.4296875,63,65,62,62,65,1504.28723,1504.28723,1504.28723,1504.28723,20.2432575,7.537583,0.5963206,1.99783814,100.285812,19.1753,6.11380768,25.7699585,55,139,405.000031,278,21,10,0,6,4096,131.828125,3964.17188,3.21846,416.015625,47.8515625,29,11.989769
05/06/2022 22:31:48,21.875,21.09375,18.75,21.09375,20.703125,58,61,59,58,61,802.2858,802.2858,802.2858,802.2858,15.9540148,4.114868,0.0469614528,1.63812244,100.285728,19.1669846,6.11115646,25.77261,55,139,405.000031,278,1,0,0,0,4096,135.578125,3960.42188,3.31001282,1.953125,0,29,11.989769
05/06/2022 22:31:49,8.59375,8.59375,3.90625,10.15625,7.8125,62,63,61,61,64,3409.71753,3510.00317,3510.00317,3409.71753,15.002656,3.234228,0.163898781,1.53377044,100.285805,19.1548538,6.10728836,25.7764778,55,139,405.000031,278,1,0,0,0,4096,135.578125,3960.42188,3.31001282,0.9765625,0,29,11.989769
