,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
08/12/2023 00:00:00,15.5528841,18.75,17.1875,21.875,18.3413448,59,60,57,58,60,3409.712,3409.712,3409.712,3409.712,13.9360428,11.5278826,0.187533364,1.538626,100.285645,35.2494431,11.2498627,20.66515,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.6041
08/12/2023 00:00:01,22.05882,27.0780087,16.11253,24.2647057,22.3785172,67,67,66,68,68,3409.712,3409.712,3409.712,3409.712,15.0541315,12.64532,0.170599923,1.74009633,100.285645,35.05655,11.1883011,20.7267113,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.6041
08/12/2023 00:00:02,53.3333359,71.66667,47.5000038,52.4999962,56.25,70,72,69,66,72,3409.71118,3409.71118,3409.71118,3409.71118,28.2464371,25.43411,0.260077864,2.50870824,100.285629,35.07541,11.1943207,20.7206917,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.6041
08/12/2023 00:00:03,28.90625,53.90625,42.96875,30.46875,39.0625,62,64,65,61,65,3409.7124,3509.998,3409.7124,3409.7124,21.9094372,19.2509136,0.225662112,2.057888,100.28566,35.1158524,11.20723,20.7077827,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.6041
08/12/2023 00:00:04,23.5987072,22.7802582,18.812,19.6676617,21.2146587,59,61,58,58,61,3509.99731,3409.71167,3509.99731,3409.71167,13.5600348,10.0066118,1.22434926,1.85729635,100.285637,35.0891037,11.1986923,20.71632,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.6041
08/12/2023 00:00:05,20.3125,14.0024071,9.375,18.665863,15.5889454,58,59,57,58,59,3509.99756,3409.712,3409.712,3409.712,9.78351,7.52100039,0.131815791,1.46977067,100.285645,35.0509872,11.1865273,20.7284851,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.6041
08/12/2023 00:00:06,32.6802864,29.07986,27.2235565,25,28.4959259,64,65,60,61,65,3409.711,3409.711,3409.711,3509.99658,16.4560757,13.6833515,0.4337087,1.93729663,100.285614,35.07431,11.19397,20.7210426,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.6041
08/12/2023 00:00:07,27.34375,24.8557682,16.40625,14.84375,20.8623772,61,61,59,60,61,3409.712,3509.99756,3509.99756,3409.712,15.0177965,11.9847383,0.6829507,1.91565728,100.285645,35.09703,11.2012215,20.71379,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.6041
08/12/2023 00:00:08,21.1805573,19.53125,16.4558525,21.875,19.7606678,58,59,57,59,60,3509.99878,3409.71313,3409.71313,3409.71313,12.1746559,9.59385,0.354513,1.64767337,100.285683,35.0690231,11.1922836,20.7227287,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.6041
