,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/0,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/lpc/nct6791d/fan/4,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","Fan #4","Fan #5","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total LBA Written","Used Space","Temperature","Used Space","Used Space"
05/16/2019 14:50:08,60,24.3137264,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.47200012,3.36000013,1.016,0.824000061,0.064,0.032,0.416,23.5,26.5,28,53,35,55,940,2356,508,240,1146,4.615384,4.615384,8.4615345,6.92307949,6.153846,33,31,31,31,33,3699.99561,3699.99561,3699.99561,3699.99561,23.161871,10.7739458,0,4.59795141,99.99988,18.7504044,2.98862839,12.9503784,26.0000019,1043,0,300,150,0.900000036,0,24,-150.960327,83.6608658,21,35.16826,38.8637123
05/16/2019 14:50:09,60,24.705883,60,60,60,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.272,3.47200012,3.36000013,1.016,0.832,0.008,0.544,0.0720000044,29,26.5,28,54,35,54,941,2351,505,240,1128,37.30159,24.6031761,12.6984119,38.88889,28.37302,36,36,34,33,36,3699.99756,3699.99756,3699.99756,3699.99756,41.28502,30.3491573,0,4.78974152,99.99994,18.834671,3.00206,12.9369469,26.0000019,1043,0,300,150,0.900000036,0,24,-150.960327,83.6608658,21,35.16826,38.8637123
05/16/2019 14:50:10,61.17647,29.8039227,61.17647,61.17647,61.17647,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.36000013,1.016,0.832,0.528,0.528,0.528,33,26.5,28,55,35,55,948,2356,507,243,1145,62.5,66.40625,64.84375,67.1875,65.234375,39,40,40,39,41,3699.99561,3699.99561,3699.99561,3699.99561,53.2309036,42.4697151,0,5.377782,99.9998856,19.31034,3.077877,12.86113,26.0000019,1043,0,302.889984,150,0.900000036,0,24,-150.960327,83.6608658,21,35.16826,38.8637123
05/16/2019 14:50:11,65.09804,34.11765,65.4902,65.4902,64.70589,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.47200012,3.36000013,1.016,0.832,0.528,0.528,0.528,34.5,26.5,28,55,35,55,964,2351,512,257,1168,63.28125,71.09375,71.875,78.125,71.09375,40,42,40,40,42,3699.99854,3699.99854,3699.99854,3699.99854,57.19695,46.4052162,0,5.536663,99.9999542,19.632843,3.12928,12.8097267,27.0000019,1043,0,307.77,150,0.900000036,0,24,-150.960327,83.6608658,21,35.16826,38.8637123
05/16/2019 14:50:12,62.3529434,32.9411774,62.3529434,62.7451,62.3529434,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.47200012,3.36000013,1.016,0.832,0.528,0.536,0.528,33,27,28,54,35,67,995,2360,521,263,1175,51.5625,63.28125,65.625,62.5,60.7421875,40,41,43,41,42,3699.99585,3699.99585,3699.99585,3699.99585,53.781826,42.78848,0,5.556773,99.9998856,21.2304688,3.38392639,12.55508,27.0000019,1043,0,315.699982,1500,1.087,5,24,-150.960327,83.6608658,21,35.16826,38.8637123
05/16/2019 14:50:13,63.1372566,32.9411774,62.7451,62.7451,62.3529434,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.47200012,3.36000013,1.016,0.832,0.528,0.528,0.528,33,26.5,29,55,35,55,997,2351,524,257,1184,64.84375,64.0625,68.75,73.4375,67.77344,40,42,41,42,43,3699.99683,3699.99683,3699.99683,3699.99683,56.1225243,45.2177773,0,5.7554493,99.9999161,22.4506531,3.578411,12.3605957,28.0000019,1043,0,446.66,1500,1.087,1,24,-150.960327,83.6608658,21,35.16826,38.8637123
05/16/2019 14:50:14,62.7451,32.9411774,63.1372566,63.92157,63.52941,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.47200012,3.36000013,1.016,0.832,0.528,0.528,0.528,34,27,29,55,35,55,989,2351,523,256,1188,86.71875,85.15625,88.28125,92.96875,88.28125,45,43,43,42,42,3699.99731,3699.99731,3699.99731,3699.99731,60.6370659,49.9778976,0,5.80316162,99.99993,21.9401855,3.49704742,12.4419594,26.0000019,1043,0,321.63,150,0.900000036,0,24,-150.960327,83.6608658,21,35.16826,38.8637123
05/16/2019 14:50:15,63.52941,34.11765,63.52941,63.52941,63.1372566,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.968,0.528,3.456,3.36000013,1.016,0.832,0.528,0.528,0.528,33.5,27,29,55,35,55,1011,2351,527,264,1214,68.75,69.53125,64.0625,78.125,70.11719,41,42,42,41,43,3699.99561,3699.99561,3699.99561,3699.99561,57.9817162,46.9298019,0,6.21074533,99.9998856,22.7243042,3.62202835,12.3169785,28.0000019,1043,0,362.37,150,1.087,0,24,-150.960327,83.6608658,21,35.16826,38.8637123
05/16/2019 14:50:16,60.7843132,32.9411774,61.17647,61.17647,60.7843132,100,0.864,1.03200006,3.36000013,3.36000013,1.03200006,1.97600007,0.528,3.456,3.36000013,1.016,0.824000061,0.528,0.528,0.528,31,27,29,55,35,55,1007,2356,531,266,1197,59.375,51.5625,53.90625,62.5,56.8359375,39,40,40,42,42,3699.9978,3699.9978,3699.9978,3699.9978,54.0630722,42.9426041,0,5.519732,99.99995,23.5565338,3.75467682,12.18433,28.0000019,1043,0,308.02,1500,1.087,1,24,-150.960327,83.6608658,21,35.16826,38.8637123
