,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/0,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/lpc/nct6791d/fan/4,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","Fan #4","Fan #5","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total LBA Written","Used Space","Temperature","Used Space"
05/28/2019 21:22:05,64.31373,36.47059,64.70589,64.70589,64.31373,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.36000013,1.016,0.824000061,0.528,0.528,0.528,35,27,28,55,35,55,996,2360,535,265,1219,99.21875,99.21875,98.4375,99.21875,99.02344,42,45,43,43,45,3699.995,3699.995,3699.995,3699.995,63.9080963,53.3629875,0,5.941442,99.99987,23.5892715,3.75989532,12.1791115,28.0000019,1035,0,617.149963,1500,1.087,1,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:06,63.52941,36.47059,63.92157,63.92157,63.52941,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.47200012,3.36000013,1.016,0.824000061,0.528,0.528,0.528,34.5,27.5,28,55,35,55,1018,2356,535,265,1227,99.21875,100,99.21875,100,99.609375,42,45,45,45,45,3700.001,3700.001,3700.001,3700.001,63.1979866,52.60231,0,6.223906,100.000023,23.38311,3.72703552,12.2119713,28.0000019,1035,0,392.99,150,1.087,5,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:07,64.31373,35.294117,63.92157,64.31373,63.92157,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.47200012,3.36000013,1.016,0.824000061,0.528,0.528,0.528,34.5,27.5,28,55,35,55,1008,2356,540,267,1240,74.21875,71.09375,76.5625,77.34375,74.80469,43,44,43,41,45,3699.99487,3699.99487,3699.99487,3699.99487,60.19487,49.3147163,0,6.12683773,99.99986,24.0056381,3.82625961,12.1127472,28.0000019,1035,0,307.16,1500,1.087,28,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:08,62.3529434,34.11765,62.7451,62.7451,62.3529434,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.47200012,3.36000013,1.016,0.824000061,0.528,0.528,0.536,33,27.5,28,55,35,55,997,2360,537,268,1216,78.125,87.5,83.59375,85.15625,83.59375,41,47,44,42,44,3699.99756,3699.99756,3699.99756,3699.99756,60.08223,49.2460442,0,6.046798,99.99993,24.610733,3.9227066,12.0163,28.0000019,1035,0,378.509979,1500,1.087,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:09,63.52941,34.11765,63.92157,63.92157,63.52941,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.968,0.528,3.456,3.36000013,1.016,0.824000061,0.528,0.528,0.528,34.5,27.5,28,55,35,55,989,2356,537,259,1201,83.59375,90.625,85.15625,85.15625,86.13281,43,45,43,44,45,3699.99731,3699.99731,3699.99731,3699.99731,62.2447662,51.4548035,0,6.3841567,99.99993,25.013,3.986824,11.9521828,28.0000019,1035,0,310.27,1500,1.087,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:10,60.39216,33.72549,60.7843132,60.39216,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.136,3.47200012,3.36000013,1.016,0.824000061,0.208,0.408000022,0.336000025,29.5,27.5,28,55,35,55,1008,2360,536,261,1195,35.15625,37.5,31.25,30.46875,33.59375,39,39,38,40,40,3699.99878,3699.99878,3699.99878,3699.99878,43.39074,32.71627,0,5.26321936,99.99996,25.23735,4.022583,11.9164238,27.0000019,1035,0,304.09,1500,1.087,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:11,60,29.8039227,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.136,3.47200012,3.36000013,1.016,0.824000061,0.15200001,0.24000001,0.064,23,28,28,55,35,55,962,2356,530,253,1186,8.59375,5.46875,10.15625,10.9375,8.7890625,32,32,31,31,32,3799.996,3799.996,3899.996,3799.996,23.3665733,11.3787346,0,4.8355217,99.9999,24.7005768,3.937027,12.00198,28.0000019,1035,0,300.11,1500,1.087,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:12,60,24.705883,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.136,3.47200012,3.36000013,1.016,0.824000061,0.0720000044,0.24000001,0.064,20,28,29,55,35,55,964,2356,526,244,1142,2.34375,2.34375,1.5625,3.125,2.34375,30,29,29,29,30,3699.95947,3699.95947,3699.95947,3699.95947,19.7070465,6.146597,0,4.655628,99.9989,24.4916458,3.90372467,12.0352821,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:13,60,20,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.128,3.47200012,3.36000013,1.016,0.824000061,0.0720000044,0.24000001,0.0720000044,20.5,28,29,114,35,55,959,2360,516,246,1173,1.5625,2.34375,3.90625,3.90625,2.9296875,30,29,29,28,30,3700.034,3700.034,3700.034,3700.034,20.1987629,6.39776564,0,4.67938471,100.000916,24.2680359,3.868084,12.0709229,27.0000019,1035,0,302.05,1500,1.087,2,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:14,60,21.1764717,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.128,3.47200012,3.36000013,1.016,0.824000061,0.136,0.064,0.136,20.5,28,29,114,35,55,954,2356,512,245,1139,9.375,7.8125,5.46875,6.25,7.2265625,31,29,29,28,31,3699.99731,3699.99731,3699.99731,3699.99731,22.0611629,9.477404,0,4.78406954,99.99993,23.9958954,3.824707,12.1143,27.0000019,1035,0,302.09,1500,1.087,0,24,-113.393631,82.91852,21,35.1714935
