,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
02/01/2020 13:40:16,6.08423948,6.162244,4.91420031,6.24024868,5.85023165,93.56647,7.38007736,0.5074463,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:40,38.24092,39.73869,38.20905,40.47164,39.16508,95.17292,7.50678635,0.3807373,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:41,44.23077,41.3461571,36.5384636,41.3461571,40.865387,94.7818451,7.4759407,0.411582947,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:42,52.34375,46.09375,50.78125,39.0625,47.0703125,95.29924,7.51675034,0.370773315,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:43,27.34375,32.8125,30.46875,29.6875,30.078125,95.32396,7.51869965,0.368824,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:44,22.65625,32.03125,29.6875,26.5625,27.734375,96.64346,7.622776,0.26474762,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:45,30.46875,44.53125,33.59375,25.78125,33.59375,95.82341,7.558094,0.329429626,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:46,44.53125,42.96875,53.125,43.75,46.09375,95.03314,7.495762,0.39176178,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:47,20.3125,29.6875,20.3125,20.3125,22.65625,94.4545746,7.45012665,0.437397,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:48,14.0625,14.0625,7.8125,9.375,11.328125,90.43139,7.13279724,0.7547264,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:49,5.46875,0.78125,5.46875,0.78125,3.125,90.4031,7.13056564,0.756958,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:50,5.46875,7.8125,0.78125,7.8125,5.46875,89.85949,7.08768845,0.7998352,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:51,20.3125,22.65625,25.78125,25.78125,23.6328125,87.36059,6.890587,0.9969368,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:52,8.59375,15.625,8.59375,4.6875,9.375,87.43182,6.896206,0.991317749,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:53,7.03125,8.59375,3.125,4.6875,5.859375,87.45785,6.898258,0.989265442,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:54,20.3125,12.5,13.2091341,12.5,14.6304073,87.4715347,6.899338,0.9881859,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,36,62537,11372,86.8488,34,48.09875
02/01/2020 13:40:55,17.1875,19.53125,14.1121025,12.5,15.83271,87.4705658,6.89926147,0.9882622,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,23,62538,11373,86.84648,18,48.09875
02/01/2020 13:40:56,15.625,17.2247047,9.33894,13.3556547,13.886076,87.62591,6.91151428,0.976009369,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,23,62538,11373,86.84648,18,48.09875
02/01/2020 13:40:57,14.84375,12.46394,10.9375,9.314907,11.8900242,87.67611,6.915474,0.9720497,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,23,62538,11373,86.84648,18,48.09875
02/01/2020 13:40:58,17.1875,22.65625,16.40625,16.40625,18.1640625,87.83116,6.927704,0.9598198,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,23,62538,11373,86.84648,18,48.09875
