,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/15,/intelcpu/0/load/16,/intelcpu/0/load/17,/intelcpu/0/load/18,/intelcpu/0/load/19,/intelcpu/0/load/20,/intelcpu/0/load/21,/intelcpu/0/load/0,/intelcpu/0/load/1,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/temperature/9,/intelcpu/0/temperature/10,/intelcpu/0/temperature/11,/intelcpu/0/temperature/12,/intelcpu/0/temperature/13,/intelcpu/0/temperature/14,/intelcpu/0/temperature/15,/intelcpu/0/temperature/16,/intelcpu/0/temperature/17,/intelcpu/0/temperature/18,/intelcpu/0/temperature/19,/intelcpu/0/temperature/20,/intelcpu/0/temperature/21,/intelcpu/0/temperature/22,/intelcpu/0/temperature/23,/intelcpu/0/temperature/24,/intelcpu/0/temperature/25,/intelcpu/0/temperature/26,/intelcpu/0/temperature/27,/intelcpu/0/temperature/28,/intelcpu/0/temperature/29,/intelcpu/0/temperature/30,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/clock/9,/intelcpu/0/clock/10,/intelcpu/0/clock/11,/intelcpu/0/clock/12,/intelcpu/0/clock/13,/intelcpu/0/clock/14,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/3,/intelcpu/0/voltage/0,/intelcpu/0/voltage/1,/intelcpu/0/voltage/2,/intelcpu/0/voltage/3,/intelcpu/0/voltage/4,/intelcpu/0/voltage/5,/intelcpu/0/voltage/6,/intelcpu/0/voltage/7,/intelcpu/0/voltage/8,/intelcpu/0/voltage/9,/intelcpu/0/voltage/10,/intelcpu/0/voltage/11,/intelcpu/0/voltage/12,/intelcpu/0/voltage/13,/intelcpu/0/voltage/14,/intelcpu/0/clock/0,/ram/data/0,/ram/data/1,/ram/load/0,/ram/data/2,/ram/data/3,/ram/load/1,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/smalldata/5,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/power/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/smalldata/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/10,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/12,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/11,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/3,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/4,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/5,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/6,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/9,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/2,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/7,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/8,/hdd/1/load/0,/hdd/1/load/31,/hdd/1/load/32,/hdd/1/load/33,/hdd/1/throughput/34,/hdd/1/throughput/35,/hdd/0/load/0,/hdd/0/load/31,/hdd/0/load/32,/hdd/0/load/33,/hdd/0/throughput/34,/hdd/0/throughput/35
Time,"CPU Core #1 Thread #1","CPU Core #1 Thread #2","CPU Core #2 Thread #1","CPU Core #2 Thread #2","CPU Core #3 Thread #1","CPU Core #3 Thread #2","CPU Core #4 Thread #1","CPU Core #4 Thread #2","CPU Core #5 Thread #1","CPU Core #5 Thread #2","CPU Core #6 Thread #1","CPU Core #6 Thread #2","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","CPU Core Max","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Core #1 Distance to TjMax","CPU Core #2 Distance to TjMax","CPU Core #3 Distance to TjMax","CPU Core #4 Distance to TjMax","CPU Core #5 Distance to TjMax","CPU Core #6 Distance to TjMax","CPU Core #7 Distance to TjMax","CPU Core #8 Distance to TjMax","CPU Core #9 Distance to TjMax","CPU Core #10 Distance to TjMax","CPU Core #11 Distance to TjMax","CPU Core #12 Distance to TjMax","CPU Core #13 Distance to TjMax","CPU Core #14 Distance to TjMax","Core Max","Core Average","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Cores","CPU Memory","CPU Core","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","Bus Speed","Memory Used","Memory Available","Memory","Virtual Memory Used","Virtual Memory Available","Virtual Memory","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Processing","D3D VR","GPU Hot Spot","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","GPU Power","D3D Shared Memory Used","D3D 3D","D3D Video Decode","D3D Copy","D3D Video Processing","D3D Video Decode","D3D Other","D3D Other","D3D Other","D3D Other","D3D Overlay","D3D GDI Render","D3D Other","D3D Other","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate"
07/04/2024 00:00:00,0.9177387,3.762287,2.2488296,7.760906,24.124342,2.07378864,2.21719742,31.9244614,5.19222,2.05921531,8.530164,2.06219554,2.132088,2.12023854,2.107197,2.10396647,2.14660168,2.11578,2.10565925,2.70522833,5.520505,31.9244614,51,50,53,51,51,52,52,52,52,52,52,52,52,52,55,49,50,47,49,49,48,48,48,48,48,48,48,48,48,53,51.7142868,1095.11035,895.9994,995.5549,796.4439,696.8884,1194.66589,895.9994,696.8884,696.8884,597.332947,995.5549,597.332947,1493.3324,995.5549,6.80124569,1.62319982,0,0.668457031,0.6734619,0.6784668,0.677124,0.672119141,0.672119141,0.672119141,0.6723633,0.6723633,0.6673584,0.6673584,0.6723633,0.678710938,0.678710938,0.678710938,99.55549,12.9553185,18.7117653,40.9109955,15.4132385,23.7538452,39.35253,54,2355,7000.978,0,0,0,0,4.63671875,0.2734375,0,0,0,0,0,0,0,0,0,61,6141,5921,220,3.58247828,19.551,0,0,0.2087379,808.5469,0,0,0,0,0,0,0,0,0,0,0,0,0,63.58034,0,0.0471397564,0.294592917,0,32848.2031,62.4123,0,0.163789243,0.416409045,0,13525.83
07/04/2024 00:00:01,0,2.515769,0,8.67846,25.055481,0,0,26.238,2.125311,0,6.766123,0,0,0,0,0,0,0,0,0.06095767,3.07024121,26.238,50,52,53,52,51,51,51,51,51,51,51,51,51,51,53,50,48,47,48,49,49,49,49,49,49,49,49,49,49,53,51.2142868,1194.66663,895.999939,696.888855,597.3333,1393.77771,696.888855,696.888855,597.3333,597.3333,895.999939,597.3333,1294.22217,796.4444,696.888855,6.725496,1.495714,0,0.652709961,0.657714844,0.652709961,0.652709961,0.6477051,0.657714844,0.657714844,0.6575928,0.6575928,0.662963867,0.662963867,0.6627197,0.657714844,0.657714844,0.6627197,99.55555,12.956459,18.7106247,40.9145927,15.4150848,23.7519989,39.3572426,54,2355,7000.978,0,0,0,0,4.63671875,0.2734375,0,0,0,0,0,0,0,0,0,60.875,6141,5921,220,3.58247828,19.549,0,0,0.176081,808.5469,0,0,0,0,0,0,0,0,0,0,0,0,0,63.58034,0,0,0.004060629,0,0,62.4123,0.3150406,0,0.318604,123049.477,0
07/04/2024 00:00:01,0.2709329,1.82827711,1.59683228,6.782728,30.5391617,1.42179728,1.58378482,28.4822235,2.02727318,1.40007138,9.529972,1.39103532,1.49388909,1.48340464,1.48306489,1.74208879,1.50503516,1.45821571,1.46611929,2.43381858,4.995984,30.5391617,52,53,53,51,52,51,52,52,52,52,52,52,52,52,55,48,47,47,49,48,49,48,48,48,48,48,48,48,48,53,52,1194.66736,995.5561,796.4449,1194.66736,1194.66736,1095.11169,1393.77856,1493.33411,1493.33411,896.0005,796.4449,896.0005,696.8893,796.4449,7.31788445,1.97079372,0,0.799926758,0.804931641,0.804931641,0.804931641,0.799926758,0.805542,0.805542,0.8005371,0.8005371,0.8005371,0.801635742,0.8066406,0.8066406,0.801635742,0.801635742,99.55561,12.95451,18.712574,40.90844,15.4158325,23.7512512,39.3591576,53,2355,7000.978,0,0,0,0,4.63671875,0.2734375,0,0,0,0,0,0,0,0,0,60.9375,6141,5921,220,3.58247828,19.575,1024,0,0.177431852,808.5469,0,0,0,0,0,0,0,0,0,0,0,0,0,63.58034,0.06870549,0,0.0501591638,116146.859,0,62.4123,0,0.181097671,0.162632376,0,25925.66
07/04/2024 00:00:03,1.47072077,3.007561,0,0,17.8668327,0,0,40.5756454,0,0,3.51678133,0,0,0,0,0,0,0,0.7520914,0,1.97252035,40.5756454,52,52,53,50,51,51,51,52,52,52,52,52,52,52,55,48,48,47,50,49,49,49,48,48,48,48,48,48,48,53,51.7142868,1294.222,895.9999,1393.77759,1493.33313,1393.77759,597.333252,696.8888,895.9999,1294.222,1095.111,1393.77759,1095.111,895.9999,796.444336,7.078931,1.79754949,0,0.6555176,0.663085938,0.663085938,0.6680908,0.6624756,0.667480469,0.667480469,0.6628418,0.672851563,0.672851563,0.672851563,0.6678467,0.66796875,0.66796875,0.6779785,99.55554,12.9548073,18.7122765,40.9093781,15.4160271,23.7510567,39.35965,53,2355,7000.978,0,0,0,0,4.63671875,0.2734375,0,0,0,0,0,0,0,0,0,60.875,6141,5921,220,3.58247828,19.56,0,0,0.1603472,808.5469,0,0,0,0,0,0,0,0,0,0,0,0,0,63.58034,0.197709784,0.293144256,0.5092221,321308.781,472303.563,62.4123,0,0.178170145,0.188356981,0,6100.80225
07/04/2024 00:00:04,0.130337477,1.71297789,1.42856836,3.977996,19.3366833,1.26002431,1.400578,24.949688,1.41314864,1.25869513,7.49703646,1.258868,1.34489536,1.32318735,1.32290125,1.32948756,1.33824944,1.31613612,1.31784081,2.54973173,3.87334824,24.949688,50,52,53,52,50,51,51,51,51,51,51,51,51,51,55,50,48,47,48,50,49,49,49,49,49,49,49,49,49,53,51.1428566,1095.111,597.333252,895.9999,796.444336,995.5554,696.8888,1294.222,1393.77759,696.8888,597.333252,1294.222,895.9999,696.8888,1393.77759,6.856519,1.18178689,0,0.7237549,0.7167969,0.7167969,0.6895752,0.6895752,0.6895752,0.6895752,0.7128906,0.7178955,0.7128906,0.6878662,0.7128906,0.7128906,0.7128906,0.672851563,99.55554,12.9670868,18.6999969,40.9481544,15.426651,23.7404327,39.386776,53,2355,7000.978,0,0,0,0,4.63671875,0.2734375,0,0,0,0,0,0,0,0,0,60.90625,6141,5921,220,3.58247828,19.545,0,0,0,819.3711,0,0,0,0,0,0,0,0,0,0,0,0,0,63.58034,0.18517904,0.0346381627,0.189168453,224546.984,61240.0859,62.4123,0,0.354011416,0.32105878,0,15309.95
07/04/2024 00:00:05,0.1871407,1.75789,0,1.26824975,15.05692,1.3579309,1.22634172,23.5490971,0,0,6.73995,0,0,0,0,0,0,0,0,2.2826612,2.60210037,23.5490971,52,52,50,50,52,51,52,52,52,52,51,52,52,52,54,48,48,50,50,48,49,48,48,48,48,49,48,48,48,52,51.57143,896,597.3333,1294.22217,696.888855,597.3333,896,597.3333,796.444458,1294.22217,1194.66663,1393.77771,896,696.888855,597.3333,6.830743,1.23657107,0,0.649902344,0.6599121,0.6582031,0.6582031,0.65234375,0.662597656,0.662597656,0.658081055,0.658081055,0.663208,0.663208,0.6682129,0.6682129,0.6682129,0.6682129,99.55556,12.9674988,18.699585,40.9494553,15.4248428,23.74224,39.3821564,53,2355,7000.978,0,0,0,0,4.63671875,0.2734375,0,0,0,0,0,0,0,0,0,60.875,6141,5921,220,3.58247828,19.539,2048,0,0.00115628785,819.3125,0.16496776,0,0,0,0,0,0,0,0,0,0,0,0,63.58034,0,0.0318469033,0.0775433257,0,89851.95,62.4123,0,0,0.0028716058,0,0
07/04/2024 00:00:06,0.7998824,0.373625755,0.481659174,0.2955377,20.9625416,2.40459442,0.4588306,24.1814976,0.48815012,0.304371119,7.109201,0.302809477,0.410342216,0.387042761,0.364822149,0.360959768,0.400930643,0.376987457,0.385791063,1.37228966,3.11109424,24.1814976,52,52,53,52,52,51,51,51,51,51,52,52,52,52,55,48,48,47,48,48,49,49,49,49,49,48,48,48,48,53,51.7142868,1294.22241,696.889,896.0001,896.0001,995.5557,1294.22241,1294.22241,1592.88916,1792.00024,1692.4447,1792.00024,995.5557,1692.4447,1194.66687,7.08259535,1.4864645,0,0.6895752,0.6915283,0.6915283,0.6915283,0.6939697,0.6939697,0.6939697,0.688964844,0.688964844,0.6888428,0.6888428,0.6888428,0.6888428,0.6888428,0.6888428,99.55557,12.9575958,18.7094879,40.9181862,15.4161873,23.7508965,39.36006,53,2355,7000.978,0,0,0,0,4.63671875,0.2734375,0,0,0,0,0,0,0,0,0,60.96875,6141,5921,220,3.58247828,19.537,0,0,0.054849226,810.714844,0.04941603,0,0,0,0,0,0,0,0,0,0,0,0,63.58034,0,0,0.136059076,0,0,62.4123,0,0.1802249,0.3174582,0,12936.6221
07/04/2024 00:00:07,1.19814277,4.06469727,2.44410038,5.824918,22.9019527,2.28561759,2.82681,33.26574,2.417189,2.25385427,9.459967,2.259189,2.33715177,2.31983066,2.31173038,2.30774879,2.32272744,2.31297016,2.296859,3.28085423,5.534601,33.26574,51,49,53,51,51,50,51,51,51,51,51,51,51,51,55,49,51,47,49,49,50,49,49,49,49,49,49,49,49,53,50.92857,1194.666,696.8885,796.444031,995.555,995.555,696.8885,696.8885,696.8885,597.333,796.444031,1194.666,597.333,696.8885,1194.666,6.731397,1.495742,0,0.6784668,0.683227539,0.678222656,0.6732178,0.6732178,0.678222656,0.6882324,0.6776123,0.6776123,0.6776123,0.6776123,0.692626953,0.697631836,0.697631836,0.699584961,99.5555038,12.9595795,18.7075043,40.9244461,15.4158554,23.7512283,39.35921,53,2355,7000.978,0,0,0,0,4.63671875,0.2734375,0,0,0,0,0,0,0,0,0,60.875,6141,5921,220,3.58247828,19.547,0,0,0.179076746,810.714844,0,0,0,0,0,0,0,0,0,0,0,0,0,63.58034,0,0.0175249167,0,0,8476.77051,62.4123,0,0.188229039,0,0,10595.9414
07/04/2024 00:00:08,0.7327378,2.27903724,0,3.08961272,23.43716,0,0,23.3991032,0,0,5.55328131,0,0,0,0,0,0,0,0,0,2.23841667,23.43716,52,53,53,53,52,51,51,52,52,52,52,52,52,52,55,48,47,47,47,48,49,49,48,48,48,48,48,48,48,53,52.07143,1194.66724,696.8892,796.4448,696.8892,1493.33411,896.0004,796.4448,796.4448,696.8892,696.8892,597.3336,1294.2229,1095.11169,696.8892,6.603023,1.4131093,0,0.692749,0.692749,0.687744141,0.6783447,0.6783447,0.673339844,0.673339844,0.673339844,0.673339844,0.6732178,0.6732178,0.6682129,0.6682129,0.6673584,0.6673584,99.5556,12.9592857,18.707798,40.9235229,15.41568,23.7514038,39.3587646,53,2355,7000.978,0,0,0,0,4.63671875,0.2734375,0,0,0,0,0,0,0,0,0,60.84375,6141,5921,220,3.58247828,19.543,1024,0,0.168156683,810.714844,0,0,0,0,0,0,0,0,0,0,0,0,0,63.58034,0,0.0329900868,0.183825165,0,7856.664,62.4123,0,0.174995884,0.325227678,0,6874.55273
