,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/15,/intelcpu/0/load/16,/intelcpu/0/load/17,/intelcpu/0/load/18,/intelcpu/0/load/19,/intelcpu/0/load/20,/intelcpu/0/load/21,/intelcpu/0/load/0,/intelcpu/0/load/1,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/temperature/9,/intelcpu/0/temperature/10,/intelcpu/0/temperature/11,/intelcpu/0/temperature/12,/intelcpu/0/temperature/13,/intelcpu/0/temperature/14,/intelcpu/0/temperature/15,/intelcpu/0/temperature/16,/intelcpu/0/temperature/17,/intelcpu/0/temperature/18,/intelcpu/0/temperature/19,/intelcpu/0/temperature/20,/intelcpu/0/temperature/21,/intelcpu/0/temperature/22,/intelcpu/0/temperature/23,/intelcpu/0/temperature/24,/intelcpu/0/temperature/25,/intelcpu/0/temperature/26,/intelcpu/0/temperature/27,/intelcpu/0/temperature/28,/intelcpu/0/temperature/29,/intelcpu/0/temperature/30,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/clock/9,/intelcpu/0/clock/10,/intelcpu/0/clock/11,/intelcpu/0/clock/12,/intelcpu/0/clock/13,/intelcpu/0/clock/14,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/3,/intelcpu/0/voltage/0,/intelcpu/0/voltage/1,/intelcpu/0/voltage/2,/intelcpu/0/voltage/3,/intelcpu/0/voltage/4,/intelcpu/0/voltage/5,/intelcpu/0/voltage/6,/intelcpu/0/voltage/7,/intelcpu/0/voltage/8,/intelcpu/0/voltage/9,/intelcpu/0/voltage/10,/intelcpu/0/voltage/11,/intelcpu/0/voltage/12,/intelcpu/0/voltage/13,/intelcpu/0/voltage/14,/intelcpu/0/clock/0,/ram/data/0,/ram/data/1,/ram/load/0,/ram/data/2,/ram/data/3,/ram/load/1,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/smalldata/5,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/power/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/smalldata/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/10,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/12,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/11,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/3,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/4,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/5,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/6,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/9,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/2,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/7,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/8,/hdd/1/load/0,/hdd/1/load/31,/hdd/1/load/32,/hdd/1/load/33,/hdd/1/throughput/34,/hdd/1/throughput/35,/hdd/0/load/0,/hdd/0/load/31,/hdd/0/load/32,/hdd/0/load/33,/hdd/0/throughput/34,/hdd/0/throughput/35,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/2,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/3,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/7,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/8,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/load/1,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/2,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/3,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/7,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/8,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/load/1,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/2,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/3,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/7,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/8,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/load/1,/battery/level/0,/battery/voltage/1,/battery/current/2,/battery/energy/3,/battery/energy/4,/battery/energy/5,/battery/power/0,/battery/level/0,/battery/timespan/0
Time,"CPU Core #1 Thread #1","CPU Core #1 Thread #2","CPU Core #2 Thread #1","CPU Core #2 Thread #2","CPU Core #3 Thread #1","CPU Core #3 Thread #2","CPU Core #4 Thread #1","CPU Core #4 Thread #2","CPU Core #5 Thread #1","CPU Core #5 Thread #2","CPU Core #6 Thread #1","CPU Core #6 Thread #2","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","CPU Core Max","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Core #1 Distance to TjMax","CPU Core #2 Distance to TjMax","CPU Core #3 Distance to TjMax","CPU Core #4 Distance to TjMax","CPU Core #5 Distance to TjMax","CPU Core #6 Distance to TjMax","CPU Core #7 Distance to TjMax","CPU Core #8 Distance to TjMax","CPU Core #9 Distance to TjMax","CPU Core #10 Distance to TjMax","CPU Core #11 Distance to TjMax","CPU Core #12 Distance to TjMax","CPU Core #13 Distance to TjMax","CPU Core #14 Distance to TjMax","Core Max","Core Average","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Cores","CPU Memory","CPU Core","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","Bus Speed","Memory Used","Memory Available","Memory","Virtual Memory Used","Virtual Memory Available","Virtual Memory","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Processing","D3D VR","GPU Hot Spot","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","GPU Power","D3D Shared Memory Used","D3D 3D","D3D Video Decode","D3D Copy","D3D Video Processing","D3D Video Decode","D3D Other","D3D Other","D3D Other","D3D Other","D3D Overlay","D3D GDI Render","D3D Other","D3D Other","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Charge Level","Voltage","Discharge Current","Designed Capacity","Full Charged Capacity","Remaining Capacity","Discharge Rate","Degradation Level","Remaining Time (Estimated)"
07/14/2024 18:07:53,26.918602,27.1977787,35.75968,28.2089462,50.85575,32.62058,52.65889,32.54688,33.4865646,27.8376751,37.15531,24.1673241,0.124502182,0.105220079,0.101977587,0.104779005,0.127118826,0.1044929,0.106847286,0.291490555,20.5240135,52.65889,58,65,65,69,58,61,49,49,49,49,50,50,50,50,71,42,35,35,31,42,39,51,51,51,51,50,50,50,50,69,55.1428566,3484.44287,2787.5542,2887.10962,2986.66528,3285.33179,3384.88721,3086.2207,3185.77612,3185.77612,3185.77612,3185.77612,3086.2207,3086.2207,2986.66528,37.88552,30.9578018,0,1.154541,1.10949707,1.1595459,1.1595459,1.11694336,1.11694336,1.11694336,1.12695313,1.12695313,1.12695313,1.12695313,1.09729,1.09729,1.08227539,1.08227539,99.5555038,7.547703,24.11938,23.8345413,7.582924,31.33416,19.4848175,49,2355,7000.978,0,0,0,0,0.02734375,0.25,0,0,0,0,0,0,0,0,0,56.21875,6141,5921,220,3.58247828,19.01,163840,6144,0.00616818154,316.957031,0.0347906649,0,0,0,0,0,0,0,0,0,0,0,0,62.9551353,85.69722,14.86833,58.2714424,130238408,19360158,62.4167747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004414916,0.0100333029,22364.6641,2260717.25,7.51631927,35.0009079,13.301,7.21276569,90005,82535,28888,95.937,8.299538,1084
07/14/2024 18:07:54,44.25965,37.0981522,47.0487137,41.4066963,75.2819748,51.15401,75.22436,54.12544,42.01499,38.63592,49.03152,37.92258,1.09524727,1.10735893,1.09425783,1.105392,1.12041235,1.09903216,1.0967195,1.22489929,30.1073666,75.2819748,59,67,68,71,60,66,52,52,52,52,49,49,49,49,69,41,33,32,29,40,34,48,48,48,48,51,51,51,51,71,56.7857132,3484.44141,3285.33032,3583.99683,3484.44141,3285.33032,3683.55225,3086.21948,2986.664,2887.10864,2887.10864,2887.10864,2887.10864,2787.553,2986.664,35.5168724,28.392746,0,1.0814209,1.09143066,1.10131836,1.11303711,1.081543,1.06616211,1.05114746,1.09594727,1.09594727,1.08093262,1.09594727,1.09594727,1.07592773,1.07592773,1.07592773,99.5554657,7.745041,23.9220428,24.4577026,7.762005,31.1550789,19.9449844,49,2355,7000.978,0,0,0,0,0,0.25,0,0,0,0.9196283,0,0,0,0,0,56.375,6141,5921,220,3.58247828,19.181,0,0,0.00456330646,321.855469,0.2941126,0,0,0,0,0,0,0,0,0,0,0,0,62.9551353,50.48352,10.8127909,41.8135567,100035536,3.395953E+07,62.4167747,0.18470943,0.01715665,0.205850273,8059.225,28207.2871,0,0,0,0,0,0,0,0,0,0,0.000463319942,0.0100846905,23058.7344,54284.1445,0.254626751,35.0009079,13.211,7.28832054,90005,82535,28888,96.286,8.299538,1080
07/14/2024 18:07:56,18.3880634,11.85981,32.53441,20.7342682,83.61336,22.20338,92.26033,16.9173412,33.72024,14.8164864,28.82477,15.5646267,0.123900175,0.1234293,0.120037794,0.115787983,0.130110979,0.122517347,0.119060278,0.195378065,19.62436,92.26033,50,68,75,77,52,59,51,51,51,51,49,49,49,49,77,50,32,25,23,48,41,49,49,49,49,51,51,51,51,77,55.7857132,4081.776,4081.776,4081.776,4479.998,4380.44238,4081.776,3384.88745,3384.88745,3484.44287,3384.88745,3285.33179,3384.88745,3484.44287,3384.88745,37.4125137,30.9403324,0,1.232666,1.24768066,1.21765137,1.18981934,1.19580078,1.17077637,1.21069336,1.23071289,1.20581055,1.23071289,1.2557373,1.20581055,1.225708,1.22070313,1.19580078,99.55551,7.83530045,23.8317833,24.74273,7.74916458,31.16792,19.9119873,49,1050,7000.978,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,56.28125,6141,5921,220,3.58247828,590.006,180224,3072,0.006639133,321.855469,0,0,0,0,0,0,0,0,0,0,0,0,0,62.9551353,44.0786476,0.9518346,41.6119576,9.318958E+07,7598422.5,62.4167747,0,0.08755894,0.0862665549,0,6616.91748,0,0,0,0,0,0,0,0,0,0,0.000490753,0.0101276152,15861.6816,24818.8789,0.133927777,35.0009079,13.34,7.29505253,90005,82535,28888,97.316,8.299538,1068
07/14/2024 18:07:57,11.9096994,8.049452,25.086832,4.602468,68.2875443,28.4583931,85.5965042,16.1885319,22.8573265,7.1272316,13.40766,11.9020281,2.35486627,1.22035742,5.423498,1.75359249,1.47454143,1.03647113,2.18933225,1.67615414,16.03012,85.5965042,53,71,64,62,60,54,54,54,54,54,55,55,55,55,65,47,29,36,38,40,46,46,46,46,46,45,45,45,45,71,57.1428566,4380.44238,4380.44238,4081.776,4081.776,4380.44238,4081.776,3285.33179,3285.33179,3285.33179,3484.44287,3484.44287,3285.33179,3484.44287,3484.44287,36.45684,30.0281467,0,1.27185059,1.26184082,1.25366211,1.25366211,1.26867676,1.258667,1.21630859,1.20629883,1.23132324,1.23132324,1.23132324,1.26635742,1.23132324,1.2713623,1.25634766,99.55551,8.136688,23.5303955,25.6944656,7.7612915,31.1557922,19.9431534,49,1005,7000.978,0,0,0,0,0.0546875,0.25,0,0,0,0.0132477162,0,0,0,0,0,56.28125,6141,5921,220,3.58247828,590.006,182272,4096,0.00294418749,321.855469,0.115460061,0,0,0,0,0,0,0,0,0,0,0,0,62.9551353,85.2711945,1.87818992,55.6485023,303590528,1.723933E+07,62.4167747,0,0.276013643,0.274153054,0,24693.0859,0,0,0,0,0,0,0,0,0,0,0.0004968578,0.0101545742,5645.17627,24929.2031,0.10065639,35.0009079,13.248,7.27392769,90005,82535,28888,96.365,8.299538,1079
07/14/2024 18:07:59,23.6453419,11.51656,27.078598,9.086418,38.1747131,53.86043,47.6479721,25.70014,32.05899,19.0561886,19.00214,9.813303,0,0.281536579,11.3833065,0.3480494,1.42498612,2.00887918,0,9.4226,16.90429,53.86043,51,71,67,69,61,58,53,53,53,53,49,49,49,49,71,49,29,33,31,39,42,47,47,47,47,51,51,51,51,71,56.07143,4081.77539,4081.77539,3384.887,2887.10938,2787.554,2887.10938,2687.99854,2687.99854,2588.44287,2588.44287,2588.44287,2588.44287,2588.44287,2687.99854,36.829937,29.85633,0,1.02282715,1.02282715,1.03198242,1.03039551,1.03039551,1.03039551,1.03039551,1.0402832,1.04638672,1.04638672,1.04638672,1.04638672,1.04638672,1.04638672,1.04638672,99.5555,8.334431,23.332653,26.3189087,7.85897446,31.05811,20.1941452,50,2355,7000.978,0,0,0,0,0,0.25,0,0,0,0.629816353,0,0,0,0,0,56.84375,6141,5921,220,3.58247828,18.977,182272,24576,0.0502652563,345.800781,3.037205,0,0,0,0,0,0,0,0,0,0,0,0,62.9551353,32.86648,0.5493596,26.1102219,8.864772E+07,11691364,62.4167747,0,0.1260806,0.145019218,0,9053.431,0,0,0,0,0,0,0,0,0,0,0.0005110195,0.0101866266,11203.5313,25357.1445,0.120364368,35.0009079,13.223,7.296075,90005,82535,28888,96.476,8.299538,1077
07/14/2024 18:08:00,44.0440178,48.4581757,52.40171,43.483345,59.7663422,46.3811874,63.556015,49.34966,47.0337944,45.410717,46.4322853,42.9139252,32.2626534,34.7977,48.2369766,41.324234,34.12378,27.7461,46.4282646,48.5513268,45.1351242,63.556015,71,79,77,78,71,76,65,65,64,64,68,68,68,68,81,29,21,23,22,29,24,35,35,36,36,32,32,32,32,79,70.14286,4081.77539,4081.77539,4081.77539,4081.77539,4081.77539,4081.77539,3285.3313,3285.3313,3285.3313,3285.3313,3285.3313,3285.3313,3285.3313,3285.3313,64.06187,56.4367065,0,1.204834,1.1965332,1.1965332,1.20361328,1.20251465,1.20251465,1.18200684,1.18200684,1.1895752,1.18115234,1.21606445,1.21606445,1.21850586,1.21850586,1.21850586,99.5555,8.834011,22.8330727,27.8965073,7.95282,30.9642639,20.4352951,51,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0.0170207769,0,0,0,0,0,57.625,6141,5921,220,3.58247828,18.822,0,0,0.0226327833,345.960938,1.21759474,0,0,0,0,0,0,0,0,0,0,0,0,62.9551353,1.93015349,0.446248233,2.52128267,2103509.5,6859743.5,62.4167747,0,0.0912049562,0.08636702,0,4581.557,0,0,0,0,0,0,0,0,0,0,0.000523969531,0.0102124708,7776.50146,15519.4473,0.07669448,35.0009079,15.8,5.71759462,90005,82535,28888,90.338,8.299538,
07/14/2024 18:08:01,54.6203,45.2848854,58.57364,44.4673233,59.5967,54.12551,65.1983643,49.5288925,57.8169479,43.3732529,52.6508,46.3586044,84.60282,76.97645,70.31883,74.9608,79.00268,67.88671,80.1857147,83.35878,62.4443932,84.60282,64,75,74,76,73,83,68,69,69,69,64,64,62,62,84,36,25,26,24,27,17,32,31,31,31,36,36,38,38,83,69.42857,4081.776,4380.44238,4081.776,4081.776,4081.776,4081.776,3285.33179,3484.44287,3285.33179,3484.44287,3484.44287,3484.44287,3285.33179,3484.44287,71.8611,63.82388,0,1.25549316,1.260498,1.2487793,1.2487793,1.28381348,1.263794,1.25878906,1.36376953,1.36376953,1.36376953,1.22790527,1.25292969,1.25292969,1.25292969,1.25793457,99.55551,8.850708,22.8163757,27.949234,7.929161,30.9879227,20.3745041,51,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,58.1875,6141,5921,220,3.58247828,18.838,0,3072,0.106462792,346.457031,6.22229242,0,0,0,0,0,0,0,0,0,0,0,0,62.9551353,4.44793034,0.591976941,4.84533453,5050478,13159224,62.4167747,1.28480875,0.166252613,1.46172035,2170950.75,12767.17,0,0,0,0,0,0,0,0,0,0,0.000541875139,0.0102469977,19976.4082,38519.9922,0.192580745,35.0009079,15.8,5.71759462,90005,82535,28888,90.338,8.299538,
07/14/2024 18:08:02,13.4256725,23.5637245,41.8946571,7.77144432,24.0991764,35.8206,24.83502,20.131218,14.7350731,14.9700165,24.41793,8.96998,10.1697979,65.30692,16.2602425,31.9247189,38.5515938,8.894623,40.37094,37.23725,25.16753,65.30692,63,69,62,65,61,67,60,60,60,60,64,64,64,66,73,37,31,38,35,39,33,40,40,40,40,36,36,36,34,69,63.2142868,4081.775,4081.775,4081.775,4081.775,4081.775,4081.775,3285.33081,3484.442,3484.442,3285.33081,3285.33081,3484.442,3285.33081,3484.442,47.053318,39.3816872,0,1.2668457,1.29675293,1.25598145,1.26611328,1.26367188,1.28369141,1.25488281,1.27490234,1.27490234,1.27490234,1.34875488,1.34875488,1.35876465,1.34875488,1.2590332,99.55548,8.842358,22.8247261,27.9228668,7.92736435,30.98972,20.36988,51,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,58.15625,6141,5921,220,3.58247828,18.784,0,0,0.008122706,346.464844,0.545716166,0,0,0,0,0,0,0,0,0,0,0,0,62.9551353,5.0339303,1.14232659,5.71291447,7490479,13525144,62.4167747,0,0.327118516,0.3372856,0,24046.5215,0,0,0,0,0,0,0,0,0,0,0.0005670637,0.0102855535,26463.86,40507.92,0.220483229,35.0009079,16.003,5.11585331,90005,82535,28888,81.869,8.299538,
07/14/2024 18:08:03,9.611708,4.719615,45.3086929,7.389861,39.16025,11.4610491,32.4385567,12.9017715,9.00989151,11.0659418,14.9920282,8.370167,11.04188,28.0506783,5.337435,57.10676,11.681962,16.45397,22.2924175,47.936058,20.3165417,57.10676,56,64,74,81,61,61,54,55,55,55,64,64,64,64,77,44,36,26,19,39,39,46,45,45,45,36,36,36,36,81,62.2857132,4081.77563,4081.77563,4081.77563,4380.442,4081.77563,4081.77563,3484.44263,3484.44263,3484.44263,3484.44263,3484.44263,3484.44263,3285.33154,3484.44263,44.8631668,37.164917,0,1.27160645,1.291626,1.29663086,1.23303223,1.23803711,1.27307129,1.2232666,1.23828125,1.248291,1.248291,1.23510742,1.25012207,1.2701416,1.25012207,1.230957,99.5555038,8.779911,22.8871727,27.72567,7.8694725,31.0476112,20.2211227,51,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,58.28125,6141,5921,220,3.58247828,18.755,0,0,0.167056754,346.464844,10.5192909,0,0,0,0,0,0,0,0,0,0,0,0,62.9551353,0.216089517,0.0918891653,0.375040233,301848.25,229574.734,62.4167747,0,0.168904588,0.168084621,0,8502.771,0,0,0,0,0,0,0,0,0,0,0.0005793907,0.0103079,13738.0605,24904.127,0.127217069,35.0009079,16.003,5.11585331,90005,82535,28888,81.869,8.299538,
