,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space"
12/04/2023 21:03:12,0.78125,0.78125,3.94383669,2.34375,0.78125,0.78125,0,0,0,0,0,0,0,0,0.941258669,63.3573723,9.907749,5.73012924,48,1020.00006,8000.98242,0,47,13,0,0,6141,1876.40625,4264.59375,30.5553856,17.142,73.24219,10.7421875,22.9555588
12/04/2023 21:03:13,0.78125,0.78125,4.6875,1.5625,0,0,0,0,3.125,0,0,0,0,0,0.9374976,63.3609619,9.90831,5.72956848,49,1065,8000.98242,0,38,10,0,0,6141,1876.40625,4264.59375,30.5553856,19.8960018,67.38281,10.7421875,22.9555588
12/04/2023 21:03:14,0.78125,1.5625,2.34375,3.174603,2.34375,0,0,0,3.125,0,0,0,4.615384,0,1.40760541,63.47039,9.925423,5.71245575,49,1080,8000.98242,0,36,10,0,0,6141,1876.40625,4264.59375,30.5553856,19.315,74.21875,10.7421875,22.9555588
12/04/2023 21:03:15,0,0,2.34375,2.30768919,0,0.78125,0,0,0,0,0,0,0,0,0.5432725,63.37899,9.911129,5.72674942,48,1125,8000.98242,0,28,8,0,0,6141,1876.40625,4264.59375,30.5553856,18.415,52.734375,10.7421875,22.9555588
12/04/2023 21:03:16,0,3.125,2.34375,4.6875,2.34375,0,0,0,0,0,0,0,0,0,1.24999881,63.3864746,9.9123,5.72557831,49,1215,8000.98242,0,40,10,0,0,6141,1874.90625,4266.09375,30.53096,20.458,397.460938,14.6484375,22.9555588
12/04/2023 21:03:17,0,0,3.125,2.34375,0,0.78125,0,0,1.5625,0,0,0,0,0,0.7031262,63.5951424,9.944931,5.69294739,49,1260,8000.98242,0,31,9,0,0,6141,1911.40625,4229.59375,31.1253262,20.613,83.00781,0,22.9555588
12/04/2023 21:03:18,0.78125,0.78125,6.25,5.46875,0.78125,0.78125,0,0,1.5625,1.5625,1.5625,0,0,0,1.71874762,63.5654068,9.940281,5.6975975,48,1095,8000.98242,0,34,10,0,0,6141,1908.15625,4232.84375,31.072403,20.8000011,52.734375,16.6015625,22.9555588
12/04/2023 21:03:19,0,0,2.34375,6.25,1.5625,0,0,0,0,0,0,0,0,0,1.01562738,63.5275459,9.9343605,5.703518,49,1245,8000.98242,0,38,11,0,0,6141,1910.40625,4230.59375,31.1090412,21.013,70.3125,17.578125,22.9555588
12/04/2023 21:03:20,0,0,0.78125,1.5625,0,0,0,0,0,0,0,0,0,0,0.234377384,63.5253029,9.93401,5.703869,49,1245,8000.98242,0,31,9,0,0,6141,1906.34375,4234.65625,31.0428886,20.9980011,127.929688,18.5546875,22.9555588
