,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
10/12/2023 11:59:16,95.4884644,99.25373,97.01493,98.50746,97.56615,82,82,79,80,82,3409.71387,3409.71387,3409.71387,3409.71387,41.31496,32.15092,0.232437238,3.012987,100.285706,14.512291,4.63159943,27.2834129,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,76,4020,1.85546875,23.4375,1.953125,36,35.23066,81.48378
10/12/2023 11:59:17,100,100,100,100,100,82,81,80,80,81,3409.716,3409.716,3409.716,3409.716,41.5145226,32.67035,0.3189186,2.92658234,100.285767,14.9959793,4.785969,27.1290436,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,76,4020,1.85546875,110.351563,1.953125,36,35.23066,81.48378
10/12/2023 11:59:18,97.65625,96.875,99.21875,100,98.4375,82,85,83,81,84,3409.7146,3409.7146,3409.7146,3409.7146,42.26217,33.2359772,0.404685825,2.60267639,100.285728,15.26001,4.87023544,27.0447769,58,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,76,4020,1.85546875,12.6953125,1.953125,36,35.23066,81.48378
10/12/2023 11:59:19,82.8125,88.28125,85.15625,87.5,85.9375,83,83,76,77,82,3409.71265,3409.71265,3409.71265,3409.71265,38.00632,30.56224,0.315837443,2.93956423,100.285667,15.1672592,4.84063339,27.074379,58,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,76,4020,1.85546875,0,0,36,35.23066,81.48378
10/12/2023 11:59:20,97.76119,95.5223846,96.2686539,98.50746,97.01493,81,82,81,77,82,3409.71387,3409.71387,3409.71387,3409.71387,39.163208,31.7426834,0.5284693,3.12008476,100.2857,15.7032852,5.01170349,26.9033089,59,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,76,4020,1.85546875,0,0,36,35.23066,81.48378
10/12/2023 11:59:21,72.13114,75.4098358,80.3278656,79.508194,76.84426,82,78,80,79,82,3409.7168,3409.7168,3409.7168,3409.7168,36.5844,30.6920815,0.415548116,2.83917975,100.285789,16.4071045,5.236328,26.6786842,59,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,76,4020,1.85546875,0,0,36,35.23066,81.48378
10/12/2023 11:59:22,36.71875,51.5625,42.1875,49.21875,44.921875,73,78,68,71,78,3409.7146,3409.7146,3409.7146,3409.7146,33.0968323,23.9523182,0.534220159,2.431374,100.285721,16.3648148,5.22283173,26.69218,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,76,4020,1.85546875,122.070313,2.9296875,36,35.23066,81.48378
10/12/2023 11:59:23,46.875,56.25,52.34375,45.3125,50.1953125,77,79,79,76,79,3409.714,3409.714,3409.714,3409.714,38.6671829,23.75313,5.342691,3.06643033,100.285706,16.8797226,5.387165,26.5278473,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,76,4020,1.85546875,60.546875,1.953125,36,35.23066,81.48378
10/12/2023 11:59:24,83.59375,86.71875,86.71875,83.59375,85.15625,80,80,75,78,83,3409.7146,3409.7146,3409.7146,3409.7146,46.5124626,28.9057255,8.110768,3.98274255,100.285728,16.9621277,5.41346359,26.5015488,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,76,4020,1.85546875,105.46875,2.9296875,36,35.23066,81.48378
10/12/2023 11:59:25,71.09375,71.09375,65.625,75.78125,70.89844,77,81,79,75,81,3409.715,3409.715,3409.715,3409.715,37.4043922,28.2388268,1.32022572,3.07504773,100.285744,16.8615417,5.381363,26.53365,60,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,76,4020,1.85546875,0.9765625,0,36,35.23066,81.48378
