,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
03/18/2020 08:52:47,27.2606373,25.9308453,25.2659569,24.6010666,25.7646332,48.2703476,3.807335,4.08018875,20,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:48,91.89189,96.62162,90.54054,90.54054,92.39865,49.5013,3.90442657,3.983097,21,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:49,53.90625,64.0625,54.6875,59.375,58.0078125,50.6535149,3.995308,3.89221573,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:50,70.3125,71.09375,68.75,71.09375,70.3125,50.48903,3.98233414,3.90518951,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:51,81.25,85.9375,83.59375,84.375,83.78906,51.4933968,4.061554,3.8259697,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:52,62.5,73.4375,71.09375,71.09375,69.53125,50.73767,4.0019455,3.88557816,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:53,54.6875,57.03125,53.125,50,53.7109375,49.4100342,3.89722824,3.99029541,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:54,57.8125,57.03125,46.875,48.4375,52.5390625,51.6912537,4.07716,3.81036377,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:55,25,25,26.5625,22.65625,24.8046875,51.7038765,4.07815552,3.80936813,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:56,3.90625,6.25,13.28125,11.8799572,8.829367,51.5616875,4.06694031,3.82058334,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:57,3.90625,5.46875,3.90625,4.6754837,4.48918343,50.39902,3.975235,3.91228867,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:58,14.84375,12.5,12.5496025,13.28125,13.2936478,50.4327354,3.97789383,3.90962982,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:52:59,12.5,13.28125,9.362984,14.0625,12.3016834,50.3771172,3.973507,3.91401672,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:53:00,14.0625,15.625,19.8412666,10.9375,15.1165667,50.34631,3.971077,3.91644669,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:53:01,7.03125,11.71875,11.5865345,8.692956,9.757376,50.39143,3.974636,3.91288757,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:53:02,2.34375,3.91864777,1.5625,2.3317337,2.53915787,50.4127121,3.97631454,3.911209,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,70128,12335,90.15483,31,50.1379967
03/18/2020 08:53:03,3.93105149,28.1009617,3.90625,3.90625,9.961128,50.7539673,4.003231,3.8842926,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,22,70128,12335,90.33726,18,50.1379967
03/18/2020 08:53:04,4.66346169,34.375,3.882575,3.90625,11.7068233,52.5302658,4.14333725,3.7441864,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,22,70128,12335,90.33726,18,50.1379967
03/18/2020 08:53:05,5.505955,51.5625,3.125,4.6875,16.2202358,52.46696,4.138344,3.74917984,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,22,70128,12335,90.33726,18,50.1379967
03/18/2020 08:53:06,6.25,10.15625,7.88690472,43.01915,16.8280773,51.6943,4.0774,3.81012344,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,22,70128,12335,90.33726,18,50.1379967
03/18/2020 08:53:07,1.5625,3.90625,2.34375,10.3174572,4.532492,50.3528862,3.97159576,3.915928,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,22,70128,12335,90.33726,18,50.1379967
03/18/2020 08:53:08,28.08894,25,13.1610575,7.740384,18.4975929,51.5062141,4.062565,3.8249588,24,139,405.000031,278,1,0,0,4096,75,4021,1.83105469,22,70128,12335,90.33726,18,50.1379967
03/18/2020 08:53:09,7.8125,3.125,11.71875,5.46875,7.03125,50.93373,4.01741028,3.87011337,0,139,405.000031,278,1,0,0,4096,75,4021,1.83105469,22,70128,12335,90.33726,18,50.1379967
03/18/2020 08:53:10,8.59375,7.8125,12.5,4.6875,8.3984375,50.1300278,3.95401764,3.933506,0,139,405.000031,278,1,0,0,4096,75,4021,1.83105469,22,70128,12335,90.33726,18,50.1379967
