,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Temperature","Used Space"
04/28/2020 16:00:58,8.59375,1.5625,1.5625,1.5625,3.3203125,39,40,40,39,41,902.57135,902.57135,3610.2854,3409.714,2.58924317,0.9167845,0.039926555,0.3901691,100.285706,60.93607,4.806347,3.08117676,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,30,75166,12968,29,4.781288
04/28/2020 16:00:59,7.03125,1.5625,5.505955,8.59375,5.673361,39,41,39,38,41,802.286,802.286,802.286,802.286,3.6516037,1.83639157,0.0857518241,0.450060159,100.285751,60.94642,4.80716324,3.08036041,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,30,75166,12968,29,4.781349
04/28/2020 16:01:00,7.8125,1.5625,1.5504837,5.46875,4.09855843,39,40,39,38,41,802.2851,802.2851,802.2851,802.2851,3.538758,1.76365936,0.07977291,0.4529746,100.285637,60.84055,4.798813,3.08871078,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,30,75166,12968,29,4.781349
04/28/2020 16:01:01,7.8125,10.9375,4.6875,8.59375,8.0078125,39,41,40,39,41,1805.14526,902.572632,802.2868,802.2868,4.51943,2.61605358,0.161088243,0.523673952,100.285851,59.89988,4.724617,3.16290665,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,30,75166,12968,29,4.781349
04/28/2020 16:01:02,10.9375,8.59375,10.15625,7.080853,9.192085,39,41,40,39,41,802.285,802.285,802.285,802.285,4.693808,2.49632645,0.4006954,0.6628856,100.285622,59.9120178,4.72557449,3.16194916,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,30,75166,12968,29,4.781349
04/28/2020 16:01:03,2.34375,8.59375,7.03125,6.959134,6.23197,40,42,39,39,42,2908.28662,2306.57227,1704.85767,802.28595,4.82370138,2.59765482,0.43772468,0.65652597,100.285744,59.9243,4.72654343,3.16098022,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,30,75166,12968,29,4.781349
04/28/2020 16:01:04,7.03125,8.59375,7.8125,7.03125,7.6171875,39,41,39,38,41,802.2854,802.2854,802.2854,802.2854,4.21583,1.83235359,0.524960935,0.7521884,100.285675,59.8895264,4.72380066,3.163723,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,30,75166,12968,29,4.781349
04/28/2020 16:01:05,7.8125,12.5,13.28125,10.15625,10.9375,40,41,40,39,41,802.2858,3510.00049,3309.4292,802.2858,4.01010847,1.79748547,0.388988316,0.664604366,100.285728,59.8896255,4.72380829,3.16371536,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,30,75166,12968,29,4.781349
04/28/2020 16:01:06,9.375,3.90625,3.174603,5.46875,5.481148,41,42,41,39,42,3409.7168,2507.14478,802.2863,802.2863,2.634264,0.9562714,0.03400429,0.400725573,100.285789,59.8880272,4.7236824,3.16384125,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,30,75166,12968,29,4.781349
