,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
05/08/2020 23:45:10,7.8125,7.936507,3.125,2.38095522,5.313736,55,55,55,53,57,3409.713,3409.713,3409.713,3409.713,18.9330235,5.82995,1.04504287,0.3692623,100.285667,59.65414,4.70523453,3.18228912,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,107.421875,8.7890625,42,78108,13234,56.8662376,41,38.6769447
05/08/2020 23:45:11,9.375,7.70432949,3.125,2.3317337,5.634016,56,56,55,53,57,3409.71118,3409.71118,3409.71118,3509.99683,19.1222668,6.28525639,0.76772666,0.393935382,100.285629,59.74366,4.71229553,3.175228,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,122.070313,8.7890625,42,78108,13234,56.8662376,41,38.6769447
05/08/2020 23:45:12,6.201923,5.46875,3.90625,7.03125,5.652046,56,57,55,53,57,3409.713,3409.713,3409.713,3409.713,19.6975288,7.03536367,0.5847748,0.4227273,100.285675,59.8073578,4.71731949,3.17020416,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,127.929688,8.7890625,42,78108,13234,56.8662376,41,38.6769447
05/08/2020 23:45:13,9.387398,9.375,0.793647766,0.78125,5.084324,57,57,55,53,57,3509.99878,3509.99878,3409.71313,3409.71313,18.9926586,6.48065472,0.45162484,0.375082374,100.285675,59.9549141,4.728958,3.15856552,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,101.5625,8.7890625,42,78108,13234,56.8662376,41,38.6769447
05/08/2020 23:45:14,8.55769,7.8125,3.90625,4.6875,6.240988,55,55,53,52,55,3409.7124,3810.85522,3509.998,3509.998,18.5808582,6.073446,0.439620048,0.395066023,100.28566,59.89717,4.72440338,3.16312027,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,119.140625,8.7890625,42,78108,13234,56.8662376,41,38.6769447
05/08/2020 23:45:15,9.375,22.65625,4.6875,7.03125,10.9375,57,57,55,54,58,3409.712,3409.712,3409.712,3509.99756,20.7533264,8.238706,0.413772523,0.5000794,100.285645,59.14081,4.66474533,3.22277832,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,111.328125,9.765625,42,78108,13234,56.8662376,41,38.6769447
05/08/2020 23:45:16,3.90625,9.375,0.78125,3.125,4.296875,55,56,54,53,56,3409.71313,3409.71313,3509.999,3409.71313,18.1929016,5.824246,0.3121458,0.349216163,100.285683,59.1662,4.666748,3.2207756,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,118.164063,8.7890625,42,78108,13234,56.8662376,41,38.6769447
05/08/2020 23:45:17,2.34375,8.59375,3.90625,7.8125,5.6640625,56,56,54,53,57,3409.71216,3409.71216,3409.71216,3509.9978,19.0289612,6.65225363,0.3087173,0.3983784,100.285652,59.20755,4.67000961,3.217514,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,113.28125,8.7890625,42,78108,13234,56.8662376,41,38.6769447
05/08/2020 23:45:18,10.15625,7.8125,0.78125,1.5625,5.078125,55,55,53,52,55,3409.7124,3509.998,3409.7124,3409.7124,17.86058,5.513255,0.3085504,0.352193028,100.285652,59.1687622,4.66695,3.22057343,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,107.421875,8.7890625,42,78108,13234,56.8662376,41,38.6769447
