,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
05/24/2022 01:30:59,76.98412,80.6451645,83.06452,75,78.9234543,85,83,81,77,85,3108.85645,3209.142,3008.5708,3209.142,37.948597,25.4333076,0.000687897147,2.1325438,100.28569,48.86687,15.5805969,16.3031654,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,107.421875,4.8828125,30,11.23735,85.08448
05/24/2022 01:31:02,82.37648,85.30021,83.79952,82.47423,83.48761,59,58,52,48,61,3409.71362,3409.71362,3409.71362,3409.71362,11.2912407,15.7557154,21.81272,18.0993233,100.28569,49.8817368,15.9041748,15.9795876,23,151.5,405.000031,303,0,0,0,0,4096,75,4021,1.83105469,0,0,30,11.23735,85.08448
05/24/2022 01:31:03,100,100,100,100,100,61,54,53,46,59,3409.71362,3409.71362,3409.71362,3409.71362,40.0370369,27.2298126,0.137367114,2.4850626,100.2857,49.3539162,15.7358856,16.1478767,24,151.5,405.000031,303,0,0,0,0,4096,75,4021,1.83105469,0,0,30,11.23735,85.08448
05/24/2022 11:40:32,90.90909,91.66667,92.42424,94.69697,92.42424,52,49,47,44,53,3409.714,3409.714,3409.714,3409.714,0.00227274117,0.00151285739,7.169157,0.000410669483,100.285706,49.55967,15.801487,16.0822754,25,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,75.19531,2.9296875,30,11.23735,85.08448
05/24/2022 11:40:50,87.2282639,89.53804,82.74456,88.45109,86.9904861,70,65,61,56,68,3410,3410,3410,3410,41.7138329,28.2831783,0.6210464,2.60626125,100.294113,71.97252,22.9475479,8.936214,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,75.19531,1.953125,19,11.23735,86.45188
05/24/2022 11:40:51,46.1538429,69.2307739,44.8717957,70.51282,57.6923027,55,60,54,51,60,3409.71265,3409.71265,3409.71265,3409.71265,35.993515,23.32695,0.05371769,1.89192712,100.285667,71.09956,22.6692162,9.214546,32,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,80.078125,4.8828125,19,11.23735,86.45188
05/24/2022 11:40:52,42.96875,50.78125,45.3125,60.15625,49.8046875,58,53,48,50,58,3409.71313,3409.71313,3509.99878,3409.71313,36.8875275,21.6581059,2.65476847,1.96579552,100.285675,70.2367859,22.39413,9.489632,32,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,0,0,19,11.23735,86.45188
05/24/2022 11:40:53,64.61538,36.363636,38.636364,53.0303078,48.16142,63,60,60,55,63,3409.71313,3409.71313,3409.71313,3409.71313,34.532608,20.9881287,0.9726799,1.95447469,100.285683,69.84736,22.2699661,9.613796,33,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,0,0,19,11.23735,86.45188
05/24/2022 11:40:54,49.242424,55.384613,50,56.92308,52.8875275,62,60,56,53,62,3409.712,3409.712,3409.712,3409.712,36.95648,22.5895576,1.69866157,2.25994349,100.285645,68.8117447,21.9397736,9.943989,33,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,16.6015625,4.8828125,19,11.23735,86.45188
05/24/2022 11:40:56,45.8333321,23.61111,15.2777786,52.77778,34.375,62,59,58,51,58,3409.71436,3409.71436,3409.71436,3409.71436,32.3469734,19.83751,0.103729643,1.5557934,100.285713,67.16905,21.41602,10.4677429,33,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,0,0,19,11.23735,86.45188
05/24/2022 11:40:56,41.5094376,64.15094,57.54717,62.26415,56.3679276,59,60,58,54,62,3409.71436,3409.71436,3409.71436,3409.71436,38.02409,24.728796,0.6347795,2.11795759,100.285713,66.93291,21.3407288,10.5430336,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,90.82031,2.9296875,19,11.23735,86.45188
05/24/2022 11:40:57,60.15625,56.25,37.5,60.15625,53.515625,66,63,62,55,65,3409.713,3409.713,3409.713,3409.713,38.31191,25.2176266,0.5776667,1.926832,100.285667,65.91513,21.0162239,10.8675385,33,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,9.765625,3.90625,19,11.23735,86.45188
05/24/2022 11:40:58,45.3125,44.53125,34.375,60.9375,46.2890625,58,58,56,51,63,3409.714,3409.714,3409.714,3409.714,32.8682022,20.4247837,0.07829628,1.48323536,100.285706,64.8586655,20.6793823,11.20438,33,139,405.000031,278,0,0,0,1,4096,75,4021,1.83105469,4.8828125,0,19,11.23735,86.45188
05/24/2022 11:41:00,52.8089867,26.4044933,11.2359524,39.3258438,32.44382,63,58,50,54,64,3409.713,3409.713,3409.713,3409.713,30.9045525,18.47787,0.06688751,1.44015431,100.285675,64.5860443,20.59246,11.2913017,33,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,0,0,19,11.23735,86.45188
05/24/2022 11:41:01,48.4375,10.9375,1.5625,45.3125,26.5625,62,52,48,49,62,3409.71338,3409.71338,3409.71338,3409.71338,29.5778942,17.1383781,0.0883228555,1.41835761,100.28569,63.1322861,20.1289482,11.7548141,34,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,98.63281,4.8828125,19,11.23735,86.45188
05/24/2022 11:41:03,44.6153831,27.6923065,26.1538448,40.76923,34.80769,61,58,60,51,58,3409.7146,3409.7146,3409.7146,3409.7146,31.2801819,18.8767433,0.0574559458,1.40732253,100.285721,60.7933578,19.38321,12.5005531,34,139,405.000031,278,1,0,0,1,4096,75,4021,1.83105469,16.6015625,0,19,11.23735,86.45188
05/24/2022 11:41:05,35.3658562,3.658533,18.2926769,46.34146,25.9146385,63,58,59,51,59,3409.711,3409.711,3409.711,3409.711,29.7064056,17.3209553,0.0653715059,1.37832344,100.285614,59.22919,18.8844948,12.9992676,34,139,405.000031,278,1,0,0,1,4096,75,4021,1.83105469,29.296875,0,19,11.23735,86.45188
05/24/2022 11:41:06,34.375,30.46875,16.40625,45.3125,31.640625,51,60,47,51,60,3409.71338,3409.71338,3409.71338,3409.71338,30.7095814,18.24157,0.102619834,1.45159328,100.28569,58.0709076,18.51519,13.3685722,34,139,405.000031,278,0,0,0,1,4096,75,4021,1.83105469,0,0,19,11.23735,86.45188
