,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/0,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/lpc/nct6791d/fan/4,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","Fan #4","Fan #5","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total LBA Written","Used Space","Temperature","Used Space"
06/18/2019 20:37:24,60,32.9411774,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.456,3.37600017,1.016,0.824000061,0.208,0.552000046,0.416,28,29.5,30,53,35,96,1023,2360,537,302,1204,17.1875,17.96875,13.28125,11.71875,15.0390625,37,38,35,36,38,3699.99927,3699.99927,3699.99927,3699.99927,27.1522942,17.1676979,0,4.6361165,99.99998,18.6961975,2.979988,12.9590187,29.0000019,1061,0,300,150,0.900000036,0,26,85.44649,91.94012,24,32.7502823
06/18/2019 20:37:25,60,28.62745,60,60,60,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.456,3.37600017,1.016,0.824000061,0.416,0.008,0.416,28,29.5,30,53,35,96,990,2360,524,293,1187,12.878788,19.6969681,15.9090881,21.2121239,17.4242439,35,33,37,34,37,3699.99878,3799.99878,3699.99878,3799.99878,33.7190247,22.42243,0,4.7701,99.99997,18.75943,2.99006653,12.94894,29.0000019,1061,0,300,150,0.900000036,0,26,85.44649,91.94012,24,32.7502823
06/18/2019 20:37:26,60,26.27451,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.056,3.456,3.37600017,1.016,0.824000061,0.416,0.008,0.064,23,29.5,30,53,35,96,990,2360,518,290,1195,2.34375,3.90625,3.90625,3.125,3.3203125,34,30,31,31,34,3700,3700,3700,3800,20.5353661,6.11685133,0,4.58150625,100,18.73722,2.98652649,12.95248,29.0000019,1061,0,300,150,0.900000036,0,26,85.44649,91.94012,24,32.7502823
06/18/2019 20:37:28,60,27.4509811,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.552000046,3.456,3.37600017,1.016,0.824000061,0.56,0.016,0.56,28.5,29.5,30,53,35,54,976,2356,515,289,1157,12.121212,31.8181877,8.333331,12.878788,16.2878761,43,40,35,34,39,3699.99658,3699.99658,3799.99634,3699.99658,32.9745026,21.759964,0,5.032134,99.99991,18.8430252,3.00339127,12.9356155,29.0000019,1061,0,300,150,0.900000036,0,26,85.44649,91.94012,24,32.7502823
06/18/2019 20:37:29,60,28.2352943,60,60,60,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.544,3.456,3.37600017,1.016,0.824000061,0.56,0.552000046,0.008,30.5,29.5,30,82,35,85,989,2360,512,290,1179,11.9047642,46.0317421,21.4285736,22.2222214,25.3968239,35,43,39,37,41,3700.00146,3700.00146,3700.00146,3700.00146,38.8224258,27.90353,0,4.8370924,100.000038,18.9694443,3.0235405,12.9154663,29.0000019,1061,0,300,150,0.900000036,0,26,85.44649,91.94012,24,32.7502823
06/18/2019 20:37:29,61.9607849,32.1568642,62.3529434,62.3529434,62.3529434,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.832,0.528,0.528,0.528,33,29.5,31,55,35,55,999,2360,512,293,1202,24.21875,49.21875,36.71875,36.71875,36.71875,40,43,40,42,43,3700.00024,3700.00024,3700.00024,3700.00024,43.5914955,32.7138367,0,5.135549,100.000008,19.5580978,3.11736679,12.82164,29.0000019,1061,0,327.16,150,0.968000054,7,26,85.44649,91.94012,24,32.7502823
06/18/2019 20:37:30,64.31373,32.9411774,64.70589,64.70589,64.31373,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.832,0.528,0.528,0.528,36.5,30,31,55,35,55,1006,2351,518,299,1214,70.3125,78.90625,69.53125,74.21875,73.24219,43,49,44,44,48,3699.999,3699.999,3699.999,3699.999,57.60697,46.6067352,0,5.787319,99.99997,21.1376114,3.36912537,12.5698814,30.0000019,1061,0,357.85,1500,1.087,50,26,85.44649,91.94012,24,32.7502823
06/18/2019 20:37:32,67.05882,36.47059,67.84314,67.84314,67.05882,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,38.5,30,31,55,35,55,1035,2351,531,321,1239,83.07693,91.53846,85.38461,85.38461,86.34615,45,47,45,44,48,3699.99756,3699.99756,3699.99756,3699.99756,63.91488,53.10212,0,6.177245,99.99993,22.6034164,3.60276031,12.3362465,30.0000019,1061,0,300.61,150,0.900000036,0,26,85.44649,91.94012,24,32.7502823
06/18/2019 20:37:33,67.05882,37.64706,67.84314,67.84314,67.05882,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.47200012,3.37600017,1.016,0.824000061,0.552000046,0.528,0.544,38.5,30,31,55,35,55,1076,2356,542,331,1288,89.0625,88.28125,84.375,86.71875,87.109375,47,48,47,44,48,3700.001,3700.001,3700.001,3700.001,64.03405,53.34008,0,6.13383055,100.000031,24.6494141,3.92887115,12.0101357,31.0000019,1061,0,355.02,1500,1.087,4,26,85.44649,91.94012,24,32.7502823
