,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
01/23/2020 06:28:57,10.2116108,16.9291382,9.44882,14.5669279,12.7891178,49.5492249,3.908207,3.97931671,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:28:59,98.36066,100,100,98.36066,99.18033,51.98608,4.10041428,3.78710938,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:29:00,87.5,94.53125,89.84375,92.1875,91.015625,51.58848,4.06905365,3.81847,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:29:01,96.875,99.21875,96.875,95.3125,97.07031,51.7532578,4.08205032,3.80547333,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:29:02,71.09375,88.28125,75,75,77.34375,51.55864,4.0667,3.82082367,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:29:03,73.4375,84.375,78.90625,80.46875,79.296875,51.8240623,4.087635,3.79988861,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:29:04,53.125,75.78125,63.28125,62.5,63.671875,51.65653,4.074421,3.81310272,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:29:05,35.9375,70.3125,67.96875,52.34375,56.640625,51.615612,4.0711937,3.81633,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:29:06,17.2619038,55.46875,46.15575,22.65625,35.38567,51.81008,4.08653259,3.800991,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:29:07,15.625,45.3125,42.94471,14.0625,29.48618,51.77265,4.08358,3.80394363,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:29:08,9.375,47.65625,50,9.375,29.1015625,51.65179,4.074047,3.81347656,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
01/23/2020 06:29:09,50,72.65625,50.78125,56.25,57.421875,53.5181427,4.22125626,3.6662674,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,34,61841,11222,81.63509,32,46.5514374
